task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.22555642475044696,0.19955680130326606,0.0892445146173043,-0.4004756734003634,-0.050637176100530534
cookieTheft,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
cookieTheft,demographics,0.0033497043433267093,0.017107592745532613,0.007650748062078636,-0.011645761858347417,0.018345170545000837
cookieTheft,full,-0.28594041367020206,0.2620759513109262,0.11720392847983122,-0.5156601134906712,-0.0562207138497329
cookieTheft,linguistic,-0.04932639952650142,0.03661848466352686,0.016376284188135914,-0.0814239165352478,-0.017228882517755027
cookieTheft,linguistic+acoustic,-0.2665426485207832,0.23431265890323055,0.10478780665926896,-0.47192674957295033,-0.06115854746861604
journaling,acoustic,-0.16384283655363685,0.07282200554227715,0.03256699093007963,-0.22767413877659293,-0.10001153433068077
journaling,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
journaling,demographics,0.0033497043433267093,0.017107592745532613,0.007650748062078636,-0.011645761858347417,0.018345170545000837
journaling,full,-0.264098864527204,0.055354405854866444,0.024755242869118742,-0.31261914055067674,-0.21557858850373127
journaling,linguistic,-0.08477690959518655,0.04927006064639504,0.022034240972175306,-0.12796402190065015,-0.04158979728972295
journaling,linguistic+acoustic,-0.25538341434884654,0.0444427405622013,0.019875397800693865,-0.2943391940382065,-0.21642763465948656
picnicScene,acoustic,-0.17552761125923588,0.09134911698581755,0.04085256705297374,-0.2555986426830644,-0.09545657983540735
picnicScene,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
picnicScene,demographics,0.0033497043433267093,0.017107592745532613,0.007650748062078636,-0.011645761858347417,0.018345170545000837
picnicScene,full,-0.346981683304351,0.1274024384481579,0.05697610257386278,-0.458654844349122,-0.23530852225957993
picnicScene,linguistic,-0.07343088959439777,0.06136075004401923,0.027441361649760042,-0.12721595842792743,-0.019645820760868085
picnicScene,linguistic+acoustic,-0.31115346277023864,0.10188838257687265,0.045565869911878484,-0.4004625677975205,-0.2218443577429568
