task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.005595059382045542,0.049279445512967146,0.022038438012098305,-0.048790397885758216,0.037600279121667135
cookieTheft,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
cookieTheft,demographics,-0.2581587666124766,0.067251479282537,0.0300757758526343,-0.31710728728363985,-0.19921024594131337
cookieTheft,full,0.019025557271243176,0.02640783057415873,0.011809940860423244,-0.004121926815186382,0.04217304135767273
cookieTheft,linguistic,-0.04355401515936415,0.04530879329156215,0.020262708355683882,-0.08326892353650456,-0.003839106782223739
cookieTheft,linguistic+acoustic,0.008797247499303728,0.030269431432879905,0.013536901264837666,-0.017735078979778097,0.035329573978385556
journaling,acoustic,-0.02563869825542684,0.041970464507601245,0.018769762337247725,-0.06242743243643238,0.0111500359255787
journaling,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
journaling,demographics,-0.2581587666124766,0.067251479282537,0.0300757758526343,-0.31710728728363985,-0.19921024594131337
journaling,full,0.0040069364424214935,0.03618181200118487,0.016180998236753414,-0.027707820101615193,0.03572169298645818
journaling,linguistic,-0.027730120240783963,0.06561298284899152,0.02934301797137457,-0.08524243546467812,0.029782194983110192
journaling,linguistic+acoustic,-0.008432420384145134,0.02968221417339083,0.013274289722881924,-0.034450028240993705,0.01758518747270344
picnicScene,acoustic,-0.023071310056871443,0.030235046199690457,0.013521523721070908,-0.04957349655017042,0.003430876436427536
picnicScene,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
picnicScene,demographics,-0.2581587666124766,0.067251479282537,0.0300757758526343,-0.31710728728363985,-0.19921024594131337
picnicScene,full,-0.011753112071794147,0.04384936325670511,0.019610031402414838,-0.05018877362052723,0.026682549476938936
picnicScene,linguistic,-0.027320323658852685,0.05302199593182502,0.02371215744125561,-0.07379615224371368,0.019155504926008312
picnicScene,linguistic+acoustic,-0.016972724171187382,0.04643164470406044,0.02076486277307945,-0.05767185520642311,0.023726406864048342
