task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
cookieTheft,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
cookieTheft,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
cookieTheft,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
cookieTheft,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
cookieTheft,demographics,0,0.00816539066430233,4.645476110934282,3.7493575419380414
cookieTheft,demographics,1,-0.023970394234005044,4.678614581664252,3.718674673796627
cookieTheft,demographics,2,0.017168226535337894,4.149110045326842,3.3376610392088786
cookieTheft,demographics,3,0.016977755688697638,4.4877031579606985,3.7003972757410013
cookieTheft,demographics,4,-0.0015924569376992714,4.664842438536979,3.56410944284349
cookieTheft,linguistic,0,-0.004284403377335266,4.674540865973664,3.7739838901634233
cookieTheft,linguistic,1,-0.034860561883774954,4.703427869408015,3.6763282563810855
cookieTheft,linguistic,2,-0.10007705051886706,4.389619858046748,3.451042660591568
cookieTheft,linguistic,3,-0.06969935085349421,4.681373754031884,3.7903648535207664
cookieTheft,linguistic,4,-0.0377106309990356,4.74820640840681,3.5013826788512725
cookieTheft,acoustic,0,-0.06664109625112813,4.8174781993736975,3.826985443432802
cookieTheft,acoustic,1,-0.5576125094377373,5.770364975587298,4.50230761785412
cookieTheft,acoustic,2,-0.17880522156060108,4.543979726052555,3.7568767374488172
cookieTheft,acoustic,3,-0.24483439593943612,5.050079787572446,3.982457193333218
cookieTheft,acoustic,4,-0.07988890056333209,4.843741921662386,3.577203632049162
cookieTheft,linguistic+acoustic,0,-0.06585372398298817,4.815699790022021,3.910476888288903
cookieTheft,linguistic+acoustic,1,-0.6092861475075446,5.86529967569967,4.515137505606082
cookieTheft,linguistic+acoustic,2,-0.30703649028335933,4.784749611222701,3.807605308655534
cookieTheft,linguistic+acoustic,3,-0.32284693581325397,5.205917095433417,3.998114808115976
cookieTheft,linguistic+acoustic,4,-0.0276899450167698,4.725225190386988,3.446190350530058
cookieTheft,full,0,-0.060696590425860064,4.8040352808048175,3.9291835514952154
cookieTheft,full,1,-0.6553954814284821,5.948732670531435,4.587452962884619
cookieTheft,full,2,-0.34351498031493155,4.85105966451071,3.866681104099796
cookieTheft,full,3,-0.36369492971135364,5.28568238193315,4.098330006486511
cookieTheft,full,4,-0.006400086470382815,4.676024624660762,3.3959546500345845
picnicScene,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
picnicScene,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
picnicScene,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
picnicScene,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
picnicScene,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
picnicScene,demographics,0,0.00816539066430233,4.645476110934282,3.7493575419380414
picnicScene,demographics,1,-0.023970394234005044,4.678614581664252,3.718674673796627
picnicScene,demographics,2,0.017168226535337894,4.149110045326842,3.3376610392088786
picnicScene,demographics,3,0.016977755688697638,4.4877031579606985,3.7003972757410013
