task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
cookieTheft,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
cookieTheft,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
cookieTheft,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
cookieTheft,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
cookieTheft,demographics,0,-0.34447658200183584,5.408629378768045,4.339145232302166
cookieTheft,demographics,1,-0.26334891322962295,5.196790693588111,3.9112178886872764
cookieTheft,demographics,2,-0.2967849555375206,4.7659484578867355,3.9342780293780293
cookieTheft,demographics,3,-0.21117361439961058,4.981333863233092,4.070250306211345
cookieTheft,demographics,4,-0.17500976789379297,5.052568327289168,3.8542398564126508
cookieTheft,linguistic,0,-0.08516147719351519,4.859121805449483,3.8684671532846715
cookieTheft,linguistic,1,-0.016289604909193622,4.661034437300283,3.773877551020408
cookieTheft,linguistic,2,-0.04662132783670492,4.281640007317684,3.4745679012345683
cookieTheft,linguistic,3,-0.08765058115988666,4.72049071727004,3.857575757575758
cookieTheft,linguistic,4,0.017952915302479666,4.619102634747013,3.532843137254902
cookieTheft,acoustic,0,0.02773862788342607,4.599409920190819,3.631873479318735
cookieTheft,acoustic,1,-0.02265545241476441,4.67560957178044,3.8164172335600908
cookieTheft,acoustic,2,-0.07518274200722996,4.339667962493371,3.503555555555556
cookieTheft,acoustic,3,0.0530621793855921,4.404566599156713,3.621428571428572
cookieTheft,acoustic,4,-0.010937909757251507,4.686554784874918,3.548480392156863
cookieTheft,linguistic+acoustic,0,0.02729191136098852,4.600466424394261,3.6459367396593674
cookieTheft,linguistic+acoustic,1,0.01981967198919332,4.57748111228581,3.7507482993197274
cookieTheft,linguistic+acoustic,2,-0.03424023105887364,4.256239651039188,3.3918024691358024
cookieTheft,linguistic+acoustic,3,-0.00952026111775428,4.547785468725704,3.722943722943723
cookieTheft,linguistic+acoustic,4,0.04063514632296472,4.5654475616207115,3.471813725490196
cookieTheft,full,0,0.038719600196114645,4.573362700564702,3.622287104622871
cookieTheft,full,1,0.0323526384607391,4.548122235936043,3.680952380952382
cookieTheft,full,2,-0.0075640016790612385,4.200990320243775,3.3537283950617285
cookieTheft,full,3,-0.011542926113216279,4.5523391383542195,3.7221645021645022
cookieTheft,full,4,0.04316247549163965,4.5594300397727014,3.4708333333333337
picnicScene,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
picnicScene,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
picnicScene,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
picnicScene,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
picnicScene,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
picnicScene,demographics,0,-0.34447658200183584,5.408629378768045,4.339145232302166
picnicScene,demographics,1,-0.26334891322962295,5.196790693588111,3.9112178886872764
picnicScene,demographics,2,-0.2967849555375206,4.7659484578867355,3.9342780293780293
picnicScene,demographics,3,-0.21117361439961058,4.981333863233092,4.070250306211345
