task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.2562724245025124,0.34044841197913417,0.15225315840343953,-0.554688614973254,0.04214376596822905
cookieTheft,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
cookieTheft,demographics,-0.024625472533099345,0.014452250070605448,0.006463242717139983,-0.03729342825869371,-0.01195751680750498
cookieTheft,full,-0.27053096542370764,0.32388215799680864,0.14484450439603824,-0.5544261940399426,0.013364263192527315
cookieTheft,linguistic,-0.09449774882716018,0.1904343784039796,0.08516484307284325,-0.2614208412499329,0.07242534359561258
cookieTheft,linguistic+acoustic,-0.27021464697326514,0.3411627196249045,0.1525726064939976,-0.5692569557015004,0.028827661754970146
journaling,acoustic,-0.19225283305486102,0.16848609579541202,0.07534927269241655,-0.3399374075319974,-0.04456825857772459
journaling,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
journaling,demographics,-0.024625472533099345,0.014452250070605448,0.006463242717139983,-0.03729342825869371,-0.01195751680750498
journaling,full,-0.1902153748356184,0.2804027523220714,0.12539992305403772,-0.43599922402153235,0.05556847435029552
journaling,linguistic,-0.03441800294573614,0.11937538585322559,0.05338629552161583,-0.13905514216810316,0.07021913627663087
journaling,linguistic+acoustic,-0.17345021688362366,0.28334431800996235,0.12671543122171874,-0.4218124620781924,0.07491202831094507
picnicScene,acoustic,-0.1457864276310989,0.21836181755084513,0.09765437354681927,-0.33718899978286465,0.04561614452066687
picnicScene,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
picnicScene,demographics,-0.024625472533099345,0.014452250070605448,0.006463242717139983,-0.03729342825869371,-0.01195751680750498
picnicScene,full,-0.14457161546093378,0.16555781505195746,0.07403970573250294,-0.28968943869663955,0.0005462077747719896
picnicScene,linguistic,0.02928962779572124,0.11229239132000483,0.05021868406950763,-0.06913899298051371,0.12771824857195618
picnicScene,linguistic+acoustic,-0.12270453625800977,0.17237199105503861,0.0770870978832104,-0.27379524810910216,0.02838617559308261
