task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.10498516438770022,0.11594597899806615,0.05185261815148777,-0.20661629596461625,-0.0033540328107841966
cookieTheft,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
cookieTheft,demographics,-0.40310566040705886,0.13693045989963556,0.06123716330517883,-0.5231305004852094,-0.28308082032890836
cookieTheft,full,-0.019640565225160223,0.08603898809355916,0.03847780521849866,-0.09505706345341759,0.05577593300309715
cookieTheft,linguistic,-0.026087017014233372,0.13787014140541945,0.06165740165000525,-0.14693552424824366,0.09476149021977692
cookieTheft,linguistic+acoustic,-0.021936661283467763,0.10466614508474198,0.04680812307046771,-0.11368058250158447,0.06980725993464895
journaling,acoustic,-0.12350649130427258,0.13047528614347384,0.05835032184010877,-0.23787312211088577,-0.009139860497659386
journaling,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
journaling,demographics,-0.40310566040705886,0.13693045989963556,0.06123716330517883,-0.5231305004852094,-0.28308082032890836
journaling,full,-0.04179153116216776,0.056869842108765875,0.025432966564976095,-0.09164014562952091,0.00805708330518539
journaling,linguistic,-0.08476164301996825,0.08386022620190785,0.03750343327919499,-0.15826837224719043,-0.011254913792746069
journaling,linguistic+acoustic,-0.03187990064638395,0.05821498557040406,0.02603453300891857,-0.08290758534386435,0.019147784051096448
picnicScene,acoustic,-0.09834549992335959,0.1195190983508054,0.05345056570437678,-0.20310860870393807,0.006417608857218898
picnicScene,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
picnicScene,demographics,-0.40310566040705886,0.13693045989963556,0.06123716330517883,-0.5231305004852094,-0.28308082032890836
picnicScene,full,0.020659927413478017,0.12135285768495346,0.054270647809482736,-0.08571054229310815,0.12703039712006417
picnicScene,linguistic,0.005129282995850226,0.1025714782309797,0.04587135957542209,-0.08477858177197709,0.09503714776367753
picnicScene,linguistic+acoustic,0.026080792555966535,0.11470760416339773,0.05129880008909904,-0.07446485561866759,0.12662644073060064
