task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
cookieTheft,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
cookieTheft,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
cookieTheft,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
cookieTheft,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
cookieTheft,demographics,0,-0.04026876764911913,1.755450084247373,1.4167396101329766
cookieTheft,demographics,1,-0.010408955078687665,2.583257865616389,1.7629828844403246
cookieTheft,demographics,2,-0.022456331462328505,2.4112318080212094,1.6667357970938468
cookieTheft,demographics,3,-0.01114625075810216,2.003953943289668,1.4814763161214852
cookieTheft,demographics,4,-0.03884705771725927,2.683354781815914,1.7317488578532445
cookieTheft,linguistic,0,-0.3801144799062488,2.021963266038128,1.6659214985703756
cookieTheft,linguistic,1,0.012263323626593103,2.554110939402074,1.7632859370679372
cookieTheft,linguistic,2,-0.00019417335283655746,2.384837213306798,1.6617296761997682
cookieTheft,linguistic,3,-0.19296699939109163,2.176681885625969,1.5547120722962098
cookieTheft,linguistic,4,0.088523584887783,2.5134775341171585,1.6965864208676926
cookieTheft,acoustic,0,-0.7969914344276696,2.307218410810769,1.6846547180291944
cookieTheft,acoustic,1,-0.353081046211013,2.98937964042316,2.0156240276448028
cookieTheft,acoustic,2,0.022864872037614448,2.35718621674385,1.6254472580164032
cookieTheft,acoustic,3,-0.17640520237131962,2.1615197905407086,1.6388867810579157
cookieTheft,acoustic,4,0.022250688459825585,2.603251033130586,1.7645294728136365
cookieTheft,linguistic+acoustic,0,-0.8032977753012762,2.311263327872528,1.7992950862742072
cookieTheft,linguistic+acoustic,1,-0.31852760242087763,2.950963107399284,2.0375498500023888
cookieTheft,linguistic+acoustic,2,-0.0790922226327948,2.477113242155689,1.7379380879549673
cookieTheft,linguistic+acoustic,3,-0.25724765005622574,2.2345555953061624,1.6966413747614149
cookieTheft,linguistic+acoustic,4,0.1070920155448487,2.487743746660138,1.7977806160605454
cookieTheft,full,0,-0.7559893763153287,2.280744557193856,1.8008398753961137
cookieTheft,full,1,-0.31200685445115095,2.9436571031541483,2.056409860886627
cookieTheft,full,2,-0.06892001461939823,2.46541017609986,1.7251694990943052
cookieTheft,full,3,-0.318397050051201,2.2882520458563254,1.7564107072960287
cookieTheft,full,4,0.10265846831854075,2.4939122837666505,1.7882435543864414
picnicScene,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
picnicScene,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
picnicScene,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
picnicScene,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
picnicScene,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
picnicScene,demographics,0,-0.04026876764911913,1.755450084247373,1.4167396101329766
picnicScene,demographics,1,-0.010408955078687665,2.583257865616389,1.7629828844403246
picnicScene,demographics,2,-0.022456331462328505,2.4112318080212094,1.6667357970938468
picnicScene,demographics,3,-0.01114625075810216,2.003953943289668,1.4814763161214852
picnicScene,demographics,4,-0.03884705771725927,2.683354781815914,1.7317488578532445
picnicScene,linguistic,0,-0.14685051413031602,1.8431857828232743,1.4644828442097069
picnicScene,linguistic,1,0.04219940019574353,2.5151084680717855,1.7403425626961289
picnicScene,linguistic,2,0.0013403370378931578,2.3830070875702054,1.7026286609741537
picnicScene,linguistic,3,0.13463442245134105,1.8538754612129824,1.4073778174381768
picnicScene,linguistic,4,0.11512449342394449,2.4765287666407803,1.7385089663387654
picnicScene,acoustic,0,-0.5014029339412984,2.1089405393739082,1.694591585700283
picnicScene,acoustic,1,-0.1883754124217567,2.8015346347374477,1.887461668968634
picnicScene,acoustic,2,-0.05542016359019297,2.449792345108228,1.7518182070140405
picnicScene,acoustic,3,-0.0506122638632891,2.042687734007102,1.552130017154578
picnicScene,acoustic,4,0.0668786356610428,2.5431463694452066,1.7511793931263049
picnicScene,linguistic+acoustic,0,-0.3976246910599144,2.0347496728004386,1.5855210021350719
picnicScene,linguistic+acoustic,1,-0.13604205476589137,2.7391535062074275,1.901560645157337
picnicScene,linguistic+acoustic,2,-0.04785005249698471,2.440990838849706,1.791774701694232
picnicScene,linguistic+acoustic,3,-0.10178107940623793,2.0918397099054213,1.595178152014367
picnicScene,linguistic+acoustic,4,0.06977519643897956,2.5391961311335685,1.8998158538056915
picnicScene,full,0,-0.4019075330341484,2.03786490303529,1.5867383105792041
picnicScene,full,1,-0.14329626865269796,2.7478850428171073,1.8751151712215668
picnicScene,full,2,-0.05729464316796329,2.4519668575647584,1.8116339992461712
picnicScene,full,3,-0.16398958952969855,2.1500833499600107,1.6673083489569425
picnicScene,full,4,0.0436299570798393,2.574632647326409,1.912028096227756
journaling,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
journaling,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
journaling,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
journaling,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
journaling,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
journaling,demographics,0,-0.04026876764911913,1.755450084247373,1.4167396101329766
journaling,demographics,1,-0.010408955078687665,2.583257865616389,1.7629828844403246
journaling,demographics,2,-0.022456331462328505,2.4112318080212094,1.6667357970938468
journaling,demographics,3,-0.01114625075810216,2.003953943289668,1.4814763161214852
journaling,demographics,4,-0.03884705771725927,2.683354781815914,1.7317488578532445
journaling,linguistic,0,-0.2356244248023791,1.9131937229758658,1.4981221939890474
journaling,linguistic,1,0.07503833501428536,2.4716162051051587,1.762877582413165
journaling,linguistic,2,0.027745809772536822,2.3512915955840255,1.745100632047521
journaling,linguistic,3,-0.030469302373247853,2.023011154376936,1.5305111543760532
journaling,linguistic,4,-0.00878043233987591,2.6442384421595584,1.8096881916322365
journaling,acoustic,0,-0.47060735826130085,2.0872000303310965,1.6557872519822354
journaling,acoustic,1,-0.21303070641374622,2.830447242933312,2.0001430521304338
journaling,acoustic,2,-0.030457630875094344,2.420648048787981,1.6889855386176271
journaling,acoustic,3,-0.11978581562585355,2.1088623290094666,1.6024697218867558
journaling,acoustic,4,-0.12738265409831007,2.795361402370005,1.8967544868148243
journaling,linguistic+acoustic,0,-0.6692679420184591,2.223712982267507,1.802608023803777
journaling,linguistic+acoustic,1,-0.13603578337746236,2.7391459456073424,2.01934964634466
journaling,linguistic+acoustic,2,0.025642468177467737,2.35383357358991,1.8466953485155095
journaling,linguistic+acoustic,3,-0.06171224065486136,2.0534501308403024,1.6336897381717048
journaling,linguistic+acoustic,4,-0.02587758654480332,2.666552021530855,1.8696640819281767
journaling,full,0,-0.6800024973169057,2.230851535695026,1.7838587121009344
journaling,full,1,-0.13770664404257738,2.7411595483814466,1.999919697180762
journaling,full,2,0.024219194666751154,2.3555521041812466,1.8454051533312208
journaling,full,3,-0.10162275129512399,2.091689403762266,1.6668721132409894
journaling,full,4,-0.05596417619023608,2.705371324742323,1.9042412803951299
