task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
cookieTheft,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
cookieTheft,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
cookieTheft,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
cookieTheft,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
cookieTheft,demographics,0,-0.6439429944700652,2.2067802169029367,1.7550246371275782
cookieTheft,demographics,1,-0.3034369885039814,2.9340275511941285,2.0403871378494665
cookieTheft,demographics,2,-0.3457050117847149,2.7662505588497432,2.006746308141831
cookieTheft,demographics,3,-0.3498207052671638,2.315361410932691,1.8062594928219926
cookieTheft,demographics,4,-0.3726226020093688,3.0844509115617216,2.087553405305257
cookieTheft,linguistic,0,-0.19445993036163678,1.8810550161694393,1.489607843137255
cookieTheft,linguistic,1,0.1591066307085317,2.356620390547573,1.693607305936073
cookieTheft,linguistic,2,0.01413530779074923,2.367692160977484,1.6627860696517414
cookieTheft,linguistic,3,-0.12581875565339629,2.114535534417852,1.5664473684210525
cookieTheft,linguistic,4,0.016601662444585275,2.6107604492669925,1.7637037037037036
cookieTheft,acoustic,0,-0.21939184334815742,1.9005852211901828,1.5150980392156863
cookieTheft,acoustic,1,-0.10349962123992418,2.6996363135182415,1.9695433789954342
cookieTheft,acoustic,2,-0.040126368756910225,2.4319779500615146,1.6761194029850748
cookieTheft,acoustic,3,-0.21384704812485822,2.1956480746777833,1.657236842105263
cookieTheft,acoustic,4,0.05193905953134892,2.5634238292555254,1.7936296296296297
cookieTheft,linguistic+acoustic,0,-0.1305678215603132,1.8300544654204227,1.4523529411764704
cookieTheft,linguistic+acoustic,1,0.08749991357735287,2.454910278377979,1.775981735159817
cookieTheft,linguistic+acoustic,2,0.0031894138438369746,2.380799926888852,1.667363184079602
cookieTheft,linguistic+acoustic,3,-0.13256348865566925,2.1208601228790913,1.5883771929824562
cookieTheft,linguistic+acoustic,4,0.0627586763774538,2.548754492888748,1.7483456790123455
cookieTheft,full,0,-0.10734771606853521,1.8111637287356386,1.4498529411764707
cookieTheft,full,1,0.08277764186928649,2.4612542742958774,1.7807762557077627
cookieTheft,full,2,0.0012985261215143762,2.3830569717654537,1.6614925373134328
cookieTheft,full,3,-0.10942008425452632,2.099078884592642,1.5902631578947368
cookieTheft,full,4,0.034488806206459555,2.5869077779951595,1.7728888888888892
picnicScene,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
picnicScene,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
picnicScene,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
picnicScene,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
picnicScene,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
picnicScene,demographics,0,-0.6439429944700652,2.2067802169029367,1.7550246371275782
picnicScene,demographics,1,-0.3034369885039814,2.9340275511941285,2.0403871378494665
picnicScene,demographics,2,-0.3457050117847149,2.7662505588497432,2.006746308141831
picnicScene,demographics,3,-0.3498207052671638,2.315361410932691,1.8062594928219926
picnicScene,demographics,4,-0.3726226020093688,3.0844509115617216,2.087553405305257
picnicScene,linguistic,0,-0.1517448340055847,1.847114602005294,1.491813725490196
picnicScene,linguistic,1,0.05080476547892743,2.503784471931913,1.7484474885844752
picnicScene,linguistic,2,-0.04091724255007967,2.4329023676153256,1.6792537313432836
picnicScene,linguistic,3,0.062484615859661474,1.9296118144295151,1.5037719298245613
picnicScene,linguistic,4,0.10501911019632659,2.490629748318661,1.6576296296296293
picnicScene,acoustic,0,-0.17425702761402406,1.8650792444921191,1.5071078431372547
picnicScene,acoustic,1,-0.03598302296158962,2.615745497048068,1.838401826484018
picnicScene,acoustic,2,-0.14112530927072187,2.5473184938521256,1.7144776119402987
picnicScene,acoustic,3,-0.21862472685089318,2.1999648455458165,1.6184649122807018
picnicScene,acoustic,4,0.07826258708043077,2.527585747691689,1.7224197530864196
picnicScene,linguistic+acoustic,0,-0.09076799393249901,1.7975538025891227,1.4335784313725488
picnicScene,linguistic+acoustic,1,0.0291454986428884,2.5321897202421164,1.74986301369863
picnicScene,linguistic+acoustic,2,-0.056043469403745494,2.450515632611154,1.6968159203980098
picnicScene,linguistic+acoustic,3,0.043307419556785964,1.949247343124613,1.4882894736842105
picnicScene,linguistic+acoustic,4,0.20476250791640283,2.3477438605111716,1.6171851851851853
picnicScene,full,0,-0.11745043610163064,1.8194069097560264,1.4512254901960784
picnicScene,full,1,0.02478269905424424,2.5378728853794055,1.7692237442922374
picnicScene,full,2,-0.0558522108177284,2.4502937177984574,1.689601990049751
picnicScene,full,3,0.049080699562017216,1.9433569557109012,1.4913157894736842
picnicScene,full,4,0.20273888537048768,2.350729087495697,1.6315061728395064
journaling,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
journaling,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
journaling,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
journaling,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
journaling,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
journaling,demographics,0,-0.6439429944700652,2.2067802169029367,1.7550246371275782
journaling,demographics,1,-0.3034369885039814,2.9340275511941285,2.0403871378494665
journaling,demographics,2,-0.3457050117847149,2.7662505588497432,2.006746308141831
journaling,demographics,3,-0.3498207052671638,2.315361410932691,1.8062594928219926
journaling,demographics,4,-0.3726226020093688,3.0844509115617216,2.087553405305257
journaling,linguistic,0,-0.2331049470817388,1.9112421960667738,1.4897549019607845
journaling,linguistic,1,-0.06446691338556576,2.6514610429158596,1.845890410958904
journaling,linguistic,2,-0.054872703213281415,2.4491568928722827,1.8124378109452737
journaling,linguistic,3,-0.036557207467386776,2.0289782235349265,1.5635087719298244
journaling,linguistic,4,-0.03480644395186849,2.6781312199509046,1.7919506172839508
journaling,acoustic,0,-0.3232488158030822,1.9798690291403167,1.5870098039215688
journaling,acoustic,1,-0.12728285714060217,2.7285732580147304,1.945068493150685
journaling,acoustic,2,-0.07778465355585196,2.4756119902699134,1.7314427860696517
journaling,acoustic,3,-0.12720205465767198,2.11583420568931,1.5652631578947367
journaling,acoustic,4,0.03798592463584538,2.5822185886377187,1.7402962962962965
journaling,linguistic+acoustic,0,-0.09546203330230618,1.801417470205278,1.425049019607843
journaling,linguistic+acoustic,1,-0.06435564710831398,2.6513224637333552,1.8878995433789953
journaling,linguistic+acoustic,2,-0.03830792481739764,2.429851117060044,1.7690547263681593
journaling,linguistic+acoustic,3,-0.020421222259759952,2.013123827254461,1.5062719298245615
journaling,linguistic+acoustic,4,0.059147324255858,2.553660166684984,1.7074074074074073
journaling,full,0,-0.10677527493363659,1.8106955295282512,1.4280392156862742
journaling,full,1,-0.0737682487141178,2.663020109481106,1.8863926940639266
journaling,full,2,-0.03699717064082808,2.42831691741618,1.7787064676616915
journaling,full,3,-0.037066898191033815,2.029477001738328,1.5013596491228072
journaling,full,4,0.04564993666877748,2.57191222834063,1.721679012345679
