task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.15692405904155118,0.2231024556430627,0.09977445135300395,-0.3524819836934389,0.03863386561033655
cookieTheft,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
cookieTheft,demographics,0.06702187707724497,0.01795361984608134,0.008029102883605437,0.05128483542537832,0.08275891872911162
cookieTheft,full,-0.06332609140640551,0.14587727536411213,0.06523830081732201,-0.19119316100835665,0.06454097819554565
cookieTheft,linguistic,0.05761434475634928,0.0520342040307695,0.02327040347357883,0.012004353948134774,0.10322433556456379
cookieTheft,linguistic+acoustic,-0.09803462921558806,0.15625027557718385,0.06987724753873165,-0.23499403439150207,0.03892477596032595
journaling,acoustic,-0.04166088774611376,0.1379297107636172,0.0616840418768665,-0.16256160982477208,0.07923983433254457
journaling,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
journaling,demographics,0.06702187707724497,0.01795361984608134,0.008029102883605437,0.05128483542537832,0.08275891872911162
journaling,full,-0.07282734542285536,0.16148031257236145,0.07221619118794283,-0.2143710801512233,0.06871638930551256
journaling,linguistic,-0.07229047752536426,0.061842067334404636,0.027656613285769596,-0.12649743956547266,-0.01808351548525585
journaling,linguistic+acoustic,-0.12332146921794233,0.19780007196338367,0.08845888137289523,-0.296700876708817,0.050057938272932326
picnicScene,acoustic,-0.12878798066839986,0.10321448927236603,0.04615892285518665,-0.2192594694645657,-0.03831649187223403
picnicScene,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
picnicScene,demographics,0.06702187707724497,0.01795361984608134,0.008029102883605437,0.05128483542537832,0.08275891872911162
picnicScene,full,-0.16664809152485996,0.05832821737119192,0.026085171809673843,-0.2177750282718207,-0.11552115477789923
picnicScene,linguistic,0.021448348806642637,0.02897845235174189,0.012959557868246702,-0.003952384615120898,0.04684908222840617
picnicScene,linguistic+acoustic,-0.16627398282327377,0.058177327052428104,0.026017691607693343,-0.21726865837435272,-0.11527930727219482
