task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.04669916417827489,0.013070459984766324,0.005845287404625673,0.03524240086520857,0.05815592749134121
cookieTheft,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
cookieTheft,demographics,-0.14569691865706025,0.05143411053918862,0.02300203350557282,-0.19078090432798298,-0.10061293298613752
cookieTheft,full,0.11040837018005731,0.01229333040825927,0.0054977444925465935,0.09963279097466599,0.12118394938544863
cookieTheft,linguistic,0.07962821377633449,0.02773395153527654,0.0124030001835126,0.055318333416649795,0.10393809413601918
cookieTheft,linguistic+acoustic,0.1067132772956653,0.009777799861416135,0.0043727650321029,0.0981426578327436,0.11528389675858698
journaling,acoustic,0.019562333614539452,0.05622561818456378,0.025144860867526583,-0.02972159368581265,0.06884626091489156
journaling,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
journaling,demographics,-0.14569691865706025,0.05143411053918862,0.02300203350557282,-0.19078090432798298,-0.10061293298613752
journaling,full,0.0701873494235146,0.029245829505446182,0.013079132566509343,0.04455224959315628,0.0958224492538729
journaling,linguistic,-0.031096830066894697,0.02225220187385518,0.009951487207797675,-0.05060174499417814,-0.011591915139611254
journaling,linguistic+acoustic,0.05683565346858253,0.02299343869886731,0.010282978393428323,0.03668101581746301,0.07699029111970204
picnicScene,acoustic,0.029756027193134103,0.05233529802844296,0.023405056802861833,-0.01611788414047509,0.0756299385267433
picnicScene,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
picnicScene,demographics,-0.14569691865706025,0.05143411053918862,0.02300203350557282,-0.19078090432798298,-0.10061293298613752
picnicScene,full,0.11689667603436198,0.04099396960454522,0.018333060540664654,0.08096387737465927,0.1528294746940647
picnicScene,linguistic,0.08759662032560638,0.03024355950619813,0.013525330987483796,0.06108697159013814,0.11410626906107461
picnicScene,linguistic+acoustic,0.10798966133387551,0.03899434278667664,0.01743880024178751,0.07380961285997199,0.14216970980777904
