task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
cookieTheft,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
cookieTheft,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
cookieTheft,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
cookieTheft,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
cookieTheft,demographics,0,0.04851650852068301,5.493245821758806,4.269570981166202
cookieTheft,demographics,1,0.09440306666192955,5.199250797280374,3.9912910953257343
cookieTheft,demographics,2,0.053392242081404584,4.979817084400303,4.110482861019119
cookieTheft,demographics,3,0.06919222888188925,5.406519112442893,4.172511442780147
cookieTheft,demographics,4,0.06960533924031842,5.493067578165331,4.2814928229211535
cookieTheft,linguistic,0,0.1210303856646765,5.279774039254163,4.033663770611072
cookieTheft,linguistic,1,0.030090254646108927,5.380702209003888,4.214231521617564
cookieTheft,linguistic,2,-0.012701349631739411,5.150733209629266,4.285812735518978
cookieTheft,linguistic,3,0.05879078957035666,5.436643135265768,4.2579472426894736
cookieTheft,linguistic,4,0.09086164353234372,5.42995621608991,4.132047834305214
cookieTheft,acoustic,0,0.04516584347747443,5.502909600006015,4.223869749613757
cookieTheft,acoustic,1,-0.5371077428715916,6.773692081830446,5.085883995872389
cookieTheft,acoustic,2,-0.05193080093339164,5.249548432770947,4.525906256746893
cookieTheft,acoustic,3,-0.12379675016382752,5.9406180202771885,4.528628931620427
cookieTheft,acoustic,4,-0.11695084471641959,6.018640007378715,4.49984068183451
cookieTheft,linguistic+acoustic,0,0.003921648450380122,5.620502637807774,4.263298488933849
cookieTheft,linguistic+acoustic,1,-0.32985075345462134,6.300496103857208,4.668648986992607
cookieTheft,linguistic+acoustic,2,-0.17116843772708368,5.539085145397079,4.613377032176
cookieTheft,linguistic+acoustic,3,-0.058064342732373264,5.764262920612671,4.386523808792235
cookieTheft,linguistic+acoustic,4,0.06498873938575789,5.506678960397499,4.239788228799563
cookieTheft,full,0,-0.022617440834834746,5.694885582498956,4.405403542196915
cookieTheft,full,1,-0.28047471311642047,6.182424176320798,4.71477671444746
cookieTheft,full,2,-0.07829509619126895,5.314925436949865,4.513449302735597
cookieTheft,full,3,-0.0618745360051145,5.774632431118562,4.469574961961736
cookieTheft,full,4,0.12663132911561115,5.322064599435226,4.028066867332612
picnicScene,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
picnicScene,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
picnicScene,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
picnicScene,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
picnicScene,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
picnicScene,demographics,0,0.04851650852068301,5.493245821758806,4.269570981166202
picnicScene,demographics,1,0.09440306666192955,5.199250797280374,3.9912910953257343
picnicScene,demographics,2,0.053392242081404584,4.979817084400303,4.110482861019119
picnicScene,demographics,3,0.06919222888188925,5.406519112442893,4.172511442780147
picnicScene,demographics,4,0.06960533924031842,5.493067578165331,4.2814928229211535
picnicScene,linguistic,0,0.055261997805521434,5.473739157070728,4.1598182899512635
picnicScene,linguistic,1,0.029277137153947752,5.382957174748496,4.206813337757359
picnicScene,linguistic,2,0.015942957131662494,5.077366322521582,4.1480338944903
picnicScene,linguistic,3,-0.023741177373103328,5.669996990405553,4.3230737749462795
picnicScene,linguistic,4,0.03050082931518483,5.607316345267175,4.338887986549338
picnicScene,acoustic,0,-0.05199626737100638,5.776110656963783,4.6051244281626404
picnicScene,acoustic,1,-0.2400630958771257,6.084083797617424,4.905287764175207
picnicScene,acoustic,2,-0.17688340348012543,5.552583271356518,4.446307008131586
picnicScene,acoustic,3,-0.18396359783933347,6.097571720440647,4.764124058211803
picnicScene,acoustic,4,0.008966461225591638,5.669248754555207,4.497172498901506
picnicScene,linguistic+acoustic,0,-0.06996657678113216,5.825235815870648,4.498718330784478
picnicScene,linguistic+acoustic,1,-0.20765992898361296,6.004068295852523,4.767745593209667
