task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
cookieTheft,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
cookieTheft,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
cookieTheft,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
cookieTheft,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
cookieTheft,demographics,0,-0.12649125093137514,5.977124703443775,4.624813219086942
cookieTheft,demographics,1,-0.2126212367796041,6.016388610130946,4.5358263931835365
cookieTheft,demographics,2,-0.13191179627261196,5.445461026196813,4.343947882981217
cookieTheft,demographics,3,-0.07888851985606582,5.8207108840331445,4.518770867540348
cookieTheft,demographics,4,-0.17857178944564422,6.182432137755677,4.864663280891222
cookieTheft,linguistic,0,0.07199612366983554,5.4250444438886465,4.128175182481752
cookieTheft,linguistic,1,0.09144215274074274,5.207743522159342,4.068117913832199
cookieTheft,linguistic,2,0.04649180430875943,4.997934684558324,4.0133827160493825
cookieTheft,linguistic,3,0.12019826506609332,5.256300061059141,4.072640692640692
cookieTheft,linguistic,4,0.0680127230962414,5.497766985792082,4.166176470588235
cookieTheft,acoustic,0,0.06713797700006263,5.439226097091369,4.171727493917275
cookieTheft,acoustic,1,0.042544796950642505,5.346043980682,4.24798185941043
cookieTheft,acoustic,2,0.05005810500035612,4.98857931894434,4.219604938271606
cookieTheft,acoustic,3,0.0415748139335973,5.486139560084784,4.1525108225108225
cookieTheft,acoustic,4,0.03218012800671588,5.602457939808229,4.313970588235295
cookieTheft,linguistic+acoustic,0,0.09850695366562434,5.346992757528975,4.117712895377129
cookieTheft,linguistic+acoustic,1,0.1183043166850638,5.1301805849762365,4.065351473922903
cookieTheft,linguistic+acoustic,2,0.09662590952694117,4.864768478116817,4.061481481481481
cookieTheft,linguistic+acoustic,3,0.10474916454182381,5.302248889862045,4.039610389610389
cookieTheft,linguistic+acoustic,4,0.11538004205887331,5.356235996694655,4.086176470588235
cookieTheft,full,0,0.1001314777482103,5.342172844975732,4.133430656934307
cookieTheft,full,1,0.12716362413027582,5.104341400590957,4.067165532879819
cookieTheft,full,2,0.11107754175341278,4.825699787203302,4.039604938271605
cookieTheft,full,3,0.09703257752039451,5.325051145009755,4.058614718614718
cookieTheft,full,4,0.11663662974799316,5.352430423453303,4.113382352941176
picnicScene,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
picnicScene,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
picnicScene,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
picnicScene,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
picnicScene,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
picnicScene,demographics,0,-0.12649125093137514,5.977124703443775,4.624813219086942
picnicScene,demographics,1,-0.2126212367796041,6.016388610130946,4.5358263931835365
picnicScene,demographics,2,-0.13191179627261196,5.445461026196813,4.343947882981217
picnicScene,demographics,3,-0.07888851985606582,5.8207108840331445,4.518770867540348
picnicScene,demographics,4,-0.17857178944564422,6.182432137755677,4.864663280891222
picnicScene,linguistic,0,0.08011566510466606,5.40125917252857,4.062871046228711
picnicScene,linguistic,1,0.09422109228689457,5.199773150467867,4.175011337868481
picnicScene,linguistic,2,0.052757379892176215,4.9814867134765315,4.018666666666666
picnicScene,linguistic,3,0.07622139003877304,5.386066278529253,4.1623809523809525
picnicScene,linguistic,4,0.134667574305522,5.297522697641432,4.201813725490196
picnicScene,acoustic,0,0.08435329028124972,5.388803838761629,4.162287104622871
picnicScene,acoustic,1,-0.0458051381430169,5.587257422264121,4.403582766439909
picnicScene,acoustic,2,0.06274782488490849,4.9551475334433075,4.148197530864198
picnicScene,acoustic,3,0.0002390053542901116,5.603196289441292,4.353463203463203
picnicScene,acoustic,4,0.04724515358823911,5.558683162110611,4.39171568627451
picnicScene,linguistic+acoustic,0,0.1541902725885308,5.179224578485439,3.9890997566909974
picnicScene,linguistic+acoustic,1,0.0747770336975534,5.255287716157111,4.183628117913832
