task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.006263047101746899,0.026087579881807398,0.011666720396835454,-0.02912981907954439,0.01660372487605059
cookieTheft,baseline,-0.0025010615774027746,0.0019149720672499396,0.0008564015434768327,-0.004179608602617367,-0.0008225145521881826
cookieTheft,demographics,-0.20104524072009075,0.05073021520660021,0.02268724194303032,-0.24551223492843016,-0.15657824651175134
cookieTheft,full,0.040193456010734915,0.02864879757383769,0.012812131769746424,0.015081677742031924,0.06530523427943791
cookieTheft,linguistic,0.002080436946730013,0.029711612726077596,0.013287437155331467,-0.023962939877719663,0.028123813771179687
cookieTheft,linguistic+acoustic,0.025880164360400436,0.03611733977628824,0.01615216538124751,-0.005778079786844678,0.05753840850764555
journaling,acoustic,-0.050397716125832256,0.0402061677298491,0.017980744831740197,-0.08563997599604303,-0.015155456255621473
journaling,baseline,-0.0022546479839685497,0.001563976614730538,0.0006994316051514964,-0.0036255339300654828,-0.0008837620378716166
journaling,demographics,-0.20487754501160857,0.05733017119497355,0.02563883199073224,-0.25512965571344376,-0.15462543430977338
journaling,full,0.0024027629579406627,0.03281475686798632,0.0146752054043891,-0.026360639634661974,0.0311661655505433
journaling,linguistic,-0.03910291894240166,0.056728852136873356,0.025369913932716603,-0.0888279502505262,0.010622112365722886
journaling,linguistic+acoustic,-0.01205807803362935,0.03330274425895721,0.014893440000063837,-0.041249220433754466,0.01713306436649577
picnicScene,acoustic,0.022564611609497208,0.03464517319700734,0.015493792472152426,-0.007803221635921547,0.052932444854915967
picnicScene,baseline,-0.0023207800364143604,0.0014246972441322833,0.0006371439770472797,-0.0035695822314270285,-0.0010719778414016922
picnicScene,demographics,-0.20657542076807286,0.05977343409595229,0.0267314923774306,-0.2589691458278368,-0.1541816957083089
picnicScene,full,0.01887067805512712,0.044374616047119494,0.019844931591362438,-0.020025387863943256,0.057766743974197496
picnicScene,linguistic,-0.010852563518165192,0.04281135093914231,0.019145818181704334,-0.048378367154305685,0.026673240117975297
picnicScene,linguistic+acoustic,-0.0041161010408601985,0.05937493535037122,0.026553278320617067,-0.05616052654926965,0.04792832446754925
