task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.09412661158407414,0.1013697725844016,0.0453339404724833,0.005272088258006874,0.1829811349101414
cookieTheft,baseline,-0.010263309241886587,0.014713488617797784,0.006580072147113053,-0.02316025065022817,0.002633632166454996
cookieTheft,demographics,-0.011459561391199325,0.04584030310385175,0.020500406769881425,-0.05164035866016691,0.028721235877768266
cookieTheft,full,0.10650106408129933,0.20514506288616655,0.09174366117238751,-0.0733165118165802,0.28631863997917884
cookieTheft,linguistic,0.11457119783215224,0.1963300670320227,0.08780147518213861,-0.057519693524839446,0.28666208918914393
cookieTheft,linguistic+acoustic,0.10673136906974263,0.19735330222284178,0.08825907987086691,-0.0662564274771565,0.2797191656166418
journaling,acoustic,0.04344721306715475,0.03883721549657716,0.017368530781430958,0.009404892735550077,0.07748953339875943
journaling,baseline,-0.010708135891977832,0.015552609240654918,0.0069553382979191565,-0.02434059895589938,0.0029243271719437136
journaling,demographics,-0.012258226568025532,0.04668600271223979,0.020878615132461545,-0.05318031222765016,0.028663859091599096
journaling,full,0.045946992796918426,0.13456759603991286,0.06018045846279533,-0.07200670579016041,0.16390069138399727
journaling,linguistic,0.010678712141106984,0.15955848017658672,0.07135672161228011,-0.12918046221896204,0.15053788650117603
journaling,linguistic+acoustic,0.05134527901323036,0.13040540084699231,0.05831906818539669,-0.06296009463014715,0.1656506526566079
picnicScene,acoustic,0.06456631649064637,0.12425956980974409,0.055570568989893675,-0.04435199872954523,0.17348463171083797
picnicScene,baseline,-0.010365647090623976,0.014893066762303807,0.006660381934790803,-0.02341999568281395,0.002688701501565997
picnicScene,demographics,-0.011589422300385888,0.04606342624518126,0.02060019047215464,-0.05196579562580898,0.028786951025037203
picnicScene,full,0.09313911904310361,0.08701107722914032,0.03891253669596836,0.01687054711900564,0.1694076909672016
picnicScene,linguistic,0.07771193012516293,0.07299934715339133,0.032646300509617754,0.013725181126312144,0.14169867912401374
picnicScene,linguistic+acoustic,0.10048217407195033,0.08873756056264642,0.03968464351511638,0.02270027278232223,0.17826407536157843
