target,task,model,r2_oof,r2_ci_low,r2_ci_high,n_subjects,n_boot
SemanticFluencyScore,cookieTheft,acoustic,0.07716436221953771,0.033207024909075115,0.11884270423910397,970,1000
SemanticFluencyScore,cookieTheft,baseline,-0.002472695525000068,-0.00800621179771272,-0.0006989217204113054,970,1000
SemanticFluencyScore,cookieTheft,demographics,0.016759720382064303,-0.031048793005684864,0.06117245125267634,970,1000
SemanticFluencyScore,cookieTheft,full,0.1708725050428468,0.13471406697306776,0.2060239681860944,970,1000
SemanticFluencyScore,cookieTheft,linguistic,0.13700275202649204,0.09896522276441616,0.17566643640184748,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,0.16026004083550183,0.1236705980061373,0.1964608455929621,970,1000
SemanticFluencyScore,journaling,acoustic,0.045361433200301726,-0.005785728254257624,0.08996901690361123,970,1000
SemanticFluencyScore,journaling,baseline,-0.002472695525000068,-0.008045799630062597,-0.0007822001888705857,970,1000
SemanticFluencyScore,journaling,demographics,0.016759720382064303,-0.03021944660920834,0.06171641760641634,970,1000
SemanticFluencyScore,journaling,full,0.15928071932586807,0.11832106620203832,0.19750169694454842,970,1000
SemanticFluencyScore,journaling,linguistic,0.0816602799401227,0.043075575580848846,0.11604748759533186,970,1000
SemanticFluencyScore,journaling,linguistic+acoustic,0.1490642023371268,0.10903064839064411,0.18840898751762192,970,1000
SemanticFluencyScore,picnicScene,acoustic,0.0934382779902555,0.04729285900372129,0.13924608902179886,970,1000
SemanticFluencyScore,picnicScene,baseline,-0.002472695525000068,-0.008637954934902058,-0.0005845446612319285,970,1000
SemanticFluencyScore,picnicScene,demographics,0.016759720382064303,-0.03270030243341908,0.06471332091410965,970,1000
SemanticFluencyScore,picnicScene,full,0.1856401850925007,0.14630902768018667,0.22120000761433667,970,1000
SemanticFluencyScore,picnicScene,linguistic,0.14253893277177232,0.1035509603680116,0.1773510982497171,970,1000
SemanticFluencyScore,picnicScene,linguistic+acoustic,0.1782444059603553,0.14053788133405823,0.21564683967256337,970,1000
