task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.04645499869846992,0.03588886029948031,0.016049986252926286,0.014997025642734398,0.07791297175420545
cookieTheft,baseline,-0.006247646646712335,0.006475333472971102,0.0028958571645086363,-0.011923526689149262,-0.000571766604275408
cookieTheft,demographics,-0.10880387878387535,0.030774965494737214,0.013762982970288572,-0.13577932540564094,-0.08182843216210975
cookieTheft,full,0.1474917852471286,0.021771230170171723,0.009736390122859657,0.1284084606063237,0.16657510988793353
cookieTheft,linguistic,0.09712957090635777,0.043060678955131854,0.01925732106019389,0.05938522162837774,0.1348739201843378
cookieTheft,linguistic+acoustic,0.131576665917731,0.038392617951013404,0.017169700714528932,0.0979240525172543,0.16522927931820772
journaling,acoustic,0.007582234066095395,0.047902083583673656,0.021422463031394206,-0.03440579347543725,0.049570261607628036
journaling,baseline,-0.005417086819123984,0.006016679508628295,0.00269074087602458,-0.010690938936132162,-0.00014323470211580636
journaling,demographics,-0.09909323131137744,0.037388178746185295,0.016720501846276634,-0.13186541493007964,-0.06632104769267524
journaling,full,0.09574001955069741,0.025097512419169084,0.011223948767081453,0.07374107996721777,0.11773895913417706
journaling,linguistic,0.005430974209746853,0.018494345874333712,0.008270922914880591,-0.010780034703419105,0.021641983122912812
journaling,linguistic+acoustic,0.08513052031814879,0.032303823640050994,0.014446709118463743,0.05681497044595985,0.11344607019033773
picnicScene,acoustic,0.06482485027625282,0.045867827668635355,0.02051271612946287,0.024619926662505585,0.10502977389000004
picnicScene,baseline,-0.0056754357296274534,0.0057683227626720065,0.0025796723626987984,-0.010731593560517099,-0.0006192778987378087
picnicScene,demographics,-0.1098591036051105,0.037647820497284455,0.016836617167327594,-0.1428588732530726,-0.07685933395714842
picnicScene,full,0.1408772670673582,0.06880566980714625,0.030770830985236773,0.08056643833629412,0.20118809579842228
picnicScene,linguistic,0.09305205048754919,0.07093880915910661,0.031724799904529415,0.03087144267467154,0.15523265830042685
picnicScene,linguistic+acoustic,0.12913824495036028,0.07142472643943254,0.03194210871857953,0.0665317118619444,0.19174477803877615
