task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,SemanticFluencyScore,acoustic,full,-0.09400325066991824,-0.1254694883844155,-0.06061356728574078,0.0,970,1000
cookieTheft,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.08342617470248716,-0.11542563644671447,-0.04919315742829804,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,full,-0.17293003654406564,-0.20738502383600335,-0.13901984152917465,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,linguistic,-0.13931431173511388,-0.1784270779053121,-0.10366540657437161,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,linguistic+acoustic,-0.1623529605766346,-0.19803531630163063,-0.12837306721313987,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,full,-0.1539602776350195,-0.2087906157782183,-0.10112481440609217,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,linguistic,-0.12034455282606771,-0.18044883052330474,-0.0642881060209777,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,linguistic+acoustic,-0.14338320166758842,-0.20139807810212315,-0.08898030780376161,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,acoustic,-0.07892678587414739,-0.12189936122105459,-0.03681283723138357,0.002,970,1000
cookieTheft,SemanticFluencyScore,linguistic,full,-0.033615724808951766,-0.05636997124893034,-0.011579566985568996,0.008,970,1000
cookieTheft,SemanticFluencyScore,linguistic+acoustic,full,-0.010577075967431071,-0.019065998284194034,-0.0027673700674847855,0.01,970,1000
cookieTheft,SemanticFluencyScore,linguistic,acoustic,0.06038752586096646,0.013370233619430452,0.10598112347321463,0.016,970,1000
cookieTheft,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.023038648841520695,-0.044040112099475524,-0.0015365284798861559,0.042,970,1000
cookieTheft,SemanticFluencyScore,demographics,acoustic,-0.059957026965101246,-0.12355200871220165,0.0016121406453624932,0.056,970,1000
cookieTheft,SemanticFluencyScore,baseline,demographics,-0.018969758909046158,-0.06347437251414728,0.030697597155058452,0.434,970,1000
journaling,SemanticFluencyScore,acoustic,full,-0.1147830139151315,-0.14821101934630432,-0.08095809707234851,0.0,970,1000
journaling,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.10461859487019752,-0.13921807559056515,-0.07079745562625246,0.0,970,1000
journaling,SemanticFluencyScore,baseline,full,-0.16165562109614315,-0.20039631532440347,-0.12032882232002105,0.0,970,1000
journaling,SemanticFluencyScore,baseline,linguistic,-0.0839641857434258,-0.11872973790919132,-0.04630804862996868,0.0,970,1000
journaling,SemanticFluencyScore,baseline,linguistic+acoustic,-0.15149120205120914,-0.19046935880632773,-0.10935994326145423,0.0,970,1000
journaling,SemanticFluencyScore,demographics,full,-0.142685862187097,-0.19450498572626618,-0.09233148868578447,0.0,970,1000
journaling,SemanticFluencyScore,demographics,linguistic+acoustic,-0.132521443142163,-0.1872937455463656,-0.07843132975014226,0.0,970,1000
journaling,SemanticFluencyScore,linguistic,full,-0.07769143535271734,-0.10543785813019366,-0.05108224065474237,0.0,970,1000
journaling,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.06752701630778334,-0.09542205792833,-0.04329863387844352,0.0,970,1000
journaling,SemanticFluencyScore,linguistic+acoustic,full,-0.010164419044933988,-0.01843747131239852,-0.002364088683952707,0.006,970,1000
journaling,SemanticFluencyScore,demographics,linguistic,-0.06499442683437966,-0.12035861543748717,-0.012468922417880458,0.016,970,1000
journaling,SemanticFluencyScore,baseline,acoustic,-0.046872607181011626,-0.09054242830063794,-0.0016668350613488158,0.034,970,1000
journaling,SemanticFluencyScore,linguistic,acoustic,0.037091578562414185,-0.012876843383576997,0.08477513114845925,0.128,970,1000
journaling,SemanticFluencyScore,demographics,acoustic,-0.027902848271965465,-0.09138372641189511,0.030313864062760543,0.372,970,1000
journaling,SemanticFluencyScore,baseline,demographics,-0.018969758909046158,-0.06347437251414728,0.030697597155058452,0.434,970,1000
picnicScene,SemanticFluencyScore,acoustic,full,-0.09180816297004069,-0.12587285496416903,-0.05874598159827588,0.0,970,1000
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.08420526097679985,-0.11782587669148346,-0.04972380304150409,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.09568753283516047,-0.14060600447709645,-0.05057966406241521,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,full,-0.18749569580520117,-0.22403205035925153,-0.15108909836243645,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.1443115669686365,-0.180922089915224,-0.10719816565573001,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.1798927938119603,-0.21675418884309083,-0.1424025656384128,0.0,970,1000
picnicScene,SemanticFluencyScore,demographics,full,-0.16852593689615497,-0.22566703998387733,-0.11599568809210424,0.0,970,1000
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.12534180805959033,-0.18404114829908694,-0.06926752627980728,0.0,970,1000
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.16092303490291415,-0.22267223414642565,-0.10706141075949097,0.0,970,1000
picnicScene,SemanticFluencyScore,linguistic,full,-0.043184128836564674,-0.06827320173821845,-0.018566101661947883,0.0,970,1000
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.035581226843323835,-0.06000902658183536,-0.009397626348095336,0.006,970,1000
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.07671777392611429,-0.14355392409179188,-0.011659137338661618,0.02,970,1000
picnicScene,SemanticFluencyScore,linguistic,acoustic,0.04862403413347602,0.0025804703708252144,0.09941185297523863,0.038,970,1000
