task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.0405367217827524,0.011042127277490557,0.004938189441734714,0.030857870476952362,0.05021557308855244
cookieTheft,baseline,-0.001855999381780027,0.001860548612493986,0.0008320626345958934,-0.003486842145587978,-0.00022515661797207608
cookieTheft,demographics,0.012791057435995156,0.008733800569023443,0.0039058743548525524,0.0051355437004841535,0.02044657117150616
cookieTheft,full,0.03434119096106938,0.03377117952127693,0.015102930617984803,0.004739446949819166,0.06394293497231959
cookieTheft,linguistic,0.0038784613757254283,0.027995733013386755,0.012520072419573562,-0.02066088056663875,0.02841780331808961
cookieTheft,linguistic+acoustic,0.036501567349347154,0.03294982366189075,0.014735609110923751,0.007619773491936602,0.06538336120675771
journaling,acoustic,0.028201615598613117,0.030158706711602673,0.013487383664124544,0.0017663436169290114,0.05463688758029722
journaling,baseline,-0.001855999381780027,0.001860548612493986,0.0008320626345958934,-0.003486842145587978,-0.00022515661797207608
journaling,demographics,0.012791057435995156,0.008733800569023443,0.0039058743548525524,0.0051355437004841535,0.02044657117150616
journaling,full,0.010059655328823358,0.022350552183157985,0.009995470803239516,-0.009531467445526094,0.02965077810317281
journaling,linguistic,-0.011969336399522402,0.03797893967620048,0.016984698165869623,-0.04525934480462686,0.021320672005582058
journaling,linguistic+acoustic,0.0064572657847993264,0.02516541318981728,0.011254314914860251,-0.015601191448326765,0.028515723017925418
picnicScene,acoustic,0.04883109472814351,0.03107181431279994,0.013895737797534315,0.021595448644976253,0.07606674081131076
picnicScene,baseline,-0.001855999381780027,0.001860548612493986,0.0008320626345958934,-0.003486842145587978,-0.00022515661797207608
picnicScene,demographics,0.012791057435995156,0.008733800569023443,0.0039058743548525524,0.0051355437004841535,0.02044657117150616
picnicScene,full,0.03010322733925259,0.053190073902622495,0.023787324194900285,-0.016519928082751965,0.07672638276125715
picnicScene,linguistic,0.006745342147259947,0.04425183539059397,0.019790022412499813,-0.03204310178123968,0.04553378607575958
picnicScene,linguistic+acoustic,0.03208650212929367,0.05471610575932687,0.024469786388384526,-0.015874279191940004,0.08004728345052733
