task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.009221207844846346,0.03235338109576698,0.014468871886418318,-0.01913778105253356,0.03758019674222625
cookieTheft,baseline,-0.001855999381780027,0.001860548612493986,0.0008320626345958934,-0.003486842145587978,-0.00022515661797207608
cookieTheft,demographics,-0.20873512410789125,0.05446137634565603,0.024355867931417193,-0.2564726252534689,-0.16099762296231354
cookieTheft,full,0.04792559683118127,0.032877952739189475,0.014703467457170615,0.019106800615126866,0.07674439304723568
cookieTheft,linguistic,-0.005577232578292901,0.028912636735848665,0.012930124230023049,-0.030920276069138077,0.019765810912552275
cookieTheft,linguistic+acoustic,0.030175677579375604,0.035955260199684355,0.016079681191037375,-0.0013404975550576521,0.061691852713808865
journaling,acoustic,-0.06397099225061131,0.03609804466627416,0.016143536345722544,-0.0956123234882275,-0.03232966101299513
journaling,baseline,-0.001855999381780027,0.001860548612493986,0.0008320626345958934,-0.003486842145587978,-0.00022515661797207608
journaling,demographics,-0.20873512410789125,0.05446137634565603,0.024355867931417193,-0.2564726252534689,-0.16099762296231354
journaling,full,0.02763499989898195,0.013981452333007046,0.006252695568155356,0.015379716585397451,0.03989028321256645
journaling,linguistic,-0.02681457997784773,0.0251534015814182,0.011248943160280361,-0.04886250857199724,-0.004766651383698223
journaling,linguistic+acoustic,0.014664666180675167,0.018233330297684508,0.008154193200365806,-0.0013175524920418114,0.030646884853392148
picnicScene,acoustic,0.02183874058020243,0.03611391612758459,0.01615063427900102,-0.00981650260663957,0.05349398376704443
picnicScene,baseline,-0.001855999381780027,0.001860548612493986,0.0008320626345958934,-0.003486842145587978,-0.00022515661797207608
picnicScene,demographics,-0.20873512410789125,0.05446137634565603,0.024355867931417193,-0.2564726252534689,-0.16099762296231354
picnicScene,full,0.04106556788561766,0.031209960186075775,0.013957518510225482,0.013708831605575716,0.0684223041656596
picnicScene,linguistic,-0.00737408548278784,0.028710335334909794,0.012839652293134498,-0.03253980397733146,0.017791633011755775
picnicScene,linguistic+acoustic,0.0277215661091214,0.03130617984498894,0.01400054924984582,0.0002804895794235908,0.055162642638819204
