task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0008163536464202981,4.827470507953993,3.83054427628071
cookieTheft,baseline,1,-0.0007337725431988407,4.646927080234609,3.7685027561608297
cookieTheft,baseline,2,-0.0023155303864532684,4.64816825205815,3.7331928231733684
cookieTheft,baseline,3,-0.004925971202113688,4.452297598555991,3.6047832368026937
cookieTheft,baseline,4,-0.0004883691307140392,4.723540914491854,3.686622703721149
cookieTheft,demographics,0,0.017069861474332426,4.784138659851938,3.8244839055872366
cookieTheft,demographics,1,-0.0017989180738813282,4.649399434714992,3.7385096193277767
cookieTheft,demographics,2,0.020833161868104688,4.594179489039337,3.65634179221806
cookieTheft,demographics,3,0.015754766156304667,4.406246715974901,3.6110604072550405
cookieTheft,demographics,4,0.01209641575511533,4.693739036378174,3.6573308670126927
cookieTheft,linguistic,0,0.04837845547978148,4.707329139785562,3.6793408027365997
cookieTheft,linguistic,1,0.007399491912703948,4.628005068337667,3.688873365851961
cookieTheft,linguistic,2,-0.007464501276148505,4.6600919548339474,3.7848445612763455
cookieTheft,linguistic,3,-0.027519938270551103,4.5020703735704215,3.669370363503715
cookieTheft,linguistic,4,-0.0014012009671586778,4.725695270105816,3.570372647097875
cookieTheft,acoustic,0,0.0275848039854244,4.758480578810147,3.7568529602832172
cookieTheft,acoustic,1,0.0560765233639936,4.513100172134811,3.680550209378078
cookieTheft,acoustic,2,0.03805337497381778,4.553602301171133,3.6632753720982287
cookieTheft,acoustic,3,0.03447179098672204,4.364149643355922,3.5789603711162226
cookieTheft,acoustic,4,0.04649711560380421,4.611292436428372,3.5475808769135697
cookieTheft,linguistic+acoustic,0,0.04836801705890981,4.70735495726956,3.6815554689216134
cookieTheft,linguistic+acoustic,1,0.04489498311702633,4.539752144505927,3.6406307921403944
cookieTheft,linguistic+acoustic,2,0.011675568782169243,4.615612871984477,3.7469383969399224
cookieTheft,linguistic+acoustic,3,-0.0030767234050190773,4.44819919081608,3.675066641338935
cookieTheft,linguistic+acoustic,4,0.08064599119364946,4.527964845990177,3.418594359602066
cookieTheft,full,0,0.04505421022219236,4.715543894187158,3.697999554868952
cookieTheft,full,1,0.024627684183022858,4.587665996296024,3.642335726595499
cookieTheft,full,2,0.017932271581972525,4.60097983903788,3.724703457672746
cookieTheft,full,3,-0.0024786590630421212,4.446872918399818,3.688072707157069
cookieTheft,full,4,0.08657044788120127,4.513351819648273,3.430825533967254
picnicScene,baseline,0,-0.0008163536464202981,4.827470507953993,3.83054427628071
picnicScene,baseline,1,-0.0007337725431988407,4.646927080234609,3.7685027561608297
picnicScene,baseline,2,-0.0023155303864532684,4.64816825205815,3.7331928231733684
picnicScene,baseline,3,-0.004925971202113688,4.452297598555991,3.6047832368026937
picnicScene,baseline,4,-0.0004883691307140392,4.723540914491854,3.686622703721149
picnicScene,demographics,0,0.017069861474332426,4.784138659851938,3.8244839055872366
picnicScene,demographics,1,-0.0017989180738813282,4.649399434714992,3.7385096193277767
picnicScene,demographics,2,0.020833161868104688,4.594179489039337,3.65634179221806
picnicScene,demographics,3,0.015754766156304667,4.406246715974901,3.6110604072550405
picnicScene,demographics,4,0.01209641575511533,4.693739036378174,3.6573308670126927
picnicScene,linguistic,0,0.06678552476885813,4.661580259062485,3.666892431520284
picnicScene,linguistic,1,0.027123818872274663,4.581791948020038,3.646403015397246
picnicScene,linguistic,2,-0.05304046340953317,4.764333343844882,3.878593135836482
picnicScene,linguistic,3,-0.007148375974776799,4.457218032069432,3.6525357611053564
picnicScene,linguistic,4,6.20647947691122e-06,4.722373266279744,3.6264662357650104
picnicScene,acoustic,0,0.04958449191361525,4.7043452800917915,3.7608063292795237
picnicScene,acoustic,1,0.07554727032754549,4.466310723637372,3.6001556598816222
