task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0008163536464202981,4.827470507953993,3.83054427628071
cookieTheft,baseline,1,-0.0007337725431988407,4.646927080234609,3.7685027561608297
cookieTheft,baseline,2,-0.0023155303864532684,4.64816825205815,3.7331928231733684
cookieTheft,baseline,3,-0.004925971202113688,4.452297598555991,3.6047832368026937
cookieTheft,baseline,4,-0.0004883691307140392,4.723540914491854,3.686622703721149
cookieTheft,demographics,0,-0.22144279807866307,5.3330910611646445,4.221270184058544
cookieTheft,demographics,1,-0.2118347033320267,5.113617881179252,4.045382638387847
cookieTheft,demographics,2,-0.2820644337695071,5.2569583532609885,4.259891478120645
cookieTheft,demographics,3,-0.12808797106410474,4.71724719164517,3.8984839780448914
cookieTheft,demographics,4,-0.18968485965237503,5.150834865006801,4.0274382979331165
cookieTheft,linguistic,0,-0.015475695015508606,4.862696890249614,3.807971781305115
cookieTheft,linguistic,1,0.03596093036899195,4.56093514513725,3.6407291666666666
cookieTheft,linguistic,2,-0.03671071735395204,4.72724819138608,3.7844444444444445
cookieTheft,linguistic,3,-0.03340617732598239,4.514947212997447,3.689238578680203
cookieTheft,linguistic,4,0.035021870706370306,4.638957508998504,3.4724006908462863
cookieTheft,acoustic,0,-0.01471162807473081,4.860867144293684,3.82620811287478
cookieTheft,acoustic,1,0.06203152929245925,4.4988415690000645,3.6415277777777777
cookieTheft,acoustic,2,-0.047478275343642684,4.751734015852256,3.838645833333334
cookieTheft,acoustic,3,0.017660881976683918,4.401978020242007,3.6450761421319795
cookieTheft,acoustic,4,-0.0016886468940335853,4.726373462018795,3.609360967184801
cookieTheft,linguistic+acoustic,0,0.023848954771694575,4.767612441784853,3.7494532627865964
cookieTheft,linguistic+acoustic,1,0.046851034439408634,4.535101064658501,3.711111111111111
cookieTheft,linguistic+acoustic,2,-0.03438976589347087,4.721953627982258,3.778993055555556
cookieTheft,linguistic+acoustic,3,0.037628207671525526,4.357010363988217,3.530558375634518
cookieTheft,linguistic+acoustic,4,0.0555476009176864,4.589355459629398,3.4706044905008637
cookieTheft,full,0,0.06612840943518739,4.663221177044012,3.6527336860670188
cookieTheft,full,1,0.05868994223431867,4.50684818421428,3.6847222222222222
cookieTheft,full,2,-0.0020646799828178963,4.647586565049609,3.695659722222222
cookieTheft,full,3,0.058889163960508806,4.308613495523486,3.490490693739424
cookieTheft,full,4,0.06709393985601231,4.561215762744844,3.459240069084629
picnicScene,baseline,0,-0.0008163536464202981,4.827470507953993,3.83054427628071
picnicScene,baseline,1,-0.0007337725431988407,4.646927080234609,3.7685027561608297
picnicScene,baseline,2,-0.0023155303864532684,4.64816825205815,3.7331928231733684
picnicScene,baseline,3,-0.004925971202113688,4.452297598555991,3.6047832368026937
picnicScene,baseline,4,-0.0004883691307140392,4.723540914491854,3.686622703721149
picnicScene,demographics,0,-0.22144279807866307,5.3330910611646445,4.221270184058544
picnicScene,demographics,1,-0.2118347033320267,5.113617881179252,4.045382638387847
picnicScene,demographics,2,-0.2820644337695071,5.2569583532609885,4.259891478120645
picnicScene,demographics,3,-0.12808797106410474,4.71724719164517,3.8984839780448914
picnicScene,demographics,4,-0.18968485965237503,5.150834865006801,4.0274382979331165
picnicScene,linguistic,0,-0.021713455961912764,4.8776090653109465,3.8636331569664906
picnicScene,linguistic,1,-0.005834332300381773,4.65875430417474,3.739513888888889
picnicScene,linguistic,2,-0.06039194587628871,4.7809347935314905,3.9154166666666668
picnicScene,linguistic,3,0.009362216782329624,4.420532567262568,3.5674450084602367
picnicScene,linguistic,4,0.00284034476375139,4.715676547059626,3.6623488773747837
picnicScene,acoustic,0,0.04991910986078052,4.703517064996919,3.752768959435626
picnicScene,acoustic,1,0.03230975512966361,4.569563963313657,3.6894444444444443
