task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0008163536464202981,4.827470507953993,3.83054427628071
cookieTheft,baseline,1,-0.0007337725431988407,4.646927080234609,3.7685027561608297
cookieTheft,baseline,2,-0.0023155303864532684,4.64816825205815,3.7331928231733684
cookieTheft,baseline,3,-0.004925971202113688,4.452297598555991,3.6047832368026937
cookieTheft,baseline,4,-0.0004883691307140392,4.723540914491854,3.686622703721149
cookieTheft,demographics,0,-0.22748240614912452,5.346259938770799,4.252741325326642
cookieTheft,demographics,1,-0.20066805988383996,5.090003232756867,4.01331669526773
cookieTheft,demographics,2,-0.2839787413261583,5.260881588746158,4.270197186542097
cookieTheft,demographics,3,-0.13485716999018416,4.731379168007487,3.884078355499548
cookieTheft,demographics,4,-0.18833385259965163,5.14790938818627,4.018397534072144
cookieTheft,linguistic,0,-0.004680531681453992,4.836781024322755,3.7930793650793655
cookieTheft,linguistic,1,0.02607954320483219,4.584250313573638,3.6810208333333336
cookieTheft,linguistic,2,-0.0315099491784796,4.71537591456132,3.781588541666667
cookieTheft,linguistic,3,-0.0390640223228631,4.527289892592875,3.6881979695431473
cookieTheft,linguistic,4,0.022723828000404622,4.668424228495314,3.5193056994818654
cookieTheft,acoustic,0,-0.010032932925773341,4.849647803172393,3.83489417989418
cookieTheft,acoustic,1,0.04789837391681462,4.532608749155024,3.6557291666666667
cookieTheft,acoustic,2,-0.02530945997100531,4.701182300873012,3.774015625
cookieTheft,acoustic,3,0.033918667559285076,4.365399512479161,3.5980000000000003
cookieTheft,acoustic,4,0.0061943638550213675,4.707739106219458,3.615968911917099
cookieTheft,linguistic+acoustic,0,0.029940267139147547,4.752713895278188,3.7351164021164016
cookieTheft,linguistic+acoustic,1,0.055639295306459724,4.514145291585292,3.6826614583333335
cookieTheft,linguistic+acoustic,2,-0.025939341092139134,4.702626124150384,3.767703125
cookieTheft,linguistic+acoustic,3,0.0314611258970815,4.370948391669661,3.5464314720812187
cookieTheft,linguistic+acoustic,4,0.06852909697624143,4.557705987716443,3.4446269430051815
cookieTheft,full,0,0.05376436518069705,4.69398915985159,3.675037037037036
cookieTheft,full,1,0.059553679179840335,4.504779989656358,3.654421875
cookieTheft,full,2,-0.005306394088273381,4.6550980471011565,3.731463541666667
cookieTheft,full,3,0.041142629391356156,4.3490475490337355,3.541284263959391
cookieTheft,full,4,0.07848700926099805,4.533278393131985,3.4393316062176167
picnicScene,baseline,0,-0.0008163536464202981,4.827470507953993,3.83054427628071
picnicScene,baseline,1,-0.0007337725431988407,4.646927080234609,3.7685027561608297
picnicScene,baseline,2,-0.0023155303864532684,4.64816825205815,3.7331928231733684
picnicScene,baseline,3,-0.004925971202113688,4.452297598555991,3.6047832368026937
picnicScene,baseline,4,-0.0004883691307140392,4.723540914491854,3.686622703721149
picnicScene,demographics,0,-0.22748240614912452,5.346259938770799,4.252741325326642
picnicScene,demographics,1,-0.20066805988383996,5.090003232756867,4.01331669526773
picnicScene,demographics,2,-0.2839787413261583,5.260881588746158,4.270197186542097
picnicScene,demographics,3,-0.13485716999018416,4.731379168007487,3.884078355499548
picnicScene,demographics,4,-0.18833385259965163,5.14790938818627,4.018397534072144
picnicScene,linguistic,0,-0.01899700833152984,4.871120656997366,3.839978835978836
picnicScene,linguistic,1,0.011503033207409419,4.618428769275867,3.7083593750000006
picnicScene,linguistic,2,-0.0509229322648197,4.759540697487696,3.8902135416666668
picnicScene,linguistic,3,0.008952865984444891,4.421445797944654,3.5855837563451773
picnicScene,linguistic,4,0.01345178168698724,4.690518116039121,3.666455958549223
picnicScene,acoustic,0,0.05180061250811541,4.698857427257516,3.7498730158730167
picnicScene,acoustic,1,0.028595429785468474,4.578325336913597,3.6823593750000003
