task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.09320593362698848,0.10647522121816659,0.04761716651262969,-0.00012371273776570768,0.18653557999174267
cookieTheft,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
cookieTheft,demographics,-0.013587731021365124,0.04610112640917897,0.02061705049804699,-0.05399714999753722,0.026821687954806973
cookieTheft,full,0.13651828117636214,0.24848071014622536,0.11112395179687631,-0.08128466434551543,0.35432122669823973
cookieTheft,linguistic,0.1492490369130157,0.23687893694116813,0.10593548108766761,-0.058384506018812815,0.35688257984484417
cookieTheft,linguistic+acoustic,0.14381644043595773,0.23190820744484164,0.10371250327735775,-0.05946006598766346,0.3470929468595789
journaling,acoustic,0.03988883805708092,0.0441116705682386,0.019727338798331655,0.0012232540123508773,0.07855442210181096
journaling,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
journaling,demographics,-0.013587731021365124,0.04610112640917897,0.02061705049804699,-0.05399714999753722,0.026821687954806973
journaling,full,0.07810576369611455,0.10693146712672692,0.0478212058858291,-0.015623799840110489,0.17183532723233957
journaling,linguistic,0.05998237220626919,0.11892160530292058,0.053183358690145975,-0.04425701082641692,0.1642217552389553
journaling,linguistic+acoustic,0.07966927361508094,0.10051462239249837,0.044951505680469774,-0.008435677518639814,0.16777422474880171
picnicScene,acoustic,0.1156965457656702,0.1342252325313794,0.06002734884717611,-0.001957057974794965,0.23335014950613536
picnicScene,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
picnicScene,demographics,-0.013587731021365124,0.04610112640917897,0.02061705049804699,-0.05399714999753722,0.026821687954806973
picnicScene,full,0.21323797232754788,0.21362509211323397,0.09553604553296907,0.025987323082928504,0.40048862157216725
picnicScene,linguistic,0.18311967127099849,0.1939647882343752,0.08674369034668288,0.013102038191500048,0.35313730435049695
picnicScene,linguistic+acoustic,0.21798726001054938,0.2112957693146868,0.09449434070915076,0.0327783522206139,0.40319616780048484
