task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.022701836270347407,0.20671668307800686,0.09244651108914076,-0.2038969980050633,0.15849332546436848
cookieTheft,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
cookieTheft,demographics,-0.19845159685287914,0.18075815541820453,0.08083750460051545,-0.3568931058698894,-0.040010087835868874
cookieTheft,full,0.14846319459510937,0.21897655054667187,0.0979292905001554,-0.04347821478519523,0.34040460397541394
cookieTheft,linguistic,0.13190966932727505,0.23181464189205,0.10367065949007885,-0.07128482327327951,0.3351041619278296
cookieTheft,linguistic+acoustic,0.15314045622972267,0.21438289586799172,0.09587494567481765,-0.03477443729291993,0.3410553497523653
journaling,acoustic,-0.07375433706542342,0.07762036319551031,0.03471288170867677,-0.1417915852144299,-0.005717088916416951
journaling,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
journaling,demographics,-0.19845159685287914,0.18075815541820453,0.08083750460051545,-0.3568931058698894,-0.040010087835868874
journaling,full,0.0717250963170711,0.11239108931900436,0.05026282315650886,-0.026790037069686273,0.17024022970382846
journaling,linguistic,0.03722786394507982,0.1461452863856513,0.06535815898989816,-0.09087412767512057,0.1653298555652802
journaling,linguistic+acoustic,0.06504931745020819,0.10518663808939495,0.04704089461851114,-0.027150836002073644,0.15724947090249003
picnicScene,acoustic,0.07034326236589798,0.15970090007188387,0.07142041372572668,-0.06964074853652631,0.2103272732683223
picnicScene,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
picnicScene,demographics,-0.19845159685287914,0.18075815541820453,0.08083750460051545,-0.3568931058698894,-0.040010087835868874
picnicScene,full,0.22056727667408466,0.14740641952766997,0.0659221548767445,0.09135985311566544,0.3497747002325039
picnicScene,linguistic,0.1889279984726166,0.15550505957282687,0.06954397680999906,0.052621803925018446,0.3252341930202147
picnicScene,linguistic+acoustic,0.20782664641634357,0.1558895781377558,0.0697159387399574,0.07118340648602706,0.3444698863466601
