task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.014172308135464062,0.19639783446498157,0.08783178169948996,-0.18632260026646438,0.15797798399553628
cookieTheft,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
cookieTheft,demographics,-0.19501536052845894,0.1790012823270827,0.08005180706859773,-0.3519169023829105,-0.0381138186740074
cookieTheft,full,0.15660358609333286,0.21712721256616438,0.09710224141259802,-0.03371680707535926,0.346923979262025
cookieTheft,linguistic,0.13749070363769217,0.23000329746571602,0.10286060163648922,-0.06411607556982671,0.339097482845211
cookieTheft,linguistic+acoustic,0.16189409676095573,0.21051756522232556,0.09414631725897311,-0.022632685066631575,0.34642087858854304
journaling,acoustic,-0.06594304619350175,0.07662577738895465,0.03426808941409379,-0.13310850144512557,0.0012224090581220703
journaling,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
journaling,demographics,-0.19501536052845894,0.1790012823270827,0.08005180706859773,-0.3519169023829105,-0.0381138186740074
journaling,full,0.07785790696646681,0.111511561850864,0.04986948651514083,-0.019886286603209208,0.17560210053614284
journaling,linguistic,0.04539929780365182,0.13980468046034608,0.06252255381639409,-0.07714490767648059,0.1679435032837842
journaling,linguistic+acoustic,0.06900957571816799,0.10565057895353598,0.04724837528046301,-0.02359723983153951,0.16161639126787547
picnicScene,acoustic,0.07390471752763723,0.15015110329341935,0.06714961477213564,-0.057708527425748626,0.2055179624810231
picnicScene,baseline,-0.011010050287641081,0.015659857292323727,0.007003301084716329,-0.024736520413685088,0.0027164198384029246
picnicScene,demographics,-0.19501536052845894,0.1790012823270827,0.08005180706859773,-0.3519169023829105,-0.0381138186740074
picnicScene,full,0.21841330880823437,0.14417906402564112,0.06447883761872561,0.09203478707553217,0.34479183054093654
picnicScene,linguistic,0.19673044736583428,0.15565612633469705,0.06961153591973555,0.0602918369631526,0.33316905776851596
picnicScene,linguistic+acoustic,0.20254064676457784,0.15065601528708197,0.06737541828023255,0.07048482693532204,0.33459646659383363
