task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
cookieTheft,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
cookieTheft,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
cookieTheft,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
cookieTheft,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
cookieTheft,demographics,0,-0.08994574910262765,2.41472338794714,1.829746404022469
cookieTheft,demographics,1,0.023307452708843157,2.603917114836966,1.9408314278319152
cookieTheft,demographics,2,0.005813129678085449,2.912458461451863,2.0832055056641026
cookieTheft,demographics,3,0.015572018541710753,2.6579572475373645,1.7875618341429542
cookieTheft,demographics,4,-0.02268550693283733,3.0896310746966202,2.0591365436709586
cookieTheft,linguistic,0,-0.2599465438302475,2.5962171074898874,1.9237868059155614
cookieTheft,linguistic,1,0.15146838441693666,2.427069615760586,1.7916689211684957
cookieTheft,linguistic,2,0.2687405767726908,2.49782188330976,1.8215519748050202
cookieTheft,linguistic,3,0.319435869800496,2.209991198518932,1.6574444050971053
cookieTheft,linguistic,4,0.26654689740520254,2.616506083405317,1.7596946276620895
cookieTheft,acoustic,0,-0.059477132571053914,2.3807332709208624,1.7731831860896716
cookieTheft,acoustic,1,0.0814732176075661,2.5251904092079944,1.913243521667725
cookieTheft,acoustic,2,0.18247619442792973,2.641045797502319,1.9001430374158352
cookieTheft,acoustic,3,0.20529550937404928,2.3881348697095195,1.7341092423582793
cookieTheft,acoustic,4,0.05626187929645121,2.9679824104440846,2.0215796947245814
cookieTheft,linguistic+acoustic,0,-0.257676661886604,2.593877419759697,1.9176411261079482
cookieTheft,linguistic+acoustic,1,0.16660887889132647,2.4053188446172222,1.7923785247157271
cookieTheft,linguistic+acoustic,2,0.2697305922066232,2.496130472791174,1.8350710019667418
cookieTheft,linguistic+acoustic,3,0.32314633924087877,2.2039584737113085,1.6708736569564036
cookieTheft,linguistic+acoustic,4,0.21727305372756422,2.702966831130711,1.836848836535909
cookieTheft,full,0,-0.2951563313364751,2.6322433914578656,1.9446573095108046
cookieTheft,full,1,0.16374144008284186,2.4094532671683258,1.780443546739227
cookieTheft,full,2,0.2775781699076104,2.4826823619271505,1.8227381394490263
cookieTheft,full,3,0.31969770838379796,2.209566024308515,1.6671806887703082
cookieTheft,full,4,0.21673041884403554,2.7039036009586934,1.8432536896934708
picnicScene,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
picnicScene,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
picnicScene,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
picnicScene,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
picnicScene,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
picnicScene,demographics,0,-0.08994574910262765,2.41472338794714,1.829746404022469
picnicScene,demographics,1,0.023307452708843157,2.603917114836966,1.9408314278319152
picnicScene,demographics,2,0.005813129678085449,2.912458461451863,2.0832055056641026
picnicScene,demographics,3,0.015572018541710753,2.6579572475373645,1.7875618341429542
picnicScene,demographics,4,-0.02268550693283733,3.0896310746966202,2.0591365436709586
picnicScene,linguistic,0,-0.13696368010633275,2.466256502496302,1.7896334272639383
picnicScene,linguistic,1,0.16870370557397374,2.4022939165181385,1.7129923292041045
picnicScene,linguistic,2,0.29382527222419363,2.4546061269764667,1.7852260555691175
picnicScene,linguistic,3,0.3675790562763964,2.1303901149907287,1.5779535035986043
picnicScene,linguistic,4,0.22245400238676138,2.694006373835209,1.8978734613328716
picnicScene,acoustic,0,-0.06557992715598271,2.3875801688208873,1.7815376079105203
picnicScene,acoustic,1,0.03679670731492135,2.5858730411320314,1.908254091528459
picnicScene,acoustic,2,0.24172175895652537,2.5435485130190245,1.8825529247158714
picnicScene,acoustic,3,0.24640657889805617,2.3255440248383903,1.6909608773401683
picnicScene,acoustic,4,0.11913761081483087,2.8674087574440597,1.9432951195089259
picnicScene,linguistic+acoustic,0,-0.11079001058696503,2.4377037772870733,1.7884793214586314
picnicScene,linguistic+acoustic,1,0.177025146823934,2.3902399550516615,1.7306343043922923
picnicScene,linguistic+acoustic,2,0.33135398602760446,2.3884923702537,1.7451210758560192
picnicScene,linguistic+acoustic,3,0.45363459519352134,1.980147822904344,1.4981737692910546
picnicScene,linguistic+acoustic,4,0.2387125825946521,2.665691576988269,1.8527306235329157
picnicScene,full,0,-0.11693376584084314,2.444435924421637,1.8064711509840197
picnicScene,full,1,0.1610851114281192,2.41327698005438,1.740225342984618
picnicScene,full,2,0.3422006876377065,2.3690402306968763,1.7347191341835153
picnicScene,full,3,0.4449948827378052,1.9957425192811244,1.5268614267810054
picnicScene,full,4,0.2348429456749518,2.6724578674572776,1.85081661501797
journaling,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
journaling,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
journaling,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
journaling,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
journaling,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
journaling,demographics,0,-0.08994574910262765,2.41472338794714,1.829746404022469
journaling,demographics,1,0.023307452708843157,2.603917114836966,1.9408314278319152
journaling,demographics,2,0.005813129678085449,2.912458461451863,2.0832055056641026
journaling,demographics,3,0.015572018541710753,2.6579572475373645,1.7875618341429542
journaling,demographics,4,-0.02268550693283733,3.0896310746966202,2.0591365436709586
journaling,linguistic,0,-0.13962693884130406,2.4691433305240493,1.8235241653766439
journaling,linguistic,1,0.12702998929497578,2.461772304583064,1.796958498068212
journaling,linguistic,2,0.07685621320555736,2.8064699980234744,2.082381783491806
journaling,linguistic,3,0.16907845301085767,2.4419458364234345,1.7818402674285432
journaling,linguistic,4,0.06657414436125919,2.9517222369116896,2.0202657255790006
journaling,acoustic,0,-0.011177922919758165,2.325834118701465,1.7517331629364377
journaling,acoustic,1,0.02021097020952034,2.608041546438385,1.9442031821277406
journaling,acoustic,2,0.10138375997450622,2.7689356306874195,1.9692321605901866
journaling,acoustic,3,0.06646729487116543,2.5883367886108744,1.7876478819597443
journaling,acoustic,4,0.02256008814997079,3.0205122967044087,2.0385195573261687
journaling,linguistic+acoustic,0,-0.08734412305736172,2.4118397762884807,1.790893649557185
journaling,linguistic+acoustic,1,0.10611600535760224,2.4910864518559857,1.8519627883796639
journaling,linguistic+acoustic,2,0.1272134166998763,2.7288505980036826,2.077084304037757
journaling,linguistic+acoustic,3,0.17733135390555632,2.4297885945660895,1.77537034362066
journaling,linguistic+acoustic,4,0.07502971516973156,2.9383225243264546,2.0405813876537744
journaling,full,0,-0.09860875152475312,2.424300631968313,1.8261047968135167
journaling,full,1,0.10345368883135764,2.4947933812941367,1.853893440197186
journaling,full,2,0.13745552808682815,2.712791877227811,2.0852679324652925
journaling,full,3,0.1793901876621915,2.4267462611825428,1.770140077236538
journaling,full,4,0.06883816542494858,2.9481403677930236,2.070237938306672
