task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
cookieTheft,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
cookieTheft,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
cookieTheft,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
cookieTheft,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
cookieTheft,demographics,0,-0.4511250179711692,2.786232555164701,2.087567515325494
cookieTheft,demographics,1,-0.24863750713614774,2.9441938918528856,2.119505677374787
cookieTheft,demographics,2,-0.025525027770670894,2.958004703262189,2.1834144319329507
cookieTheft,demographics,3,-0.01949683906279054,2.7048859506278102,2.0482529717196383
cookieTheft,demographics,4,-0.24747359232361732,3.4123318063301133,2.3319782980177717
cookieTheft,linguistic,0,-0.26687147215758134,2.603342005597564,1.9294326241134752
cookieTheft,linguistic,1,0.16350620684572026,2.409792123872769,1.797068062827225
cookieTheft,linguistic,2,0.31285308886643126,2.42131073574053,1.8031746031746032
cookieTheft,linguistic,3,0.27424388938970845,2.2821877343244257,1.6736068376068378
cookieTheft,linguistic,4,0.17581663369209655,2.7736234244368494,1.8566666666666667
cookieTheft,acoustic,0,-0.3868341029076461,2.7238124703294937,1.9835106382978722
cookieTheft,acoustic,1,0.010141080900373245,2.6214095032243843,2.0127050610820243
cookieTheft,acoustic,2,0.0929469859435903,2.7819035180986074,2.078130511463845
cookieTheft,acoustic,3,0.10288236357551006,2.5373519633182515,1.8892649572649571
cookieTheft,acoustic,4,0.06735449113643543,2.95048815467495,2.022421052631579
cookieTheft,linguistic+acoustic,0,-0.21262978445337644,2.547000692883853,1.8571985815602838
cookieTheft,linguistic+acoustic,1,0.19531565807727058,2.363529321829611,1.7850959860383944
cookieTheft,linguistic+acoustic,2,0.33130948512330494,2.3885718505016382,1.8025396825396829
cookieTheft,linguistic+acoustic,3,0.28041957936036765,2.2724570584768116,1.6830769230769234
cookieTheft,linguistic+acoustic,4,0.17128734304104665,2.7812341910977207,1.8336140350877193
cookieTheft,full,0,-0.22236315821639274,2.5572022241367662,1.865248226950355
cookieTheft,full,1,0.20451195996002347,2.3499847634821,1.7569982547993017
cookieTheft,full,2,0.3384823881458926,2.375726455313446,1.7916754850088183
cookieTheft,full,3,0.271090413823599,2.2871405155546825,1.701811965811966
cookieTheft,full,4,0.15059436926242453,2.8157438330454236,1.8692982456140348
picnicScene,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
picnicScene,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
picnicScene,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
picnicScene,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
picnicScene,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
picnicScene,demographics,0,-0.4511250179711692,2.786232555164701,2.087567515325494
picnicScene,demographics,1,-0.24863750713614774,2.9441938918528856,2.119505677374787
picnicScene,demographics,2,-0.025525027770670894,2.958004703262189,2.1834144319329507
picnicScene,demographics,3,-0.01949683906279054,2.7048859506278102,2.0482529717196383
picnicScene,demographics,4,-0.24747359232361732,3.4123318063301133,2.3319782980177717
picnicScene,linguistic,0,-0.0603532313189008,2.381717400905863,1.7286524822695035
picnicScene,linguistic,1,0.17858689101408254,2.387970920940073,1.748202443280977
picnicScene,linguistic,2,0.20626223406349653,2.602341278413668,1.836331569664903
picnicScene,linguistic,3,0.3591993653027271,2.1444576944810088,1.6454358974358976
picnicScene,linguistic,4,0.26094473330167767,2.626479599715044,1.8347719298245615
picnicScene,acoustic,0,-0.1456274028629856,2.4756351717379723,1.8130141843971632
picnicScene,acoustic,1,-0.03083661702909901,2.675119195639405,1.9968237347294937
picnicScene,acoustic,2,0.2042884385704722,2.605574903189637,1.924232804232804
picnicScene,acoustic,3,0.23410341314688177,2.344450585320268,1.7260854700854702
picnicScene,acoustic,4,0.08978848000422057,2.914786421513751,1.9592982456140355
picnicScene,linguistic+acoustic,0,-0.046555826340408446,2.3661711098397324,1.6862765957446808
picnicScene,linguistic+acoustic,1,0.20849120413877453,2.3440997681615054,1.7460732984293195
picnicScene,linguistic+acoustic,2,0.22559045844106396,2.5704613374568344,1.8610934744268082
picnicScene,linguistic+acoustic,3,0.3724011003373814,2.1222527406406373,1.6084786324786327
picnicScene,linguistic+acoustic,4,0.2792062955049064,2.5938273556420817,1.7708421052631578
picnicScene,full,0,-0.012611624944173894,2.3274823805301916,1.6569858156028372
picnicScene,full,1,0.19572371521004917,2.362929970476319,1.763595113438045
picnicScene,full,2,0.2532265995563897,2.524178995284438,1.8260670194003528
picnicScene,full,3,0.3855178792609367,2.099958159941353,1.5991111111111114
picnicScene,full,4,0.28097981428722174,2.5906343236416842,1.7790877192982457
journaling,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
journaling,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
journaling,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
journaling,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
journaling,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
journaling,demographics,0,-0.4511250179711692,2.786232555164701,2.087567515325494
journaling,demographics,1,-0.24863750713614774,2.9441938918528856,2.119505677374787
journaling,demographics,2,-0.025525027770670894,2.958004703262189,2.1834144319329507
journaling,demographics,3,-0.01949683906279054,2.7048859506278102,2.0482529717196383
journaling,demographics,4,-0.24747359232361732,3.4123318063301133,2.3319782980177717
journaling,linguistic,0,-0.16639936346755024,2.4979778583115295,1.8035815602836882
journaling,linguistic,1,-0.015623600877804789,2.6553062113826154,1.9196160558464221
journaling,linguistic,2,0.12536316065780306,2.7317415677448933,2.076649029982363
journaling,linguistic,3,0.21947829007961805,2.3667288784407865,1.767897435897436
journaling,linguistic,4,0.023320833333333013,3.0193366298262485,2.08621052631579
journaling,acoustic,0,-0.10808498319347448,2.434733785283505,1.8248936170212766
journaling,acoustic,1,-0.1445724704100606,2.8188363753084484,2.108726003490401
journaling,acoustic,2,0.058639011457745416,2.8340259761322093,2.057918871252205
journaling,acoustic,3,-0.08553952444121982,2.791122107877515,1.9806495726495728
journaling,acoustic,4,-0.08921371874010764,3.1885418765080717,2.1603157894736844
journaling,linguistic+acoustic,0,-0.07010441388712563,2.39264367075931,1.7563829787234044
journaling,linguistic+acoustic,1,0.029228293501313396,2.5960124700430396,1.9015357766143104
journaling,linguistic+acoustic,2,0.1624016615699604,2.6732749689055253,2.0158730158730154
journaling,linguistic+acoustic,3,0.18097951525545464,2.4243951047491463,1.824888888888889
journaling,linguistic+acoustic,4,0.02274153081143815,3.0202319340859427,2.060947368421053
journaling,full,0,-0.06419414427755443,2.386027144002116,1.7443617021276596
journaling,full,1,0.024187879553656866,2.6027432165522786,1.9229668411867362
journaling,full,2,0.18309443255942137,2.6400469862029348,1.9795061728395063
journaling,full,3,0.19376806187687623,2.4053928489614247,1.8052307692307696
journaling,full,4,0.02176925187295542,3.02173398189019,2.0640701754385966
