task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
cookieTheft,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
cookieTheft,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
cookieTheft,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
cookieTheft,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
cookieTheft,demographics,0,-0.4334194238023281,2.7691825747937653,2.0791638197204683
cookieTheft,demographics,1,-0.25858385972454356,2.9558970099101676,2.1290657939500868
cookieTheft,demographics,2,-0.021087548426763192,2.951598075211165,2.163153197566689
cookieTheft,demographics,3,-0.010910155696397528,2.693470951370038,2.0476581239558156
cookieTheft,demographics,4,-0.2510758149922623,3.4172550039938674,2.3409261543427338
cookieTheft,linguistic,0,-0.2585166952401099,2.594743532605872,1.919276595744681
cookieTheft,linguistic,1,0.1735931961556989,2.3952186316062503,1.7831413612565443
cookieTheft,linguistic,2,0.3167616959169478,2.414414503937838,1.7994603174603174
cookieTheft,linguistic,3,0.27794957586684543,2.2763538907422625,1.6681641025641027
cookieTheft,linguistic,4,0.17766574548907865,2.7705102703102793,1.861621052631579
cookieTheft,acoustic,0,-0.3606446944785273,2.6979712275487393,1.9605000000000001
cookieTheft,acoustic,1,0.021421915864454633,2.606429376415336,2.006890052356021
cookieTheft,acoustic,2,0.09599061558148392,2.777232237223041,2.0651322751322754
cookieTheft,acoustic,3,0.10488291770189728,2.534521262639008,1.8803897435897434
cookieTheft,acoustic,4,0.06748770465337117,2.95027743209275,2.0280842105263157
cookieTheft,linguistic+acoustic,0,-0.19598797080600772,2.529463129481087,1.852925531914894
cookieTheft,linguistic+acoustic,1,0.20873212510562367,2.3437429902163935,1.7669633507853404
cookieTheft,linguistic+acoustic,2,0.34080818231333565,2.371546433610881,1.784582010582011
cookieTheft,linguistic+acoustic,3,0.28389561597150437,2.2669616987478514,1.6834769230769229
cookieTheft,linguistic+acoustic,4,0.17202253122032274,2.780000238545995,1.8377368421052633
cookieTheft,full,0,-0.21320885432621073,2.5476087578312967,1.8722978723404253
cookieTheft,full,1,0.21462179832423867,2.3350040640344916,1.7578429319371731
cookieTheft,full,2,0.33812963263029416,2.376359801200547,1.7909312169312168
cookieTheft,full,3,0.28095315868164716,2.2716143722934703,1.6883384615384616
cookieTheft,full,4,0.16252219515669497,2.795903815829225,1.849263157894737
picnicScene,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
picnicScene,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
picnicScene,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
picnicScene,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
picnicScene,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
picnicScene,demographics,0,-0.4334194238023281,2.7691825747937653,2.0791638197204683
picnicScene,demographics,1,-0.25858385972454356,2.9558970099101676,2.1290657939500868
picnicScene,demographics,2,-0.021087548426763192,2.951598075211165,2.163153197566689
picnicScene,demographics,3,-0.010910155696397528,2.693470951370038,2.0476581239558156
picnicScene,demographics,4,-0.2510758149922623,3.4172550039938674,2.3409261543427338
picnicScene,linguistic,0,-0.05082642953247274,2.370993924810724,1.7346489361702129
picnicScene,linguistic,1,0.18821558563994023,2.3739336343974657,1.7383979057591623
picnicScene,linguistic,2,0.2059348845431993,2.6028778456479817,1.8351746031746032
picnicScene,linguistic,3,0.37017386996767865,2.1260151433476646,1.63251282051282
picnicScene,linguistic,4,0.270154326210826,2.6100636168895437,1.8084210526315792
picnicScene,acoustic,0,-0.13359765923418654,2.462603077008883,1.7927021276595745
picnicScene,acoustic,1,-0.01790584826540509,2.658287958275015,1.9815287958115182
picnicScene,acoustic,2,0.19506015748165828,2.620640452437606,1.9359682539682541
picnicScene,acoustic,3,0.22680474439875986,2.3555949066217994,1.7390769230769234
picnicScene,acoustic,4,0.09916219325735964,2.899738775893624,1.9506736842105266
picnicScene,linguistic+acoustic,0,-0.04132931939919593,2.360255377455692,1.7144893617021275
picnicScene,linguistic+acoustic,1,0.20333834085399083,2.3517176434141813,1.7599790575916228
picnicScene,linguistic+acoustic,2,0.21677218765503392,2.5850549470688393,1.859111111111111
picnicScene,linguistic+acoustic,3,0.36660557991249076,2.1320291237727935,1.6137641025641023
picnicScene,linguistic+acoustic,4,0.2673164448005697,2.61513308909589,1.7858421052631581
picnicScene,full,0,-0.010736004231013174,2.3253258293765966,1.6800000000000002
picnicScene,full,1,0.19912215941056166,2.3579324424464247,1.7669528795811515
picnicScene,full,2,0.2515163945375559,2.5270676860636496,1.830084656084656
picnicScene,full,3,0.3807992097799081,2.108005634206454,1.6037948717948718
picnicScene,full,4,0.27136478454415935,2.6078983068646235,1.784368421052632
journaling,baseline,0,-0.03429646512834994,2.3522716139685964,1.7825615352523991
journaling,baseline,1,-1.1938642026088075e-06,2.634804997103215,1.9549064874744055
journaling,baseline,2,-0.00026770856902369466,2.921351754661865,2.0694548325438378
journaling,baseline,3,-0.0002200636022395841,2.679191750496399,1.8119071781340912
journaling,baseline,4,-0.020264820274389583,3.085972345002132,2.0863075118990135
journaling,demographics,0,-0.4334194238023281,2.7691825747937653,2.0791638197204683
journaling,demographics,1,-0.25858385972454356,2.9558970099101676,2.1290657939500868
journaling,demographics,2,-0.021087548426763192,2.951598075211165,2.163153197566689
journaling,demographics,3,-0.010910155696397528,2.693470951370038,2.0476581239558156
journaling,demographics,4,-0.2510758149922623,3.4172550039938674,2.3409261543427338
journaling,linguistic,0,-0.15642282394753515,2.4872719653844118,1.8015957446808513
journaling,linguistic,1,0.004777284524082437,2.628502286902431,1.913434554973822
journaling,linguistic,2,0.12425476399406776,2.7334719399622243,2.086994708994709
journaling,linguistic,3,0.2171943741342539,2.370189039307051,1.7583692307692305
journaling,linguistic,4,0.037192890313390126,2.997817690464708,2.0676210526315795
journaling,acoustic,0,-0.10092830226359206,2.4268585595549457,1.8220212765957444
journaling,acoustic,1,-0.12126815996335738,2.789992039621589,2.1006701570680626
journaling,acoustic,2,0.06864479637236987,2.818924219735919,2.053460317460318
journaling,acoustic,3,-0.08076508849849406,2.7849773667542315,1.9754358974358976
journaling,acoustic,4,-0.09539847661443512,3.197581628932123,2.164642105263158
journaling,linguistic+acoustic,0,-0.06392211102178957,2.385722161954856,1.7455212765957444
journaling,linguistic+acoustic,1,0.03078216929771249,2.5939339708300553,1.909109947643979
journaling,linguistic+acoustic,2,0.16701923559907084,2.6658960711989246,2.012063492063492
journaling,linguistic+acoustic,3,0.18693138255535258,2.4155699354025155,1.8167076923076926
journaling,linguistic+acoustic,4,0.02423720216049363,3.0179198517487085,2.055
journaling,full,0,-0.05528651576052446,2.376020273572078,1.7320425531914896
journaling,full,1,0.03050769607277959,2.5943012334831814,1.9078010471204194
journaling,full,2,0.19114295617707655,2.627009324197002,1.9953862433862433
journaling,full,3,0.19712998416921346,2.4003724625512515,1.800482051282051
journaling,full,4,0.025795414173788944,3.015509205494331,2.061336842105263
