task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.10753916970680111,0.02671549196324632,0.011947531216433617,0.08412200852259122,0.130956330891011
cookieTheft,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
cookieTheft,demographics,0.07374875419187496,0.026702849003294,0.011941877112855577,0.05034267505067803,0.0971548333330719
cookieTheft,full,0.1963987562913537,0.015092433987174721,0.006749541668250173,0.18316965462158336,0.20962785796112404
cookieTheft,linguistic,0.12921776341374341,0.022586928163360574,0.010101181355235743,0.10941944795748136,0.14901607887000548
cookieTheft,linguistic+acoustic,0.16908710554518697,0.03689574395053446,0.016500278310764338,0.13674656005608887,0.20142765103428506
journaling,acoustic,0.10371467400133919,0.04300512435623151,0.019232476288273105,0.06601902047632391,0.14141032752635446
journaling,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
journaling,demographics,0.07374875419187496,0.026702849003294,0.011941877112855577,0.05034267505067803,0.0971548333330719
journaling,full,0.171907170496437,0.025185914359270107,0.011263483316563204,0.14983074319597312,0.1939835977969009
journaling,linguistic,0.06286781010323086,0.04063289812028172,0.01817158446395467,0.02725150455387971,0.09848411565258203
journaling,linguistic+acoustic,0.13069064183914297,0.039514896535284484,0.017671598955353404,0.0960543078866503,0.16532697579163563
picnicScene,acoustic,0.09882134604671962,0.036120176165412125,0.01615343385302584,0.06716061569478898,0.13048207639865025
picnicScene,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
picnicScene,demographics,0.07374875419187496,0.026702849003294,0.011941877112855577,0.05034267505067803,0.0971548333330719
picnicScene,full,0.17864539423427855,0.031237058900794246,0.013969637423868158,0.15126490488349698,0.20602588358506013
picnicScene,linguistic,0.11666824516530853,0.03283645946687761,0.014684911101670969,0.08788581940603343,0.14545067092458364
picnicScene,linguistic+acoustic,0.16151651133055828,0.03540420771361557,0.015833243027433365,0.13048335499678887,0.19254966766432768
