task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.04072018957681158,0.027941974184779506,0.012496030740542249,0.016227969325348774,0.06521240982827439
cookieTheft,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
cookieTheft,demographics,-0.1024201119347647,0.0228247481410628,0.010207537682545675,-0.12242688579255423,-0.08241333807697518
cookieTheft,full,0.16300543875127993,0.020871476901545456,0.009334008228534465,0.14471078262335238,0.18130009487920748
cookieTheft,linguistic,0.10059053703774316,0.03131796709907923,0.014005820670128611,0.07313912852429108,0.12804194555119525
cookieTheft,linguistic+acoustic,0.14328357871459677,0.020988487369384707,0.009386336900567989,0.1248863583894835,0.16168079903971003
journaling,acoustic,0.0021216574663075693,0.05751384210693532,0.02572097211965942,-0.04829144788822489,0.05253476282084003
journaling,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
journaling,demographics,-0.1024201119347647,0.0228247481410628,0.010207537682545675,-0.12242688579255423,-0.08241333807697518
journaling,full,0.14144922394255938,0.03849010353511059,0.017213297593102448,0.10771116066007858,0.17518728722504018
journaling,linguistic,0.05949074071608022,0.020045524470158765,0.00896463107198209,0.04192006381499533,0.07706141761716512
journaling,linguistic+acoustic,0.12505307742978652,0.04068926082233582,0.018196790630592378,0.08938736779382547,0.16071878706574758
picnicScene,acoustic,0.06894791259058167,0.03654885429785918,0.016345144541949692,0.03691142928836027,0.10098439589280306
picnicScene,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
picnicScene,demographics,-0.1024201119347647,0.0228247481410628,0.010207537682545675,-0.12242688579255423,-0.08241333807697518
picnicScene,full,0.17736082354381505,0.048805457828826594,0.02182646427565111,0.13458095356353889,0.2201406935240912
picnicScene,linguistic,0.11673306682538312,0.04696392037978745,0.021002903691818495,0.07556737558941887,0.15789875806134737
picnicScene,linguistic+acoustic,0.168338693672514,0.041510809303578956,0.01856419828076665,0.13195286504221138,0.20472452230281662
