task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.05005279185516591,0.02708643980063259,0.012113424132534063,0.026310480555399147,0.07379510315493268
cookieTheft,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
cookieTheft,demographics,-0.09907628695556774,0.03234951848961504,0.01446714447643311,-0.12743189012937664,-0.07072068378175884
cookieTheft,full,0.1634218970204544,0.014439285986136549,0.0064574450023122815,0.15076530481592232,0.17607848922498648
cookieTheft,linguistic,0.11161421932654876,0.022100848015809887,0.009883799704748451,0.0922419719052418,0.13098646674785572
cookieTheft,linguistic+acoustic,0.14732586815216964,0.019368705258898403,0.008661948319010898,0.13034844944690827,0.164303286857431
journaling,acoustic,0.006676563031720972,0.05134181795494636,0.02296075900713586,-0.03832652462226531,0.05167965068570725
journaling,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
journaling,demographics,-0.09907628695556774,0.03234951848961504,0.01446714447643311,-0.12743189012937664,-0.07072068378175884
journaling,full,0.14738949674320861,0.03217694128921507,0.014389965606140922,0.11918516415517241,0.17559382933124482
journaling,linguistic,0.0657928524283484,0.019615788362022688,0.008772447241946396,0.04859885583413346,0.08298684902256334
journaling,linguistic+acoustic,0.1288255719670596,0.03776479861445533,0.016888931371702397,0.0957232664785229,0.16192787745559628
picnicScene,acoustic,0.08210570305733966,0.03802319674201296,0.0170044905273979,0.048776901623639776,0.11543450449103955
picnicScene,baseline,-0.006247003919591343,0.007183356587449528,0.0032124947272316115,-0.012543493584965301,4.9485745782615505e-05
picnicScene,demographics,-0.09907628695556774,0.03234951848961504,0.01446714447643311,-0.12743189012937664,-0.07072068378175884
picnicScene,full,0.17762896012936097,0.04250259421396235,0.01900773797650181,0.14037379369541741,0.21488412656330452
picnicScene,linguistic,0.12371837329927056,0.04714859887985075,0.02108549442784334,0.08239080422069761,0.1650459423778435
picnicScene,linguistic+acoustic,0.16824210719708763,0.041070722192351014,0.01836738534142121,0.13224203192790207,0.20424218246627318
