task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
cookieTheft,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
cookieTheft,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
cookieTheft,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
cookieTheft,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
cookieTheft,demographics,0,0.032697530799195795,5.75793334650862,4.509862733892023
cookieTheft,demographics,1,0.06256497198732347,5.437334026860498,4.268508239740589
cookieTheft,demographics,2,0.08181325716324561,5.039354775280999,4.122128604424457
cookieTheft,demographics,3,0.09501675589465353,5.625198936047003,4.31593556043117
cookieTheft,demographics,4,0.09665125511495642,5.383804879623182,4.208193307009022
cookieTheft,linguistic,0,0.13578778005649794,5.442465522143899,4.138548501330313
cookieTheft,linguistic,1,0.16243451499027384,5.139546633654175,4.01905962131677
cookieTheft,linguistic,2,0.11880395102711239,4.936801846111243,4.013730476421033
cookieTheft,linguistic,3,0.12784156039778505,5.522240422618747,4.275675352119449
cookieTheft,linguistic,4,0.1012210105970478,5.370170131562597,4.153819607844388
cookieTheft,acoustic,0,0.13611600827059822,5.4414318984888865,4.270850239202772
cookieTheft,acoustic,1,0.07933845756260116,5.388469462679498,4.309060762988489
cookieTheft,acoustic,2,0.10738036759686587,4.968698475464387,4.110977190597939
cookieTheft,acoustic,3,0.08250155508125989,5.6639614035175105,4.350735748360603
cookieTheft,acoustic,4,0.1323594600226804,5.2763246177681085,4.12341546251641
cookieTheft,linguistic+acoustic,0,0.1819660037279317,5.295063362050291,4.087096605171814
cookieTheft,linguistic+acoustic,1,0.22695795228659488,4.937612266348459,3.9319049221277163
cookieTheft,linguistic+acoustic,2,0.15635618652823458,4.830465540143569,3.9883480539162175
cookieTheft,linguistic+acoustic,3,0.1335541051259601,5.50412566866301,4.160323785283793
cookieTheft,linguistic+acoustic,4,0.1466012800572135,5.232841526251998,4.032568732597771
cookieTheft,full,0,0.19873378304560563,5.240514188981875,4.003990780250141
cookieTheft,full,1,0.2146509278550155,4.976761083351298,4.004057998521874
cookieTheft,full,2,0.18356478012164024,4.751932804988574,3.966574177117071
cookieTheft,full,3,0.17877869283562753,5.358555353221053,4.024035195683828
cookieTheft,full,4,0.20626559759887964,5.046603575652317,3.9626661798697937
picnicScene,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
picnicScene,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
picnicScene,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
picnicScene,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
picnicScene,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
picnicScene,demographics,0,0.032697530799195795,5.75793334650862,4.509862733892023
picnicScene,demographics,1,0.06256497198732347,5.437334026860498,4.268508239740589
picnicScene,demographics,2,0.08181325716324561,5.039354775280999,4.122128604424457
picnicScene,demographics,3,0.09501675589465353,5.625198936047003,4.31593556043117
picnicScene,demographics,4,0.09665125511495642,5.383804879623182,4.208193307009022
picnicScene,linguistic,0,0.16258497608934008,5.35742202914186,4.11504236877033
picnicScene,linguistic,1,0.14043089624670868,5.206619292375831,4.073099127188093
picnicScene,linguistic,2,0.09263962176503227,5.009557094603585,4.166314155898008
picnicScene,linguistic,3,0.09063725414358015,5.6387935720875175,4.346517483115342
picnicScene,linguistic,4,0.09704847758188151,5.38262106029897,4.294027374295552
picnicScene,acoustic,0,0.12865944174221255,5.464865149518388,4.271357529870404
picnicScene,acoustic,1,0.05774109570082975,5.45130585954027,4.389038008516131
picnicScene,acoustic,2,0.10544252827321332,4.974088968133989,4.031647564896119
picnicScene,acoustic,3,0.06517176527792456,5.717201872802145,4.403499748190713
picnicScene,acoustic,4,0.1370918992394179,5.261915408907245,4.188231287468543
picnicScene,linguistic+acoustic,0,0.2024557063559912,5.2283287913838885,4.054680694423037
picnicScene,linguistic+acoustic,1,0.19334894181181816,5.043804894421425,4.058935483291389
picnicScene,linguistic+acoustic,2,0.13160232976439956,4.900819979872728,4.103854710117618
picnicScene,linguistic+acoustic,3,0.12409917049702557,5.534075574169113,4.228955769357534
picnicScene,linguistic+acoustic,4,0.15607640822355695,5.203710806438385,4.1885404815156715
picnicScene,full,0,0.21303026534882818,5.193552190979653,3.9762174052386032
picnicScene,full,1,0.19607689717357857,5.035269030584459,4.011975617276832
picnicScene,full,2,0.13547214277167807,4.889888103076941,4.095234567057459
picnicScene,full,3,0.15826834613689167,5.425058760493205,4.1035096514135825
picnicScene,full,4,0.19037931974041622,5.09685625458939,4.0500446033177155
journaling,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
journaling,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
journaling,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
journaling,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
journaling,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
journaling,demographics,0,0.032697530799195795,5.75793334650862,4.509862733892023
journaling,demographics,1,0.06256497198732347,5.437334026860498,4.268508239740589
journaling,demographics,2,0.08181325716324561,5.039354775280999,4.122128604424457
journaling,demographics,3,0.09501675589465353,5.625198936047003,4.31593556043117
journaling,demographics,4,0.09665125511495642,5.383804879623182,4.208193307009022
journaling,linguistic,0,0.019801779812482323,5.796187684959806,4.464869524698003
journaling,linguistic,1,0.05345928082050422,5.463677738126792,4.344299639294067
journaling,linguistic,2,0.037996041435150896,5.158196171212415,4.181186398070164
journaling,linguistic,3,0.07861616094841661,5.675941518242273,4.293719112301403
journaling,linguistic,4,0.12446578749960024,5.300271906257917,4.151985548800159
journaling,acoustic,0,0.16558192289829976,5.347826846700336,4.076476417730584
journaling,acoustic,1,0.05115283888154942,5.47033037753553,4.3901839353590555
journaling,acoustic,2,0.11644364774125338,4.943409091624562,4.045928200146378
journaling,acoustic,3,0.07850811807877833,5.676274293252579,4.385582931049135
journaling,acoustic,4,0.10688684240681501,5.353216806892496,4.187154470857566
journaling,linguistic+acoustic,0,0.1386102741886832,5.43357077986244,4.141364483745676
journaling,linguistic+acoustic,1,0.11067033638425938,5.295985825372646,4.131972057140867
journaling,linguistic+acoustic,2,0.07914976087469994,5.046658617887201,4.041079874958222
journaling,linguistic+acoustic,3,0.1390530635084254,5.4866317120337635,4.163614505798012
journaling,linguistic+acoustic,4,0.185969774239647,5.110717252252305,3.9923892278378923
journaling,full,0,0.1573959691399296,5.373994915548315,4.1024017216255775
journaling,full,1,0.14692503544858637,5.186913711397066,3.979556878146448
journaling,full,2,0.16069589613214053,4.818025547613051,3.881671594976128
journaling,full,3,0.1851874494845892,5.337605494939289,4.005815702001791
journaling,full,4,0.2093315022769393,5.036847556859535,3.97454165876797
