task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
cookieTheft,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
cookieTheft,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
cookieTheft,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
cookieTheft,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
cookieTheft,demographics,0,-0.11345026127882507,6.177615810377593,4.726263722437407
cookieTheft,demographics,1,-0.09074228669954398,5.8651145695764,4.648845977132435
cookieTheft,demographics,2,-0.10881406028909679,5.537819387200608,4.395364610890653
cookieTheft,demographics,3,-0.06981106883230304,6.116051874805292,4.659668354189853
cookieTheft,demographics,4,-0.12928288257405463,6.019535245061882,4.593949666460083
cookieTheft,linguistic,0,0.11915240251222636,5.4945973464849995,4.220456140350878
cookieTheft,linguistic,1,0.13695675286367648,5.217130548242722,3.9976041666666666
cookieTheft,linguistic,2,0.05681143163524838,5.107503693731556,4.072291666666667
cookieTheft,linguistic,3,0.10679433096382451,5.588475511697198,4.28984771573604
cookieTheft,linguistic,4,0.0832377672137401,5.4236286455826965,4.164652777777778
cookieTheft,acoustic,0,0.07880172392039697,5.619038959680681,4.391543859649123
cookieTheft,acoustic,1,0.014672549532315893,5.574497382259213,4.4146875
cookieTheft,acoustic,2,0.0607909588915696,5.096717443973494,4.2415972222222225
cookieTheft,acoustic,3,0.030838043413645044,5.821243899842641,4.4777664974619285
cookieTheft,acoustic,4,0.018497672126130404,5.61186552959194,4.415972222222223
cookieTheft,linguistic+acoustic,0,0.15616345831513778,5.3779238586316715,4.194526315789473
cookieTheft,linguistic+acoustic,1,0.16796233938409733,5.1225583840643685,4.0394097222222225
cookieTheft,linguistic+acoustic,2,0.14189382346979484,4.871693299239172,3.9805902777777775
cookieTheft,linguistic+acoustic,3,0.13806592173464605,5.489776233218121,4.164839255499154
cookieTheft,linguistic+acoustic,4,0.1123323506693078,5.3368719814415915,4.1196875
cookieTheft,full,0,0.16227756562382134,5.358405279045522,4.176
cookieTheft,full,1,0.1710091867020812,5.1131706071093905,4.0289930555555555
cookieTheft,full,2,0.17678086009271787,4.771634333534262,3.9080902777777777
cookieTheft,full,3,0.1776446833113643,5.362253842541922,4.048087986463621
cookieTheft,full,4,0.12731489802641494,5.291640966691747,4.135104166666667
picnicScene,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
picnicScene,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
picnicScene,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
picnicScene,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
picnicScene,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
picnicScene,demographics,0,-0.11345026127882507,6.177615810377593,4.726263722437407
picnicScene,demographics,1,-0.09074228669954398,5.8651145695764,4.648845977132435
picnicScene,demographics,2,-0.10881406028909679,5.537819387200608,4.395364610890653
picnicScene,demographics,3,-0.06981106883230304,6.116051874805292,4.659668354189853
picnicScene,demographics,4,-0.12928288257405463,6.019535245061882,4.593949666460083
picnicScene,linguistic,0,0.16202432285620583,5.359215138486679,4.0508771929824565
picnicScene,linguistic,1,0.09023055658771761,5.356499859118895,4.187291666666667
picnicScene,linguistic,2,0.059078609362024914,5.1013614513585885,4.102604166666667
picnicScene,linguistic,3,0.10462666053532299,5.595252580379216,4.342165820642978
picnicScene,linguistic,4,0.16770518478564422,5.167734387882538,4.086319444444444
picnicScene,acoustic,0,0.09105300652015358,5.581549282919647,4.327473684210527
picnicScene,acoustic,1,0.025752991205978293,5.543064923848538,4.536423611111111
picnicScene,acoustic,2,0.10661129641617129,4.970838502372278,4.032395833333333
picnicScene,acoustic,3,0.03389392756269782,5.812059113057242,4.466192893401016
picnicScene,acoustic,4,0.08742834124790733,5.411218584946839,4.329513888888889
picnicScene,linguistic+acoustic,0,0.1909111423796861,5.266033228618319,4.041543859649123
picnicScene,linguistic+acoustic,1,0.16899983760648485,5.119363635040763,4.123159722222222
picnicScene,linguistic+acoustic,2,0.12943677043488488,4.906926864138083,3.9987847222222226
picnicScene,linguistic+acoustic,3,0.1274566979931807,5.523458703737129,4.283857868020306
picnicScene,linguistic+acoustic,4,0.22488901994833344,4.987047830612296,3.9622569444444444
picnicScene,full,0,0.19347058962456265,5.257697425891131,4.051754385964912
picnicScene,full,1,0.15720006422342425,5.1555816794716485,4.1639236111111115
picnicScene,full,2,0.13124252313043938,4.901835162769446,4.016527777777777
picnicScene,full,3,0.1501170200295463,5.451263595579843,4.1812521150592215
picnicScene,full,4,0.2547739207111026,4.889963431469719,3.898506944444445
journaling,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
journaling,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
journaling,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
journaling,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
journaling,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
journaling,demographics,0,-0.11345026127882507,6.177615810377593,4.726263722437407
journaling,demographics,1,-0.09074228669954398,5.8651145695764,4.648845977132435
journaling,demographics,2,-0.10881406028909679,5.537819387200608,4.395364610890653
journaling,demographics,3,-0.06981106883230304,6.116051874805292,4.659668354189853
journaling,demographics,4,-0.12928288257405463,6.019535245061882,4.593949666460083
journaling,linguistic,0,0.03965138574474503,5.737199369743667,4.451122807017544
journaling,linguistic,1,0.06947185041447046,5.4172662702319325,4.253993055555555
journaling,linguistic,2,0.0602439561388024,5.098201412153985,4.1359375
journaling,linguistic,3,0.04089102539348932,5.790973722073534,4.39414551607445
journaling,linguistic,4,0.08719548588889392,5.41190891477784,4.220659722222223
journaling,acoustic,0,0.09164452282242286,5.579732832271825,4.090245614035088
journaling,acoustic,1,-0.03579887058521303,5.715485685431324,4.626145833333333
journaling,acoustic,2,-0.057247133133250916,5.407514383296225,4.404201388888889
journaling,acoustic,3,-0.004583932408489755,5.9266697881030765,4.506091370558376
journaling,acoustic,4,0.016593700636068687,5.617305993122537,4.351215277777778
journaling,linguistic+acoustic,0,0.14861444060367235,5.401925929026615,4.117964912280702
journaling,linguistic+acoustic,1,0.14675360683337235,5.187434850104054,4.159340277777777
journaling,linguistic+acoustic,2,0.06020104592086939,5.098317805359376,4.065625
journaling,linguistic+acoustic,3,0.11036611050600109,5.577290631120271,4.1931641285956
journaling,linguistic+acoustic,4,0.15933018328501747,5.193669579758006,4.108194444444444
journaling,full,0,0.14582675000523104,5.410762460999071,4.172982456140351
journaling,full,1,0.1650650482363789,5.131469426219182,4.100451388888889
journaling,full,2,0.08198232108646042,5.038890810669731,4.043298611111111
journaling,full,3,0.1315200928413781,5.510582446033182,4.116175972927243
journaling,full,4,0.18285190754334846,5.120495332846589,4.066701388888888
