task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
cookieTheft,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
cookieTheft,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
cookieTheft,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
cookieTheft,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
cookieTheft,demographics,0,-0.11833720993001795,6.191157788431407,4.7258142819169136
cookieTheft,demographics,1,-0.08307284125650516,5.84445821110444,4.628660803803357
cookieTheft,demographics,2,-0.09358376718438266,5.499655078519847,4.37152678573102
cookieTheft,demographics,3,-0.05643018272086531,6.077682619212154,4.647253571383828
cookieTheft,demographics,4,-0.13276983342435345,6.028821512464204,4.59377328470141
cookieTheft,linguistic,0,0.1451421757216671,5.412930245449803,4.158357894736842
cookieTheft,linguistic,1,0.12179293059741547,5.262763926972372,4.072244791666667
cookieTheft,linguistic,2,0.0848928306949921,5.030896747433139,4.030020833333333
cookieTheft,linguistic,3,0.11461289432644406,5.563962743053854,4.2717715736040605
cookieTheft,linguistic,4,0.0934407404016947,5.393363455152545,4.152453125
cookieTheft,acoustic,0,0.08483692456775149,5.600602237353822,4.386010526315789
cookieTheft,acoustic,1,0.012319265926262313,5.581150272065338,4.425536458333333
cookieTheft,acoustic,2,0.06190363919260866,5.093697510465752,4.242276041666666
cookieTheft,acoustic,3,0.050109279803708495,5.763077226779753,4.415558375634518
cookieTheft,acoustic,4,0.05417496062946858,5.508926684349835,4.321276041666667
cookieTheft,linguistic+acoustic,0,0.1506988478464153,5.39530923605233,4.207036842105263
cookieTheft,linguistic+acoustic,1,0.1709725121175839,5.1132837092876695,4.05959375
cookieTheft,linguistic+acoustic,2,0.15322482396280823,4.839421884593586,3.949427083333333
cookieTheft,linguistic+acoustic,3,0.13865984907241335,5.487884504989288,4.147497461928934
cookieTheft,linguistic+acoustic,4,0.12379712731149384,5.302295473326466,4.102359375
cookieTheft,full,0,0.16286795835155177,5.356516753106985,4.182263157894737
cookieTheft,full,1,0.17393751983815697,5.104131717397355,4.052036458333333
cookieTheft,full,2,0.17333010910374858,4.781624688477582,3.945588541666666
cookieTheft,full,3,0.1656672507233069,5.4011627306201015,4.060324873096447
cookieTheft,full,4,0.1469635006353358,5.231730882417565,4.067213541666667
picnicScene,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
picnicScene,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
picnicScene,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
picnicScene,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
picnicScene,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
picnicScene,demographics,0,-0.11833720993001795,6.191157788431407,4.7258142819169136
picnicScene,demographics,1,-0.08307284125650516,5.84445821110444,4.628660803803357
picnicScene,demographics,2,-0.09358376718438266,5.499655078519847,4.37152678573102
picnicScene,demographics,3,-0.05643018272086531,6.077682619212154,4.647253571383828
picnicScene,demographics,4,-0.13276983342435345,6.028821512464204,4.59377328470141
picnicScene,linguistic,0,0.171524831921533,5.328748616800443,4.056557894736842
picnicScene,linguistic,1,0.10855704454811943,5.302274451041427,4.1555
picnicScene,linguistic,2,0.0779324540693227,5.049993200799878,4.069682291666667
picnicScene,linguistic,3,0.09864564481319305,5.613909375121869,4.352522842639594
picnicScene,linguistic,4,0.18608120845525034,5.11036743215854,4.065864583333333
picnicScene,acoustic,0,0.1211642937778683,5.488318818900258,4.253015789473685
picnicScene,acoustic,1,0.05039238231286902,5.472522045314969,4.493807291666666
picnicScene,acoustic,2,0.11506829739304436,4.94725506910145,4.002958333333333
picnicScene,acoustic,3,0.0309690410004112,5.820850469896422,4.488345177664975
picnicScene,acoustic,4,0.09501409914282499,5.388681256810427,4.298166666666667
picnicScene,linguistic+acoustic,0,0.18588191095352913,5.2823744939881765,4.0567052631578955
picnicScene,linguistic+acoustic,1,0.1600711820321209,5.146792576753507,4.139244791666667
picnicScene,linguistic+acoustic,2,0.1156177145883599,4.94571905845938,4.045661458333334
picnicScene,linguistic+acoustic,3,0.14542774451016305,5.466281729771946,4.207685279187817
picnicScene,linguistic+acoustic,4,0.22286622662932143,4.993550895592735,3.9872447916666665
picnicScene,full,0,0.1938132003323345,5.256580582069438,4.040384210526316
picnicScene,full,1,0.16244863498616913,5.139503311260567,4.131546875000001
picnicScene,full,2,0.13478439790501973,4.891832706047738,4.0256718750000005
picnicScene,full,3,0.15488850298460832,5.435939590678187,4.168969543147208
picnicScene,full,4,0.24477073194914944,4.922673083972433,3.9420625
journaling,baseline,0,-0.007843987154264376,5.8773579246602505,4.650840879689522
journaling,baseline,1,-0.0006214484427484734,5.617593747216452,4.45690121054907
journaling,baseline,2,-0.0048809915267293835,5.271894865264284,4.313486273238219
journaling,baseline,3,-0.017770066912386584,5.9654396129723875,4.63312613484248
journaling,baseline,4,-0.00011852556182789797,5.6648357869093955,4.522272211413749
journaling,demographics,0,-0.11833720993001795,6.191157788431407,4.7258142819169136
journaling,demographics,1,-0.08307284125650516,5.84445821110444,4.628660803803357
journaling,demographics,2,-0.09358376718438266,5.499655078519847,4.37152678573102
journaling,demographics,3,-0.05643018272086531,6.077682619212154,4.647253571383828
journaling,demographics,4,-0.13276983342435345,6.028821512464204,4.59377328470141
journaling,linguistic,0,0.054157498223968425,5.6937041578257395,4.4391421052631586
journaling,linguistic,1,0.05062854233929237,5.471841516173965,4.3171510416666665
journaling,linguistic,2,0.0604593245689401,5.097617188962735,4.158640625
journaling,linguistic,3,0.06026678944583563,5.732181121186888,4.352568527918781
journaling,linguistic,4,0.1039729246938933,5.361942538040668,4.189864583333333
journaling,acoustic,0,0.09181856360052343,5.5791982686630375,4.101942105263158
journaling,acoustic,1,-0.030430531026794716,5.700655331936993,4.6235052083333334
journaling,acoustic,2,-0.019390341528864985,5.3098185747608175,4.350984375
journaling,acoustic,3,-0.010214599910682853,5.9432559963006355,4.539664974619289
journaling,acoustic,4,0.017171819109785824,5.61565461780355,4.3625364583333335
journaling,linguistic+acoustic,0,0.14919439861829198,5.400085738110772,4.146452631578948
journaling,linguistic+acoustic,1,0.13340975797861365,5.227840417638211,4.193630208333333
journaling,linguistic+acoustic,2,0.0720364366503854,5.066113170493727,4.06246875
journaling,linguistic+acoustic,3,0.11474359100918075,5.563552064884466,4.182654822335025
journaling,linguistic+acoustic,4,0.1701165053367364,5.160242990281563,4.085125000000001
journaling,full,0,0.15479242941738913,5.382290993815297,4.148257894736842
journaling,full,1,0.16237873481689458,5.139717772528954,4.1152291666666665
journaling,full,2,0.09947972534573057,4.990639191171641,4.022619791666666
journaling,full,3,0.13630441873980237,5.495382997049793,4.112832487309645
journaling,full,4,0.18835531406049344,5.103223203280452,4.05075
