task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.033525355959241665,2.3392083254992455,1.7740948911211734
cookieTheft,baseline,1,-1.8551950664580374e-06,2.6037021358330423,1.924265916772148
cookieTheft,baseline,2,-0.00024804047045612343,2.9287254468089317,2.0810145956607453
cookieTheft,baseline,3,-0.0003904077262220085,2.6794198828637903,1.8098100810870048
cookieTheft,baseline,4,-0.017875712276615552,3.0617515684274186,2.0690748049685177
cookieTheft,demographics,0,-0.42026401807657554,2.742160529256019,2.06695307117472
cookieTheft,demographics,1,-0.38734939736590923,3.0667884673129335,2.2104975107614697
cookieTheft,demographics,2,0.04546174699585004,2.861023827385921,2.0989952401824192
cookieTheft,demographics,3,-0.040520701028956774,2.7326334410664,2.0659385084051753
cookieTheft,demographics,4,-0.22218608667284911,3.354990083512707,2.301097860901985
cookieTheft,linguistic,0,-0.1624278438591522,2.488704743483326,1.8322340425531913
cookieTheft,linguistic,1,0.19065352080122577,2.3125745222864453,1.7214507772020726
cookieTheft,linguistic,2,0.20420462225567682,2.407482373499036,1.8077835951134378
cookieTheft,linguistic,3,0.1762803308453854,2.289016951409369,1.663001745200698
cookieTheft,linguistic,4,0.16745109593512797,2.7096162024075245,1.8813903743315505
cookieTheft,acoustic,0,-0.42993476074715886,2.7469968370998625,1.9844677137870854
cookieTheft,acoustic,1,0.026167608872041392,2.5756119410245595,1.9836734693877554
cookieTheft,acoustic,2,0.09884187806260802,2.786863925342144,2.0693814432989694
cookieTheft,acoustic,3,0.10661633551495242,2.532065989787426,1.8716581196581197
cookieTheft,acoustic,4,0.03557815495452288,2.9872765692338965,2.063903281519862
cookieTheft,linguistic+acoustic,0,-0.07215063816459177,2.396428417919121,1.789590017825312
cookieTheft,linguistic+acoustic,1,0.22971509991993322,2.2616563804728016,1.7012152777777778
cookieTheft,linguistic+acoustic,2,0.22635324650859268,2.3796536187078234,1.7812631578947369
cookieTheft,linguistic+acoustic,3,0.2091969987569835,2.242814964395024,1.6642931937172774
cookieTheft,linguistic+acoustic,4,0.1615337191463112,2.719228508952089,1.8298039215686273
cookieTheft,full,0,-0.07111838279435156,2.395274512058369,1.7742602495543673
cookieTheft,full,1,0.22400203053426793,2.2700280427375374,1.7097916666666666
cookieTheft,full,2,0.22903848243405323,2.3755202815777294,1.7785964912280703
cookieTheft,full,3,0.22147309568544982,2.225338611801084,1.6505759162303668
cookieTheft,full,4,0.1643803869515369,2.7146085726880527,1.8426737967914442
picnicScene,baseline,0,-0.03398257755190537,2.3451468199979453,1.781624063741849
picnicScene,baseline,1,-6.429871657331887e-08,2.603699804355998,1.923577340937748
picnicScene,baseline,2,-0.0003254590346792874,2.9288387853623465,2.083182252065438
picnicScene,baseline,3,-0.0003274432204174449,2.67933556028224,1.8105184600024133
picnicScene,baseline,4,-0.017204518452290873,3.060741932572026,2.0704225922988804
picnicScene,demographics,0,-0.4184737330512185,2.7467812603841,2.0692688901963514
picnicScene,demographics,1,-0.385876267833863,3.065159830509755,2.2189695429593908
picnicScene,demographics,2,0.023165105987166035,2.8942456450769307,2.1290518384525927
picnicScene,demographics,3,-0.07178283153023535,2.773380223417136,2.1074503144528784
picnicScene,demographics,4,-0.20291784056779294,3.328438647794991,2.299407737642274
