task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.005200259308209443,5.9452613314667415,4.726525585384902
cookieTheft,baseline,1,-0.0015627851659878456,5.581037471701527,4.41970452305053
cookieTheft,baseline,2,-0.007615407835245502,5.292341258245138,4.328313041697071
cookieTheft,baseline,3,-0.016593213321232314,5.961989678708953,4.632182783953394
cookieTheft,baseline,4,-0.00026656760288656933,5.65254341800836,4.510430265658729
cookieTheft,demographics,0,-0.13236430795903376,6.310121758325365,4.85384624643968
cookieTheft,demographics,1,-0.10329509586164498,5.857626721331721,4.64146195910887
cookieTheft,demographics,2,-0.11756031331246786,5.573601646845175,4.38252348754874
cookieTheft,demographics,3,-0.058204800085839725,6.082785197512616,4.678727497920391
cookieTheft,demographics,4,-0.13259487670039038,6.014829576287065,4.644194760077413
cookieTheft,linguistic,0,0.11184778165791132,5.354706371415157,4.1610763888888895
cookieTheft,linguistic,1,0.14909741769575524,5.140253179478701,4.019278350515464
cookieTheft,linguistic,2,0.030546814894554908,5.08356568676338,4.093195876288659
cookieTheft,linguistic,3,0.09131872198040414,5.57617146418962,4.288877374784111
cookieTheft,linguistic,4,0.10283711830316322,5.370781119121506,4.148536155202822
cookieTheft,acoustic,0,0.07385047592143368,5.623247218320614,4.4238144329896905
cookieTheft,acoustic,1,-4.292811588046952e-05,5.587861935949064,4.456615905245347
cookieTheft,acoustic,2,0.08811252746856069,5.045814513637513,4.1602707275803725
cookieTheft,acoustic,3,0.02400256979275106,5.8417363696718425,4.4726903553299495
cookieTheft,acoustic,4,0.046352348425484635,5.525678857625263,4.273162393162393
cookieTheft,linguistic+acoustic,0,0.12206065130234833,5.315694846010861,4.119824561403509
cookieTheft,linguistic+acoustic,1,0.19155229184186384,5.020624016519878,3.9965803108808284
cookieTheft,linguistic+acoustic,2,0.09354564173028457,4.926965432267023,4.029464594127806
cookieTheft,linguistic+acoustic,3,0.10685901423326605,5.528283918702085,4.16825561312608
cookieTheft,linguistic+acoustic,4,0.14386573048089224,5.246537067930944,4.095308641975309
cookieTheft,full,0,0.14462925042431052,5.246926518900074,4.101438596491228
cookieTheft,full,1,0.17957037584274016,5.057692238284381,4.030431778929188
cookieTheft,full,2,0.11936434576554666,4.856290711062424,4.005492227979274
cookieTheft,full,3,0.14116083827691672,5.4210854037286005,4.136407599309154
cookieTheft,full,4,0.15273411592612895,5.2192928404394205,4.088183421516755
picnicScene,baseline,0,-0.004947710651188375,5.9580561675815495,4.73878481403563
picnicScene,baseline,1,-0.0013419132865672978,5.580422052367907,4.420194585448393
picnicScene,baseline,2,-0.007310198237714616,5.291539664864803,4.3277485515048975
picnicScene,baseline,3,-0.014642723355841936,5.956267436932899,4.6305423344249075
picnicScene,baseline,4,-0.00013463311682504475,5.652170622381644,4.509340566606388
picnicScene,demographics,0,-0.13273710169438102,6.325537333476129,4.872383537030745
picnicScene,demographics,1,-0.10177779808681864,5.8535975083709335,4.615623426891104
picnicScene,demographics,2,-0.12207649749398497,5.584852060999398,4.422346414341363
picnicScene,demographics,3,-0.048568286401876604,6.055025494444395,4.6526551483861125
picnicScene,demographics,4,-0.1441358343484913,6.04539697217675,4.597102709737464
picnicScene,linguistic,0,0.15662549198632048,5.51210922093277,4.163542857142857
picnicScene,linguistic,1,0.1168280057933182,5.200278171716295,4.162651933701657
picnicScene,linguistic,2,-0.026356568832796468,5.031242924366172,4.03823754789272
picnicScene,linguistic,3,0.08971590817376274,5.5152625109566324,4.2395580110497235
picnicScene,linguistic,4,0.128447415317141,5.342406324934468,4.234475138121547
picnicScene,acoustic,0,0.1131471313589072,5.597210513539742,4.296938775510204
picnicScene,acoustic,1,0.019346273847213658,5.522474132010085,4.48986531986532
picnicScene,acoustic,2,0.09330718643812741,5.020309906773176,4.063973063973063
picnicScene,acoustic,3,0.01235026370180825,5.876504768230189,4.5411505922165825
picnicScene,acoustic,4,0.0859733960352076,5.403379223178627,4.283401360544217
picnicScene,linguistic+acoustic,0,0.14801812506111256,5.540569657789935,4.2555555555555555
picnicScene,linguistic+acoustic,1,0.16661463964772227,5.051575689120154,4.096022099447515
picnicScene,linguistic+acoustic,2,0.0157490899610917,4.926960339444831,4.011302681992337
picnicScene,linguistic+acoustic,3,0.11203911217802731,5.447216420159385,4.175211786372007
picnicScene,linguistic+acoustic,4,0.20327025790384756,5.107938188280838,4.058710865561695
picnicScene,full,0,0.16753526400704,5.47674050782382,4.189655172413794
picnicScene,full,1,0.1761938066079094,5.022459660722525,4.061068139963167
picnicScene,full,2,0.029395568816726447,4.892685368480435,4.016513409961685
picnicScene,full,3,0.12485508648597288,5.407763602666119,4.142762430939226
picnicScene,full,4,0.20640660941914224,5.097874495393116,4.085561694290976
journaling,baseline,0,-0.004817961424065764,5.94892988639773,4.724526984044557
journaling,baseline,1,-0.000776919656093833,5.612341557704315,4.450849816849817
journaling,baseline,2,-0.005876091758515889,5.315931392460498,4.352953689167976
journaling,baseline,3,-0.015266297805579754,5.958097443505145,4.631078063536163
journaling,baseline,4,-0.0003481634513646803,5.667237594993266,4.532763125763126
journaling,demographics,0,-0.1469254185252935,6.355690559707695,4.888670430997842
journaling,demographics,1,-0.07469448574797566,5.815913831491847,4.567780092462144
journaling,demographics,2,-0.08341943746928449,5.517031148049226,4.372307164819985
journaling,demographics,3,-0.06033853937421019,6.088914701777154,4.665965826052121
journaling,demographics,4,-0.13008827544012336,6.023543007843188,4.59887499812628
journaling,linguistic,0,0.007858400757749795,5.955367608661761,4.680251572327045
journaling,linguistic,1,-0.023703433876357094,5.621105811004981,4.405398773006135
journaling,linguistic,2,0.00469856500563115,5.349391538574292,4.3158605664488014
journaling,linguistic,3,0.010890503792263195,5.800510879624869,4.38779797979798
journaling,linguistic,4,0.027410835369447217,5.49699966648474,4.2644
journaling,acoustic,0,0.08716488291378155,5.670107922947149,4.201421319796955
journaling,acoustic,1,-0.03361088830961645,5.698013046407437,4.655440414507772
journaling,acoustic,2,-0.022226971307040433,5.3589634155206625,4.3716923076923075
journaling,acoustic,3,-0.007261775020638517,5.934563666427845,4.551979695431472
journaling,acoustic,4,0.013845922053990822,5.639249684031957,4.3929553264604815
journaling,linguistic+acoustic,0,0.1328333963316396,5.567663978752085,4.358197064989518
journaling,linguistic+acoustic,1,0.09174814461740044,5.266469522798731,4.164897119341564
journaling,linguistic+acoustic,2,0.04669598148087639,5.235314585486251,4.2314596949891055
journaling,linguistic+acoustic,3,0.0659760478395327,5.636675931393924,4.245858585858586
journaling,linguistic+acoustic,4,0.08839903132129479,5.337874017862748,4.242326621923937
journaling,full,0,0.13733382507421088,5.553197629595701,4.35266247379455
journaling,full,1,0.09248815647128561,5.264323617997554,4.1427572016460905
journaling,full,2,0.0712454996330053,5.167464918305417,4.155337690631808
journaling,full,3,0.08237176851355954,5.586984200614179,4.173414141414142
journaling,full,4,0.09526084806142576,5.317746406668673,4.234272930648769
