task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.0270939045979518,0.022026265744377133,0.009850445498980455,0.007787031419950109,0.04640077777595349
cookieTheft,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
cookieTheft,demographics,0.017646197918136618,0.017653939262559253,0.007895081652347,0.0021718378795364986,0.03312055795673674
cookieTheft,full,0.049129335707912135,0.027992388764034863,0.012518576825796655,0.02459292512935069,0.07366574628647357
cookieTheft,linguistic,0.017057335892741186,0.033967055772873955,0.015190529140734564,-0.012716101223098557,0.046830773008580934
cookieTheft,linguistic+acoustic,0.033722161568038464,0.026346188362660807,0.011782373625384689,0.010628709262284475,0.056815613873792456
journaling,acoustic,-0.02120125888361568,0.032565155854980404,0.014563580437922293,-0.049745876541943373,0.0073433587747120145
journaling,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
journaling,demographics,0.017646197918136618,0.017653939262559253,0.007895081652347,0.0021718378795364986,0.03312055795673674
journaling,full,0.038665833158784066,0.020483952883723597,0.009160702219181761,0.020710856809187814,0.05662080950838032
journaling,linguistic,0.0035949143666629936,0.01882121081731525,0.008417101361274255,-0.012902604301434546,0.02009243303476053
journaling,linguistic+acoustic,0.03236385884475235,0.0266949135329468,0.011938328262629623,0.008964735449998287,0.0557629822395064
picnicScene,acoustic,0.037545059469112615,0.015287080359673456,0.006836590172346356,0.02414534273131376,0.05094477620691147
picnicScene,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
picnicScene,demographics,0.017646197918136618,0.017653939262559253,0.007895081652347,0.0021718378795364986,0.03312055795673674
picnicScene,full,0.05588100139677403,0.025088463760316187,0.011219902083821396,0.033889993312484094,0.07787200948106396
picnicScene,linguistic,0.02916965243871581,0.02064377901114366,0.009232178636280121,0.011074582311606775,0.04726472256582485
picnicScene,linguistic+acoustic,0.0456201217115203,0.02152597623624377,0.009626709229257228,0.026751771622176134,0.06448847180086446
