task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-1.1391818961481448e-06,4.795069534424715,3.7972573536637917
cookieTheft,baseline,1,-0.0005765053517059471,4.672667650761422,3.7755301504561065
cookieTheft,baseline,2,-0.0012528307162740226,4.708037073502625,3.789583580144533
cookieTheft,baseline,3,-0.003329896588677217,4.457758094196133,3.604753579083666
cookieTheft,baseline,4,-2.608094233957914e-05,4.656993990582267,3.616914465110769
cookieTheft,demographics,0,0.0018210049679493467,4.7906988935613315,3.802826316615387
cookieTheft,demographics,1,0.04554128030395954,4.563712915067676,3.5975230132647025
cookieTheft,demographics,2,0.0032502610192437498,4.69743804532726,3.7611328483152815
cookieTheft,demographics,3,0.020824871064277994,4.403771814806425,3.561128525112953
cookieTheft,demographics,4,0.016793572235252463,4.6176644257488775,3.5417610974565545
cookieTheft,linguistic,0,0.03496550687164035,4.710489936137983,3.70193784429713
cookieTheft,linguistic,1,0.03136810387472677,4.597472337800459,3.69390294645325
cookieTheft,linguistic,2,0.010483429995557292,4.680362932168551,3.7640598264976277
cookieTheft,linguistic,3,-0.03887836159518243,4.536040995318291,3.6993649675108227
cookieTheft,linguistic,4,0.047348000316963956,4.545348174729347,3.4346534840565366
cookieTheft,acoustic,0,0.011423483100170495,4.76759995382285,3.7705925208028472
cookieTheft,acoustic,1,0.057860168587680505,4.534166088435786,3.6465002114751304
cookieTheft,acoustic,2,0.0033486976011930514,4.697206085817291,3.785812589350016
cookieTheft,acoustic,3,0.039999373885251654,4.36044064076454,3.618478569897384
cookieTheft,acoustic,4,0.0228377998154633,4.60344907863888,3.558641973498338
cookieTheft,linguistic+acoustic,0,0.039621753454115116,4.699112247820405,3.700747182258261
cookieTheft,linguistic+acoustic,1,0.052447319134863335,4.547172442328583,3.678635313956131
cookieTheft,linguistic+acoustic,2,0.01106557304160527,4.678985976153767,3.75948422064814
cookieTheft,linguistic+acoustic,3,0.0021129931680636815,4.445650371072401,3.62750487161578
cookieTheft,linguistic+acoustic,4,0.06336316904154493,4.506979989572431,3.442862026281767
cookieTheft,full,0,0.06355042607737293,4.640201714215591,3.6566114404783367
cookieTheft,full,1,0.06457664655519457,4.5179752345807005,3.660323039420455
cookieTheft,full,2,0.0284855287403607,4.637593008206717,3.7108473768588035
cookieTheft,full,3,0.01120792031694584,4.42534475712025,3.592125631108622
cookieTheft,full,4,0.07782615684968663,4.472047563854575,3.430039746126329
picnicScene,baseline,0,-1.1391818961481448e-06,4.795069534424715,3.7972573536637917
picnicScene,baseline,1,-0.0005765053517059471,4.672667650761422,3.7755301504561065
picnicScene,baseline,2,-0.0012528307162740226,4.708037073502625,3.789583580144533
picnicScene,baseline,3,-0.003329896588677217,4.457758094196133,3.604753579083666
picnicScene,baseline,4,-2.608094233957914e-05,4.656993990582267,3.616914465110769
picnicScene,demographics,0,0.0018210049679493467,4.7906988935613315,3.802826316615387
picnicScene,demographics,1,0.04554128030395954,4.563712915067676,3.5975230132647025
picnicScene,demographics,2,0.0032502610192437498,4.69743804532726,3.7611328483152815
