task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.013640549815064773,0.0824929723418671,0.03689197876448497,-0.058667728563325756,0.0859488281934553
cookieTheft,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
cookieTheft,demographics,-0.029987773270755146,0.03825948432253689,0.017110161545855995,-0.0635236899006329,0.0035481433591226
cookieTheft,full,0.15771450513564025,0.10937392716261565,0.048913507220343856,0.0618440309837663,0.2535849792875142
cookieTheft,linguistic,0.1479698303949644,0.1041271358773727,0.04656707082483251,0.056698371578292675,0.23924128921163612
cookieTheft,linguistic+acoustic,0.15818280653061334,0.11190467087006284,0.05004529021304021,0.060094037713054535,0.25627157534817213
journaling,acoustic,-0.028010103315415223,0.061469324967022426,0.02748991783145743,-0.08189034226507177,0.025870135634241335
journaling,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
journaling,demographics,-0.029987773270755146,0.03825948432253689,0.017110161545855995,-0.0635236899006329,0.0035481433591226
journaling,full,0.08147586287557569,0.08509587031979347,0.03805603012791299,0.006886043824866225,0.15606568192628517
journaling,linguistic,0.05675669264860621,0.08541385319669831,0.03819823639360102,-0.0181118506828518,0.1316252359800642
journaling,linguistic+acoustic,0.07597865800183731,0.08536628204305897,0.038176961926939895,0.001151812625035123,0.15080550337863952
picnicScene,acoustic,0.07706867645939289,0.09898998026797146,0.0442696649941094,-0.009699866929061537,0.16383721984784733
picnicScene,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
picnicScene,demographics,-0.029987773270755146,0.03825948432253689,0.017110161545855995,-0.0635236899006329,0.0035481433591226
picnicScene,full,0.19130459264984956,0.1063975334898763,0.04758242350433476,0.09804304258135343,0.2845661427183457
picnicScene,linguistic,0.18594178148448048,0.10374401562581187,0.04639573423962314,0.09500614237481912,0.27687742059414183
picnicScene,linguistic+acoustic,0.19460956968917595,0.10209502370150218,0.045658282632202216,0.1051193357300596,0.2840998036482923
