task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.00776354973317932,0.01621789700892001,0.007252864032807131,-0.006452063771122655,0.021979163237481295
cookieTheft,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
cookieTheft,demographics,0.0033497043433267093,0.017107592745532613,0.007650748062078636,-0.011645761858347417,0.018345170545000837
cookieTheft,full,-0.050665838519791076,0.06572252285257682,0.02939200575022903,-0.10827416979023997,0.006942492750657822
cookieTheft,linguistic,-0.04932639952650142,0.03661848466352686,0.016376284188135914,-0.0814239165352478,-0.017228882517755027
cookieTheft,linguistic+acoustic,-0.044894979526360304,0.0535455167566031,0.023946283071623716,-0.09182969434674279,0.0020397352940221755
journaling,acoustic,0.02132205934685418,0.05571281008484135,0.024915526113448216,-0.02751237183550432,0.07015649052921269
journaling,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
journaling,demographics,0.0033497043433267093,0.017107592745532613,0.007650748062078636,-0.011645761858347417,0.018345170545000837
journaling,full,-0.06776459878628258,0.04275205879847421,0.019119301930291262,-0.10523843056965346,-0.030290767002911702
journaling,linguistic,-0.08477690959518651,0.04927006064639189,0.022034240972173897,-0.12796402190064735,-0.04158979728972567
journaling,linguistic+acoustic,-0.06843527509093458,0.05220301824074479,0.023345899483393363,-0.11419323807838558,-0.022677312103483595
picnicScene,acoustic,0.0019110435655072867,0.049902882699864086,0.022317247598018865,-0.04183076172660969,0.045652848857624266
picnicScene,baseline,-0.003511152128300399,0.0016566563003946979,0.0007408792206071712,-0.004963275400690454,-0.0020590288559103435
picnicScene,demographics,0.0033497043433267093,0.017107592745532613,0.007650748062078636,-0.011645761858347417,0.018345170545000837
picnicScene,full,-0.09273732889426581,0.0785183154068239,0.03511445814568546,-0.1615616668598093,-0.023912990928722316
picnicScene,linguistic,-0.07343088959439777,0.06136075004401923,0.027441361649760042,-0.12721595842792743,-0.019645820760868085
picnicScene,linguistic+acoustic,-0.08941707332275114,0.0861409274703571,0.0385233938937195,-0.16492292535444136,-0.013911221291060927
