task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
cookieTheft,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
cookieTheft,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
cookieTheft,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
cookieTheft,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
cookieTheft,demographics,0,0.00816539066430233,4.645476110934282,3.7493575419380414
cookieTheft,demographics,1,-0.023970394234005044,4.678614581664252,3.718674673796627
cookieTheft,demographics,2,0.017168226535337894,4.149110045326842,3.3376610392088786
cookieTheft,demographics,3,0.016977755688697638,4.4877031579606985,3.7003972757410013
cookieTheft,demographics,4,-0.0015924569376992714,4.664842438536979,3.56410944284349
cookieTheft,linguistic,0,-0.004284403377335266,4.674540865973664,3.7739838901634233
cookieTheft,linguistic,1,-0.034860561883774954,4.703427869408015,3.6763282563810855
cookieTheft,linguistic,2,-0.10007705051886706,4.389619858046748,3.451042660591568
cookieTheft,linguistic,3,-0.06969935085349421,4.681373754031884,3.7903648535207664
cookieTheft,linguistic,4,-0.0377106309990356,4.74820640840681,3.5013826788512725
cookieTheft,acoustic,0,-0.0014068498405435115,4.667839133491126,3.722848721557173
cookieTheft,acoustic,1,0.015608020428521496,4.587304861034548,3.7077816857845267
cookieTheft,acoustic,2,-0.014512810714412794,4.215451794040627,3.3803172902834056
cookieTheft,acoustic,3,0.011450554909090749,4.50030188982131,3.6696030825520896
cookieTheft,acoustic,4,0.02767883388324066,4.596172572500369,3.4433931669468314
cookieTheft,linguistic+acoustic,0,-0.018682557506552566,4.707930432220499,3.817608180439071
cookieTheft,linguistic+acoustic,1,-0.0730258323134585,4.789372968096398,3.7939599360856073
cookieTheft,linguistic+acoustic,2,-0.10238983375576027,4.394231766297784,3.4791023072535383
cookieTheft,linguistic+acoustic,3,-0.06478383093796536,4.670605362662251,3.7860280677888163
cookieTheft,linguistic+acoustic,4,0.034407156881935186,4.580242538811865,3.3096249338188977
cookieTheft,full,0,-0.022732304070842035,4.7172792786790385,3.8414899131713898
cookieTheft,full,1,-0.11837149745877351,4.889524370060745,3.8341803221929203
cookieTheft,full,2,-0.09797348070457734,4.38542092929517,3.4618161525864237
cookieTheft,full,3,-0.061366187252788196,4.66310370187245,3.8228005275597905
cookieTheft,full,4,0.04711427688802572,4.550004926369162,3.3057253483248625
picnicScene,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
picnicScene,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
picnicScene,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
picnicScene,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
picnicScene,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
picnicScene,demographics,0,0.00816539066430233,4.645476110934282,3.7493575419380414
picnicScene,demographics,1,-0.023970394234005044,4.678614581664252,3.718674673796627
picnicScene,demographics,2,0.017168226535337894,4.149110045326842,3.3376610392088786
picnicScene,demographics,3,0.016977755688697638,4.4877031579606985,3.7003972757410013
