task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
cookieTheft,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
cookieTheft,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
cookieTheft,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
cookieTheft,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
cookieTheft,demographics,0,-0.34447658200183584,5.408629378768045,4.339145232302166
cookieTheft,demographics,1,-0.26334891322962295,5.196790693588111,3.9112178886872764
cookieTheft,demographics,2,-0.2967849555375206,4.7659484578867355,3.9342780293780293
cookieTheft,demographics,3,-0.21117361439961058,4.981333863233092,4.070250306211345
cookieTheft,demographics,4,-0.17500976789379297,5.052568327289168,3.8542398564126508
cookieTheft,linguistic,0,-0.08516147719351519,4.859121805449483,3.8684671532846715
cookieTheft,linguistic,1,-0.016289604909193622,4.661034437300283,3.773877551020408
cookieTheft,linguistic,2,-0.04662132783670492,4.281640007317684,3.4745679012345683
cookieTheft,linguistic,3,-0.08765058115988666,4.72049071727004,3.857575757575758
cookieTheft,linguistic,4,0.017952915302479666,4.619102634747013,3.532843137254902
cookieTheft,acoustic,0,-0.04974950506094289,4.7791805858516865,3.9055961070559606
cookieTheft,acoustic,1,-0.019658669599251777,4.668753857833374,3.708299319727891
cookieTheft,acoustic,2,-0.1700656337516364,4.527103998947224,3.5995061728395066
cookieTheft,acoustic,3,0.03064821810183771,4.456389643871893,3.7228138528138524
cookieTheft,acoustic,4,-0.021998520940667454,4.712122698614435,3.530147058823529
cookieTheft,linguistic+acoustic,0,0.0006525863565401968,4.663036857367859,3.692116788321168
cookieTheft,linguistic+acoustic,1,0.021456753316476673,4.573656897381568,3.677052154195011
cookieTheft,linguistic+acoustic,2,-0.023178519293540978,4.233417166468454,3.33041975308642
cookieTheft,linguistic+acoustic,3,-0.03069321897425814,4.595229002077001,3.7599567099567097
cookieTheft,linguistic+acoustic,4,0.02214099373918721,4.609242703596069,3.507647058823529
cookieTheft,full,0,0.026678561419948066,4.601916628814169,3.65036496350365
cookieTheft,full,1,0.01284988829621414,4.593726867219278,3.672789115646258
cookieTheft,full,2,-0.011611660704328397,4.209420123696111,3.3017283950617284
cookieTheft,full,3,-0.043273675161958236,4.623188214216383,3.7622077922077923
cookieTheft,full,4,0.01881842724552718,4.6170666988858615,3.505833333333333
picnicScene,baseline,0,-0.004907913804535591,4.675991736223329,3.7507018528916336
picnicScene,baseline,1,-0.004012994905968181,4.632796639442897,3.7035006173287823
picnicScene,baseline,2,-0.0027145457609549783,4.19086833792157,3.393844367015099
picnicScene,baseline,3,-0.0049009608345127464,4.537368801544475,3.673417573417573
picnicScene,baseline,4,-0.0010193453355304971,4.663507635216696,3.5743121856072273
picnicScene,demographics,0,-0.34447658200183584,5.408629378768045,4.339145232302166
picnicScene,demographics,1,-0.26334891322962295,5.196790693588111,3.9112178886872764
picnicScene,demographics,2,-0.2967849555375206,4.7659484578867355,3.9342780293780293
picnicScene,demographics,3,-0.21117361439961058,4.981333863233092,4.070250306211345
