task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.015723333348586,0.06428980007537902,0.028751272645683716,-0.07207582773412607,0.04062916103695408
cookieTheft,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
cookieTheft,demographics,-0.024625472533099345,0.014452250070605448,0.006463242717139983,-0.03729342825869371,-0.01195751680750498
cookieTheft,full,-0.08774547211972228,0.20822405056631757,0.09312062632332793,-0.27026189971344505,0.09477095547400047
cookieTheft,linguistic,-0.09449774882716018,0.1904343784039796,0.08516484307284325,-0.2614208412499329,0.07242534359561258
cookieTheft,linguistic+acoustic,-0.09239815845338559,0.19211891165630238,0.08591818924535376,-0.260797809374279,0.07600149246750779
journaling,acoustic,-0.016526062291397636,0.04016285941444637,0.017961376764293893,-0.051730360749413666,0.018678236166618394
journaling,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
journaling,demographics,-0.024625472533099345,0.014452250070605448,0.006463242717139983,-0.03729342825869371,-0.01195751680750498
journaling,full,-0.027523143015620512,0.1299535287728136,0.05811698485039721,-0.14143243332239905,0.08638614729115801
journaling,linguistic,-0.03441800294573869,0.11937538585322956,0.053386295521617604,-0.13905514216810919,0.07021913627663182
journaling,linguistic+acoustic,-0.022116295472477197,0.13343868935640482,0.05967559604587976,-0.13908046372240154,0.09484787277744713
picnicScene,acoustic,-0.005976956525368782,0.043973423441963616,0.019665512803922685,-0.04452136162105724,0.03256744857031968
picnicScene,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
picnicScene,demographics,-0.024625472533099345,0.014452250070605448,0.006463242717139983,-0.03729342825869371,-0.01195751680750498
picnicScene,full,0.023673869163169537,0.11255613575332533,0.05033663416582599,-0.07498593380184941,0.12233367212818848
picnicScene,linguistic,0.02928962779572124,0.11229239132000483,0.05021868406950763,-0.06913899298051371,0.12771824857195618
picnicScene,linguistic+acoustic,0.03407364388374956,0.1173265179817358,0.05247001395410253,-0.0687675834662914,0.13691487123379054
