task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.1388137496513336,0.1021987969780256,0.04570469145231306,-0.2283949448978672,-0.04923255440480001
cookieTheft,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
cookieTheft,demographics,-0.40310566040705886,0.13693045989963556,0.06123716330517883,-0.5231305004852094,-0.28308082032890836
cookieTheft,full,-0.030495536550844516,0.15289827629135924,0.06837818788600473,-0.1645167848074138,0.10352571170572476
cookieTheft,linguistic,-0.026087017014233372,0.13787014140541945,0.06165740165000525,-0.14693552424824366,0.09476149021977692
cookieTheft,linguistic+acoustic,-0.027955451353747662,0.14938404553531562,0.06680657611417794,-0.15889634053753643,0.1029854378300411
journaling,acoustic,-0.13611554030597425,0.11740903783296613,0.05250691795347137,-0.23902909949477813,-0.03320198111717036
journaling,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
journaling,demographics,-0.40310566040705886,0.13693045989963556,0.06123716330517883,-0.5231305004852094,-0.28308082032890836
journaling,full,-0.05762259504377702,0.0576769516061336,0.02579391690525608,-0.10817867217807894,-0.007066517909475108
journaling,linguistic,-0.08476164301996825,0.08386022620190785,0.03750343327919499,-0.15826837224719043,-0.011254913792746069
journaling,linguistic+acoustic,-0.053638760463922665,0.06350350524005366,0.028399630905254814,-0.1093020370382221,0.0020245161103767673
picnicScene,acoustic,-0.10947715353868481,0.07472481797658714,0.033417954520389426,-0.1749763443986481,-0.04397796267872153
picnicScene,baseline,-0.021262313185753935,0.025243417000200784,0.011289199279364556,-0.043389143773308464,0.0008645174018005949
picnicScene,demographics,-0.40310566040705886,0.13693045989963556,0.06123716330517883,-0.5231305004852094,-0.28308082032890836
picnicScene,full,-0.006539639146331622,0.10183329426408164,0.04554123366944519,-0.09580045713844419,0.08272117884578094
picnicScene,linguistic,0.005129282995850226,0.1025714782309797,0.04587135957542209,-0.08477858177197709,0.09503714776367753
picnicScene,linguistic+acoustic,-0.010814400803687096,0.11038351754914963,0.04936500976708791,-0.10756981994717939,0.0859410183398052
