task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
cookieTheft,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
cookieTheft,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
cookieTheft,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
cookieTheft,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
cookieTheft,demographics,0,-0.04026876764911913,1.755450084247373,1.4167396101329766
cookieTheft,demographics,1,-0.010408955078687665,2.583257865616389,1.7629828844403246
cookieTheft,demographics,2,-0.022456331462328505,2.4112318080212094,1.6667357970938468
cookieTheft,demographics,3,-0.01114625075810216,2.003953943289668,1.4814763161214852
cookieTheft,demographics,4,-0.03884705771725927,2.683354781815914,1.7317488578532445
cookieTheft,linguistic,0,-0.3801144799062488,2.021963266038128,1.6659214985703756
cookieTheft,linguistic,1,0.012263323626593103,2.554110939402074,1.7632859370679372
cookieTheft,linguistic,2,-0.00019417335283655746,2.384837213306798,1.6617296761997682
cookieTheft,linguistic,3,-0.19296699939109163,2.176681885625969,1.5547120722962098
cookieTheft,linguistic,4,0.088523584887783,2.5134775341171585,1.6965864208676926
cookieTheft,acoustic,0,-0.10340263761052171,1.8079345902310633,1.430026814291804
cookieTheft,acoustic,1,-0.0038208427988670746,2.5748223577658367,1.8617225028451458
cookieTheft,acoustic,2,0.05175081600041065,2.3220834254587555,1.6055379675970367
cookieTheft,acoustic,3,-0.05693804546031678,2.048828060407445,1.5426415061640577
cookieTheft,acoustic,4,0.033794043126364914,2.5878383548855215,1.68622619401075
cookieTheft,linguistic+acoustic,0,-0.3670323675297671,2.012357348010615,1.665162424593024
cookieTheft,linguistic+acoustic,1,-0.024255011108613278,2.6008973717252677,1.8327820609320347
cookieTheft,linguistic+acoustic,2,0.030146086646844483,2.348387397025373,1.6513769851795945
cookieTheft,linguistic+acoustic,3,-0.2069984412874084,2.189445316013829,1.5710251807022697
cookieTheft,linguistic+acoustic,4,0.10614894101201633,2.4890571566946478,1.696422541990557
cookieTheft,full,0,-0.3988810591958083,2.035664017124155,1.682717612993511
cookieTheft,full,1,-0.003962017581903954,2.575003409599337,1.8074023455501131
cookieTheft,full,2,0.0482894185228131,2.326317719690119,1.6330914525255056
cookieTheft,full,3,-0.19526826213881665,2.178780310640755,1.570701499233242
cookieTheft,full,4,0.11109455979510441,2.4821617111525573,1.7081331223967093
picnicScene,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
picnicScene,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
picnicScene,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
picnicScene,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
picnicScene,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
picnicScene,demographics,0,-0.04026876764911913,1.755450084247373,1.4167396101329766
picnicScene,demographics,1,-0.010408955078687665,2.583257865616389,1.7629828844403246
picnicScene,demographics,2,-0.022456331462328505,2.4112318080212094,1.6667357970938468
picnicScene,demographics,3,-0.01114625075810216,2.003953943289668,1.4814763161214852
picnicScene,demographics,4,-0.03884705771725927,2.683354781815914,1.7317488578532445
picnicScene,linguistic,0,-0.14685051413031602,1.8431857828232743,1.4644828442097069
picnicScene,linguistic,1,0.04219940019574353,2.5151084680717855,1.7403425626961289
picnicScene,linguistic,2,0.0013403370378931578,2.3830070875702054,1.7026286609741537
picnicScene,linguistic,3,0.13463442245134105,1.8538754612129824,1.4073778174381768
picnicScene,linguistic,4,0.11512449342394449,2.4765287666407803,1.7385089663387654
picnicScene,acoustic,0,-0.047521521198109706,1.7615589537242966,1.3955954272541329
picnicScene,acoustic,1,-0.012831058702915676,2.5863522428975356,1.819569504776885
picnicScene,acoustic,2,-0.02527943022541379,2.414558333080411,1.6862468721929578
picnicScene,acoustic,3,-0.01273063848730338,2.0055233489262823,1.4847568177323196
picnicScene,acoustic,4,0.06847786598689865,2.5409661488235016,1.6646279055982578
picnicScene,linguistic+acoustic,0,-0.13992922217170856,1.837615513340804,1.4725319100373766
picnicScene,linguistic+acoustic,1,0.02690682634841457,2.5351074998205982,1.7706959700170604
picnicScene,linguistic+acoustic,2,-0.001420556987768773,2.386298844169463,1.7231036477072985
picnicScene,linguistic+acoustic,3,0.14134990928954827,1.8466681467384747,1.4099453305606973
picnicScene,linguistic+acoustic,4,0.1434612629402623,2.4365526172313534,1.7131835611427677
picnicScene,full,0,-0.14153675732340365,1.8389107651691254,1.4717096170655852
picnicScene,full,1,0.007538652484224695,2.56021223058408,1.7830844747315093
picnicScene,full,2,-0.005505104580316278,2.3911604542571743,1.7294222881520709
picnicScene,full,3,0.1215580432247535,1.867829728422621,1.440978574140112
picnicScene,full,4,0.13631451201058942,2.446696502916523,1.7191454811055291
journaling,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
journaling,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
journaling,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
journaling,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
journaling,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
journaling,demographics,0,-0.04026876764911913,1.755450084247373,1.4167396101329766
journaling,demographics,1,-0.010408955078687665,2.583257865616389,1.7629828844403246
journaling,demographics,2,-0.022456331462328505,2.4112318080212094,1.6667357970938468
journaling,demographics,3,-0.01114625075810216,2.003953943289668,1.4814763161214852
journaling,demographics,4,-0.03884705771725927,2.683354781815914,1.7317488578532445
journaling,linguistic,0,-0.235624424802388,1.9131937229758726,1.4981221939890532
journaling,linguistic,1,0.0750383350142858,2.4716162051051582,1.762877582413165
journaling,linguistic,2,0.02774580977253982,2.351291595584022,1.745100632047515
journaling,linguistic,3,-0.030469302373250295,2.0230111543769387,1.530511154376053
journaling,linguistic,4,-0.008780432339880795,2.644238442159565,1.8096881916322467
journaling,acoustic,0,-0.05455369863508053,1.767461875239064,1.4323311372181473
journaling,acoustic,1,0.01526471240549776,2.550227458891269,1.8090045212604204
journaling,acoustic,2,0.016310038025736495,2.365079259573898,1.64550425466309
journaling,acoustic,3,-0.06562719968589525,2.057232594461242,1.519375221775395
journaling,acoustic,4,0.005975836432753345,2.624827460179048,1.706516765448538
journaling,linguistic+acoustic,0,-0.20053810283713336,1.8858349457213246,1.520255476106364
journaling,linguistic+acoustic,1,0.11216174189408767,2.4215090405990187,1.7612905182730856
journaling,linguistic+acoustic,2,0.06599818992994877,2.3045728367461398,1.7508649943429384
journaling,linguistic+acoustic,3,-0.12356148001190403,2.1124146404226285,1.5880722276639907
journaling,linguistic+acoustic,4,0.035358173662614956,2.585742861455078,1.742934800254175
journaling,full,0,-0.20184530329561334,1.8868613578023679,1.522960300879752
journaling,full,1,0.10855632502352841,2.4264208046282096,1.7510727418183767
journaling,full,2,0.07226904135196222,2.2968234017916043,1.744355770337094
journaling,full,3,-0.11657820875957059,2.105839763323338,1.583058716017385
journaling,full,4,-1.7569398409245096e-05,2.6327286836831294,1.7670849560678947
