task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
cookieTheft,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
cookieTheft,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
cookieTheft,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
cookieTheft,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
cookieTheft,demographics,0,-0.6439429944700652,2.2067802169029367,1.7550246371275782
cookieTheft,demographics,1,-0.3034369885039814,2.9340275511941285,2.0403871378494665
cookieTheft,demographics,2,-0.3457050117847149,2.7662505588497432,2.006746308141831
cookieTheft,demographics,3,-0.3498207052671638,2.315361410932691,1.8062594928219926
cookieTheft,demographics,4,-0.3726226020093688,3.0844509115617216,2.087553405305257
cookieTheft,linguistic,0,-0.19445993036163678,1.8810550161694393,1.489607843137255
cookieTheft,linguistic,1,0.1591066307085317,2.356620390547573,1.693607305936073
cookieTheft,linguistic,2,0.01413530779074923,2.367692160977484,1.6627860696517414
cookieTheft,linguistic,3,-0.12581875565339629,2.114535534417852,1.5664473684210525
cookieTheft,linguistic,4,0.016601662444585275,2.6107604492669925,1.7637037037037036
cookieTheft,acoustic,0,-0.2689957596442236,1.9388570516329116,1.531862745098039
cookieTheft,acoustic,1,-0.03965858966132574,2.6203815935061816,1.9586757990867583
cookieTheft,acoustic,2,-0.08910093238266881,2.4885744885525583,1.7952238805970149
cookieTheft,acoustic,3,-0.22674848873437758,2.2072855177174397,1.6621929824561406
cookieTheft,acoustic,4,-0.06956497783407234,2.7227381521673157,1.7876543209876545
cookieTheft,linguistic+acoustic,0,-0.20085253904230038,1.886081891636942,1.4882843137254904
cookieTheft,linguistic+acoustic,1,0.16129609661657296,2.3535503799944446,1.7422831050228311
cookieTheft,linguistic+acoustic,2,0.039295290205193956,2.337284288252665,1.657462686567164
cookieTheft,linguistic+acoustic,3,-0.15789216534617823,2.14444447474472,1.6027192982456138
cookieTheft,linguistic+acoustic,4,0.01837606079797338,2.6084040182904458,1.7765925925925927
cookieTheft,full,0,-0.20858286620470934,1.892142852736917,1.488921568627451
cookieTheft,full,1,0.16585331259189795,2.3471474964013264,1.726118721461187
cookieTheft,full,2,0.025942361165521732,2.3534713079505774,1.6732338308457715
cookieTheft,full,3,-0.16076544280851612,2.147103516082056,1.587938596491228
cookieTheft,full,4,0.025074952501583203,2.599488522023455,1.7892345679012347
picnicScene,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
picnicScene,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
picnicScene,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
picnicScene,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
picnicScene,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
picnicScene,demographics,0,-0.6439429944700652,2.2067802169029367,1.7550246371275782
picnicScene,demographics,1,-0.3034369885039814,2.9340275511941285,2.0403871378494665
picnicScene,demographics,2,-0.3457050117847149,2.7662505588497432,2.006746308141831
picnicScene,demographics,3,-0.3498207052671638,2.315361410932691,1.8062594928219926
picnicScene,demographics,4,-0.3726226020093688,3.0844509115617216,2.087553405305257
picnicScene,linguistic,0,-0.1517448340055847,1.847114602005294,1.491813725490196
picnicScene,linguistic,1,0.05080476547892743,2.503784471931913,1.7484474885844752
picnicScene,linguistic,2,-0.04091724255007967,2.4329023676153256,1.6792537313432836
picnicScene,linguistic,3,0.062484615859661474,1.9296118144295151,1.5037719298245613
picnicScene,linguistic,4,0.10501911019632659,2.490629748318661,1.6576296296296293
picnicScene,acoustic,0,-0.16928090460923229,1.8611232464729712,1.476078431372549
picnicScene,acoustic,1,-0.08962489161652964,2.6826108389481336,1.9292694063926938
picnicScene,acoustic,2,-0.11022558611263467,2.5125932901007615,1.7698507462686563
picnicScene,acoustic,3,-0.18276423336009384,2.167353939580521,1.6128508771929824
picnicScene,acoustic,4,0.004509848005066375,2.6267622969368682,1.6781234567901235
picnicScene,linguistic+acoustic,0,-0.1264563725997172,1.8267238254975826,1.4591666666666667
picnicScene,linguistic+acoustic,1,0.049222332243381794,2.505870671730662,1.795753424657534
picnicScene,linguistic+acoustic,2,-0.10840580062158844,2.5105332330857246,1.7277114427860696
picnicScene,linguistic+acoustic,3,-0.006679598126008601,1.9995228963093914,1.5128070175438597
picnicScene,linguistic+acoustic,4,0.13824743508549697,2.4439571231412973,1.6188641975308644
picnicScene,full,0,-0.12319569759023685,1.8240780642049632,1.4555882352941174
picnicScene,full,1,0.030530657782892323,2.530382684433397,1.8228310502283105
picnicScene,full,2,-0.0734979881079858,2.4706839681179567,1.7139303482587065
picnicScene,full,3,-0.008354958823294067,2.0011860518290367,1.5055263157894736
picnicScene,full,4,0.1418197910069663,2.4388862060223158,1.61520987654321
journaling,baseline,0,-0.06556137997992062,1.776662520834174,1.4252645502645493
journaling,baseline,1,-0.012589086486835654,2.5860432758880094,1.7729150783305876
journaling,baseline,2,-0.012468389417263248,2.399425754992965,1.6608871285051026
journaling,baseline,3,-0.0017644447529718832,1.994635548112133,1.4854928837520298
journaling,baseline,4,-0.013928265291778263,2.6509766657583897,1.7134715701617111
journaling,demographics,0,-0.6439429944700652,2.2067802169029367,1.7550246371275782
journaling,demographics,1,-0.3034369885039814,2.9340275511941285,2.0403871378494665
journaling,demographics,2,-0.3457050117847149,2.7662505588497432,2.006746308141831
journaling,demographics,3,-0.3498207052671638,2.315361410932691,1.8062594928219926
journaling,demographics,4,-0.3726226020093688,3.0844509115617216,2.087553405305257
journaling,linguistic,0,-0.2331049470817388,1.9112421960667738,1.4897549019607845
journaling,linguistic,1,-0.06446691338556576,2.6514610429158596,1.845890410958904
journaling,linguistic,2,-0.054872703213281415,2.4491568928722827,1.8124378109452737
journaling,linguistic,3,-0.036557207467386776,2.0289782235349265,1.5635087719298244
journaling,linguistic,4,-0.03480644395186849,2.6781312199509046,1.7919506172839508
journaling,acoustic,0,-0.10359921398283145,1.8080956290864616,1.4608823529411765
journaling,acoustic,1,-0.05861404908648482,2.6441615992911447,1.9140182648401822
journaling,acoustic,2,-0.08682676922005483,2.4859749214575935,1.7521890547263683
journaling,acoustic,3,-0.344137558410861,2.310482089387433,1.7771052631578947
journaling,acoustic,4,-0.08740011082963917,2.7453453012408597,1.8026172839506174
journaling,linguistic+acoustic,0,-0.16364176922811713,1.8566299676029432,1.4540686274509804
journaling,linguistic+acoustic,1,-0.04731826343359136,2.6300166964184615,1.8624200913242006
journaling,linguistic+acoustic,2,-0.03447102910322375,2.42535740472001,1.777363184079602
journaling,linguistic+acoustic,3,-0.01645059679280636,2.009203313061268,1.5222368421052632
journaling,linguistic+acoustic,4,-0.006312143761874722,2.641001493541586,1.7310123456790123
journaling,full,0,-0.1552904609232253,1.8499555726868233,1.441127450980392
journaling,full,1,-0.047074620707181936,2.629710761855719,1.8532876712328763
journaling,full,2,-0.055547386977983226,2.44993999317315,1.8056218905472639
journaling,full,3,-0.01932196006204623,2.012039202994307,1.5166666666666664
journaling,full,4,-0.010878546548448442,2.646986826423445,1.7509629629629628
