task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.04178841781760452,0.05175542615908184,0.023145730219235567,-0.0035772134120971924,0.08715404904730623
cookieTheft,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
cookieTheft,demographics,0.06702187707724497,0.01795361984608134,0.008029102883605437,0.05128483542537832,0.08275891872911162
cookieTheft,full,0.11376811693883541,0.05855842103126394,0.0261881220161919,0.06243939778709929,0.16509683609057155
cookieTheft,linguistic,0.05761434475634928,0.0520342040307695,0.02327040347357883,0.012004353948134774,0.10322433556456379
cookieTheft,linguistic+acoustic,0.08570322534387456,0.05909286405996711,0.02642713220464813,0.033906046222764226,0.1375004044649849
journaling,acoustic,0.07329935115056185,0.05065818449798866,0.02265502883084574,0.028895494642104204,0.11770320765901951
journaling,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
journaling,demographics,0.06702187707724497,0.01795361984608134,0.008029102883605437,0.05128483542537832,0.08275891872911162
journaling,full,0.09155459096767249,0.0542609265122052,0.02426622404068228,0.04399279184793522,0.13911639008740975
journaling,linguistic,-0.07229047752536424,0.06184206733440447,0.027656613285769523,-0.1264974395654725,-0.018083515485255983
journaling,linguistic+acoustic,0.02417489309634,0.07989951501725574,0.035732149389569826,-0.04586011970721685,0.09420990589989686
picnicScene,acoustic,0.03386208372495436,0.045513184054862287,0.020354114683826318,-0.00603198105534522,0.07375614850525394
picnicScene,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
picnicScene,demographics,0.06702187707724497,0.01795361984608134,0.008029102883605437,0.05128483542537832,0.08275891872911162
picnicScene,full,0.08567055991106676,0.0414413403897304,0.01853313083802896,0.04934562346853,0.12199549635360352
picnicScene,linguistic,0.021448348806642637,0.02897845235174189,0.012959557868246702,-0.003952384615120898,0.04684908222840617
picnicScene,linguistic+acoustic,0.06006727607912325,0.027832478873309825,0.012447062948609504,0.03567103269984863,0.08446351945839788
