task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.017544476507171104,0.08573450419036145,0.03834163587737775,-0.09269408282683149,0.05760512981248929
cookieTheft,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
cookieTheft,demographics,-0.14569691865706025,0.05143411053918862,0.02300203350557282,-0.19078090432798298,-0.10061293298613752
cookieTheft,full,0.11407455747700104,0.022418360521327223,0.010025795613957058,0.09442399807364521,0.13372511688035688
cookieTheft,linguistic,0.07962821377633449,0.02773395153527654,0.0124030001835126,0.055318333416649795,0.10393809413601918
cookieTheft,linguistic+acoustic,0.10483984670892912,0.021880808179081397,0.00978539489821188,0.08566047270843384,0.12401922070942441
journaling,acoustic,-0.02270645016945496,0.07072864358138829,0.031630811000867676,-0.08470283973115561,0.03928993939224568
journaling,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
journaling,demographics,-0.14569691865706025,0.05143411053918862,0.02300203350557282,-0.19078090432798298,-0.10061293298613752
journaling,full,0.07872625221549781,0.0360977610271211,0.01614340949843708,0.047085169598561134,0.1103673348324345
journaling,linguistic,-0.031096830066894697,0.02225220187385518,0.009951487207797675,-0.05060174499417814,-0.011591915139611254
journaling,linguistic+acoustic,0.0526641243837247,0.045734185073422313,0.0204529493439457,0.01257634366959113,0.09275190509785827
picnicScene,acoustic,0.019330999647295056,0.05209927767283355,0.023299505291018572,-0.026336030723101343,0.06499803001769146
picnicScene,baseline,-0.01237005578098609,0.017194623091280614,0.007689669215918205,-0.02744180744418577,0.002701695882213591
picnicScene,demographics,-0.14569691865706025,0.05143411053918862,0.02300203350557282,-0.19078090432798298,-0.10061293298613752
picnicScene,full,0.13317257579244957,0.04912869985517378,0.021971022504470528,0.09010937168368732,0.1762357799012118
picnicScene,linguistic,0.08759662032560638,0.03024355950619813,0.013525330987483796,0.06108697159013814,0.11410626906107461
picnicScene,linguistic+acoustic,0.11782391105206087,0.04149370581131345,0.01855654936649499,0.08145307429373069,0.15419474781039105
