task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
cookieTheft,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
cookieTheft,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
cookieTheft,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
cookieTheft,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
cookieTheft,demographics,0,0.04851650852068301,5.493245821758806,4.269570981166202
cookieTheft,demographics,1,0.09440306666192955,5.199250797280374,3.9912910953257343
cookieTheft,demographics,2,0.053392242081404584,4.979817084400303,4.110482861019119
cookieTheft,demographics,3,0.06919222888188925,5.406519112442893,4.172511442780147
cookieTheft,demographics,4,0.06960533924031842,5.493067578165331,4.2814928229211535
cookieTheft,linguistic,0,0.1210303856646765,5.279774039254163,4.033663770611072
cookieTheft,linguistic,1,0.030090254646108927,5.380702209003888,4.214231521617564
cookieTheft,linguistic,2,-0.012701349631739411,5.150733209629266,4.285812735518978
cookieTheft,linguistic,3,0.05879078957035666,5.436643135265768,4.2579472426894736
cookieTheft,linguistic,4,0.09086164353234372,5.42995621608991,4.132047834305214
cookieTheft,acoustic,0,0.06653485099624967,5.440984132334622,4.215695294418692
cookieTheft,acoustic,1,0.0025666869638488743,5.456513449467376,4.32990184483621
cookieTheft,acoustic,2,0.012021704984393589,5.087472362244265,4.235794243178714
cookieTheft,acoustic,3,0.00603442207133742,5.586932375267981,4.283654981048275
cookieTheft,acoustic,4,0.12178442407219303,5.3368120093253095,4.142631220707089
cookieTheft,linguistic+acoustic,0,0.1511023524100562,5.188670238148521,3.983556797480025
cookieTheft,linguistic+acoustic,1,0.09692573706778529,5.192004116939939,4.065215446011265
cookieTheft,linguistic+acoustic,2,0.02911870022222307,5.043260822979326,4.239129084502363
cookieTheft,linguistic+acoustic,3,0.020176451570612985,5.547044868194959,4.265373216085399
cookieTheft,linguistic+acoustic,4,0.13119288544869523,5.30814797947531,4.137499248873959
cookieTheft,full,0,0.16234428858572092,5.154198999282129,3.9406846556999002
cookieTheft,full,1,0.08969620195569761,5.212744909756993,4.093281464310462
cookieTheft,full,2,0.08317881792058646,4.900841763587097,4.155170414197289
cookieTheft,full,3,0.046728421872519244,5.471369746531817,4.188707615978094
cookieTheft,full,4,0.18689285435965286,5.135174736200189,4.025539808545963
picnicScene,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
picnicScene,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
picnicScene,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
picnicScene,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
picnicScene,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
picnicScene,demographics,0,0.04851650852068301,5.493245821758806,4.269570981166202
picnicScene,demographics,1,0.09440306666192955,5.199250797280374,3.9912910953257343
picnicScene,demographics,2,0.053392242081404584,4.979817084400303,4.110482861019119
picnicScene,demographics,3,0.06919222888188925,5.406519112442893,4.172511442780147
picnicScene,demographics,4,0.06960533924031842,5.493067578165331,4.2814928229211535
picnicScene,linguistic,0,0.055261997805521434,5.473739157070728,4.1598182899512635
picnicScene,linguistic,1,0.029277137153947752,5.382957174748496,4.206813337757359
picnicScene,linguistic,2,0.015942957131662494,5.077366322521582,4.1480338944903
picnicScene,linguistic,3,-0.023741177373103328,5.669996990405553,4.3230737749462795
picnicScene,linguistic,4,0.03050082931518483,5.607316345267175,4.338887986549338
picnicScene,acoustic,0,0.0886690177268441,5.376089285726705,4.231359572061011
picnicScene,acoustic,1,-0.015494057340592393,5.505692966523557,4.37744095757767
picnicScene,acoustic,2,0.007186144609042655,5.099907226359662,4.1832433516901935
picnicScene,acoustic,3,0.013578768149824283,5.565689166252782,4.305665251506919
picnicScene,acoustic,4,0.07537054547965316,5.4760221885801315,4.272417282605172
picnicScene,linguistic+acoustic,0,0.0998045945112147,5.343143046817454,4.085559347321881
picnicScene,linguistic+acoustic,1,0.07503398385897031,5.254557924073068,4.236654118910604
