task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
cookieTheft,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
cookieTheft,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
cookieTheft,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
cookieTheft,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
cookieTheft,demographics,0,-0.12649125093137514,5.977124703443775,4.624813219086942
cookieTheft,demographics,1,-0.2126212367796041,6.016388610130946,4.5358263931835365
cookieTheft,demographics,2,-0.13191179627261196,5.445461026196813,4.343947882981217
cookieTheft,demographics,3,-0.07888851985606582,5.8207108840331445,4.518770867540348
cookieTheft,demographics,4,-0.17857178944564422,6.182432137755677,4.864663280891222
cookieTheft,linguistic,0,0.07199612366983554,5.4250444438886465,4.128175182481752
cookieTheft,linguistic,1,0.09144215274074274,5.207743522159342,4.068117913832199
cookieTheft,linguistic,2,0.04649180430875943,4.997934684558324,4.0133827160493825
cookieTheft,linguistic,3,0.12019826506609332,5.256300061059141,4.072640692640692
cookieTheft,linguistic,4,0.0680127230962414,5.497766985792082,4.166176470588235
cookieTheft,acoustic,0,-0.03892051283199982,5.740101420243343,4.48934306569343
cookieTheft,acoustic,1,-0.08789845092956616,5.698590827122613,4.483537414965986
cookieTheft,acoustic,2,0.05532363450526334,4.974734254746659,4.148345679012346
cookieTheft,acoustic,3,-0.10430956854316742,5.888886174411963,4.531212121212121
cookieTheft,acoustic,4,0.08808251526361455,5.438249249709026,4.1770588235294115
cookieTheft,linguistic+acoustic,0,0.08364100296571075,5.390899423442619,4.149294403892944
cookieTheft,linguistic+acoustic,1,0.14109089574884137,5.063454346279389,4.009705215419501
cookieTheft,linguistic+acoustic,2,0.09685477729418612,4.86415220007705,3.9901728395061733
cookieTheft,linguistic+acoustic,3,0.09570199489799014,5.328973109441856,4.023549783549782
cookieTheft,linguistic+acoustic,4,0.1069105626379172,5.381815605879328,4.103333333333333
cookieTheft,full,0,0.0946962426118565,5.358282005483088,4.121995133819952
cookieTheft,full,1,0.15107236147457304,5.03394692239955,3.9910204081632656
cookieTheft,full,2,0.11137932247835358,4.824880578065388,3.978074074074074
cookieTheft,full,3,0.09802919110963082,5.322111679331122,4.04077922077922
cookieTheft,full,4,0.11519566971059125,5.356794140533336,4.165539215686274
picnicScene,baseline,0,-0.008834186282185907,5.656376387444321,4.4423076923076925
picnicScene,baseline,1,-0.00043021285375566265,5.464704653352937,4.247924080664294
picnicScene,baseline,2,-0.01036895870284682,5.144798365858567,4.206439540585882
picnicScene,baseline,3,-0.041975111031254286,5.720268509371711,4.457271557271557
picnicScene,baseline,4,-0.0002418100348877683,5.695526006555438,4.466366389487733
picnicScene,demographics,0,-0.12649125093137514,5.977124703443775,4.624813219086942
picnicScene,demographics,1,-0.2126212367796041,6.016388610130946,4.5358263931835365
picnicScene,demographics,2,-0.13191179627261196,5.445461026196813,4.343947882981217
picnicScene,demographics,3,-0.07888851985606582,5.8207108840331445,4.518770867540348
picnicScene,demographics,4,-0.17857178944564422,6.182432137755677,4.864663280891222
picnicScene,linguistic,0,0.08011566510466606,5.40125917252857,4.062871046228711
picnicScene,linguistic,1,0.09422109228689457,5.199773150467867,4.175011337868481
picnicScene,linguistic,2,0.052757379892176215,4.9814867134765315,4.018666666666666
picnicScene,linguistic,3,0.07622139003877304,5.386066278529253,4.1623809523809525
picnicScene,linguistic,4,0.134667574305522,5.297522697641432,4.201813725490196
picnicScene,acoustic,0,0.07183417555931848,5.425517791787475,4.16116788321168
picnicScene,acoustic,1,0.025070982524898255,5.394606780194935,4.299002267573696
picnicScene,acoustic,2,0.05453936151941796,4.9767988455402925,4.074765432098765
picnicScene,acoustic,3,-0.06247741985534816,5.776271484747948,4.45060606060606
picnicScene,acoustic,4,0.007687898488188738,5.672904611574757,4.47485294117647
picnicScene,linguistic+acoustic,0,0.13476270842853189,5.238368182606584,3.9891484184914843
picnicScene,linguistic+acoustic,1,0.13931344119361555,5.068690877424303,4.093287981859411
