task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.013640549815064773,0.0824929723418671,0.03689197876448497,-0.058667728563325756,0.0859488281934553
cookieTheft,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
cookieTheft,demographics,-0.037178018883802164,0.06054050177115383,0.027074535470449277,-0.09024410840588275,0.01588807063827842
cookieTheft,full,0.15500670607096861,0.1102879087276288,0.049322252202254065,0.05833509175455065,0.2516783203873866
cookieTheft,linguistic,0.1479698303949644,0.1041271358773727,0.04656707082483251,0.056698371578292675,0.23924128921163612
cookieTheft,linguistic+acoustic,0.15818280653061334,0.11190467087006284,0.05004529021304021,0.060094037713054535,0.25627157534817213
journaling,acoustic,-0.028010103315415223,0.061469324967022426,0.02748991783145743,-0.08189034226507177,0.025870135634241335
journaling,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
journaling,demographics,-0.037178018883802164,0.06054050177115383,0.027074535470449277,-0.09024410840588275,0.01588807063827842
journaling,full,0.08190895581515949,0.07909849377405595,0.0353739217993266,0.012576069088479358,0.15124184254183962
journaling,linguistic,0.05675669264860621,0.08541385319669831,0.03819823639360102,-0.0181118506828518,0.1316252359800642
journaling,linguistic+acoustic,0.07597865800183731,0.08536628204305897,0.038176961926939895,0.001151812625035123,0.15080550337863952
picnicScene,acoustic,0.07706867645939289,0.09898998026797146,0.0442696649941094,-0.009699866929061537,0.16383721984784733
picnicScene,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
picnicScene,demographics,-0.037178018883802164,0.06054050177115383,0.027074535470449277,-0.09024410840588275,0.01588807063827842
picnicScene,full,0.19501277493931218,0.10397211057725847,0.04649774140297497,0.10387720178948125,0.28614834808914313
picnicScene,linguistic,0.18594178148448048,0.10374401562581187,0.04639573423962314,0.09500614237481912,0.27687742059414183
picnicScene,linguistic+acoustic,0.19460956968917595,0.10209502370150218,0.045658282632202216,0.1051193357300596,0.2840998036482923
