task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.0014601711580751742,0.024586002127182247,0.010995194410266786,-0.020090409886047725,0.023010752202198073
cookieTheft,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
cookieTheft,demographics,-0.20702837828865941,0.05709917677161013,0.025535528144119447,-0.2570780134511335,-0.15697874312618532
cookieTheft,full,0.038020917166599943,0.025166249449998984,0.011254688901782883,0.015961726919105492,0.06008010741409439
cookieTheft,linguistic,-0.004290986111145756,0.034951901536373155,0.015630965555641942,-0.03492767860020396,0.02634570637791245
cookieTheft,linguistic+acoustic,0.02207361009284896,0.02371515365799746,0.010605739135227023,0.001286361387803997,0.042860858797893926
journaling,acoustic,-0.05690985679234965,0.02916108507663621,0.013041233705802647,-0.08247067485572285,-0.031349038728976465
journaling,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
journaling,demographics,-0.20702837828865941,0.05709917677161013,0.025535528144119447,-0.2570780134511335,-0.15697874312618532
journaling,full,0.02708476742249801,0.032018420424813315,0.014319072920410052,-0.0009806155015056918,0.05515015034650171
journaling,linguistic,-0.011737204478949326,0.03482515680000436,0.015574283586379757,-0.04226280030825365,0.018788391350354997
journaling,linguistic+acoustic,0.019188086672195535,0.04207691234307958,0.01881736725648518,-0.01769395315051541,0.05607012649490648
picnicScene,acoustic,0.0139915414013839,0.01321588706648476,0.005910324372724041,0.002407305630844781,0.02557577717192302
picnicScene,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
picnicScene,demographics,-0.20702837828865941,0.05709917677161013,0.025535528144119447,-0.2570780134511335,-0.15697874312618532
picnicScene,full,0.02791648264626123,0.031757094669869514,0.014202204489944895,8.016184596923784e-05,0.05575280344655323
picnicScene,linguistic,-0.0026520514714038377,0.028166361112895392,0.012596379625448144,-0.0273409555372822,0.022036852594474524
picnicScene,linguistic+acoustic,0.016314214924515902,0.031436840310360294,0.01405898238635424,-0.011241390552738408,0.04386982040177021
