task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.03765506194502075,0.12926382412304696,0.05780853955414202,-0.1509597994711391,0.07564967558109761
cookieTheft,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
cookieTheft,demographics,-0.2422496002489348,0.15998662927779073,0.07154819571123963,-0.38248406384296446,-0.10201513665490514
cookieTheft,full,0.1367883278115981,0.15584630451071763,0.06969658618561934,0.0001830188877841865,0.27339363673541206
cookieTheft,linguistic,0.12039575204417137,0.1561521799463748,0.0698333778389747,-0.01647766852021902,0.25726917260856175
cookieTheft,linguistic+acoustic,0.13982934833665955,0.15396404296711647,0.06885481323303416,0.00487391439991261,0.2747847822734065
journaling,acoustic,-0.08737012518857576,0.06747263160499438,0.03017467817791363,-0.14651249441728648,-0.028227755959865042
journaling,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
journaling,demographics,-0.2422496002489348,0.15998662927779073,0.07154819571123963,-0.38248406384296446,-0.10201513665490514
journaling,full,0.033037903266690406,0.11547750086114482,0.051643108359462064,-0.06818258911785524,0.13425839565123604
journaling,linguistic,-0.0028193221813819446,0.1244955224995931,0.05567609024068894,-0.11194445905313227,0.10630581469036837
journaling,linguistic+acoustic,0.02358761986227729,0.11058870245144457,0.049456771244985535,-0.07334765177789435,0.12052289150244894
picnicScene,acoustic,0.0144609049584546,0.11250244404129554,0.0503126225022406,-0.08415183514593697,0.11307364506284617
picnicScene,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
picnicScene,demographics,-0.2422496002489348,0.15998662927779073,0.07154819571123963,-0.38248406384296446,-0.10201513665490514
picnicScene,full,0.17712458030078618,0.12134835801494684,0.05426863549588051,0.07075805472886038,0.283491105872712
picnicScene,linguistic,0.16118958125469648,0.12434256274713049,0.05560768455982335,0.05219851951744271,0.27018064299195027
picnicScene,linguistic+acoustic,0.16785277400174,0.1276487241063793,0.057086244868596044,0.05596373405929177,0.27974181394418823
