task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.02967468977411536,2.327997289763121,1.733038619758089
cookieTheft,baseline,1,-0.0005450799828294883,2.607193186464379,1.9018798716185232
cookieTheft,baseline,2,-0.002411727363311744,2.744439493645888,1.9505192609588218
cookieTheft,baseline,3,-5.976538571594858e-05,2.536495683904985,1.7214986020503258
cookieTheft,baseline,4,-0.02267470747956568,2.970451073450108,2.0024453568409606
cookieTheft,demographics,0,-0.4809975587078952,2.7919627706685053,2.105430687602036
cookieTheft,demographics,1,-0.3281749561649814,3.003879628467942,2.1464038629858306
cookieTheft,demographics,2,-0.07649870057347008,2.8440507768900853,2.0454675047175046
cookieTheft,demographics,3,-0.07756607051579723,2.6329529851619182,1.9883470405470407
cookieTheft,demographics,4,-0.27052587930052696,3.310894967066243,2.2540449847263035
cookieTheft,linguistic,0,-0.1642031244232569,2.47540823755836,1.8230711610486892
cookieTheft,linguistic,1,0.19759001974952684,2.3348180548213198,1.7480510018214936
cookieTheft,linguistic,2,0.22502439722999024,2.413096035932362,1.7665934065934066
cookieTheft,linguistic,3,0.2072572585756558,2.2583293939661795,1.650918918918919
cookieTheft,linguistic,4,0.09693459081352074,2.791343281253188,1.9273626373626371
cookieTheft,acoustic,0,-0.25190286584248667,2.5669521218762523,1.864307116104869
cookieTheft,acoustic,1,-0.031971951569706336,2.647822259914201,2.0183970856102005
cookieTheft,acoustic,2,-3.988157100565104e-05,2.7411907076536095,2.0334798534798533
cookieTheft,acoustic,3,0.08136898836124928,2.431037742303584,1.7862342342342346
cookieTheft,acoustic,4,-0.058819399967653174,3.022488038658539,2.054358974358974
cookieTheft,linguistic+acoustic,0,-0.10438323629058877,2.4109730424117055,1.7606741573033713
cookieTheft,linguistic+acoustic,1,0.2628243821679943,2.237898387432092,1.7253551912568306
cookieTheft,linguistic+acoustic,2,0.22606345844092302,2.4114777943462706,1.789267399267399
cookieTheft,linguistic+acoustic,3,0.2448563443907521,2.2041235720169414,1.6123243243243242
cookieTheft,linguistic+acoustic,4,0.0963129912663756,2.792303787119238,1.9106593406593406
cookieTheft,full,0,-0.09702184457836549,2.4029243004115037,1.7534456928838953
cookieTheft,full,1,0.2552161928538359,2.249417114001447,1.7097632058287795
cookieTheft,full,2,0.23209651998757153,2.402060318329615,1.77989010989011
cookieTheft,full,3,0.25467999995962975,2.1897399299827733,1.600108108108108
cookieTheft,full,4,0.09238651544557652,2.7983634236885404,1.9197435897435897
picnicScene,baseline,0,-0.02967468977411536,2.327997289763121,1.733038619758089
picnicScene,baseline,1,-0.0005450799828294883,2.607193186464379,1.9018798716185232
picnicScene,baseline,2,-0.002411727363311744,2.744439493645888,1.9505192609588218
picnicScene,baseline,3,-5.976538571594858e-05,2.536495683904985,1.7214986020503258
picnicScene,baseline,4,-0.02267470747956568,2.970451073450108,2.0024453568409606
picnicScene,demographics,0,-0.4809975587078952,2.7919627706685053,2.105430687602036
picnicScene,demographics,1,-0.3281749561649814,3.003879628467942,2.1464038629858306
