task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.02967468977411536,2.327997289763121,1.733038619758089
cookieTheft,baseline,1,-0.0005450799828294883,2.607193186464379,1.9018798716185232
cookieTheft,baseline,2,-0.002411727363311744,2.744439493645888,1.9505192609588218
cookieTheft,baseline,3,-5.976538571594858e-05,2.536495683904985,1.7214986020503258
cookieTheft,baseline,4,-0.02267470747956568,2.970451073450108,2.0024453568409606
cookieTheft,demographics,0,-0.4522255479439339,2.7647093924970094,2.0728521398701165
cookieTheft,demographics,1,-0.3038450297248727,2.976239457332198,2.128660658740167
cookieTheft,demographics,2,-0.0674511162445528,2.8320739467092135,2.0412739100104806
cookieTheft,demographics,3,-0.09572553546601936,2.655045949405874,2.0023373895473893
cookieTheft,demographics,4,-0.29200077186529527,3.338758697830932,2.2813139735112267
cookieTheft,linguistic,0,-0.1429130651635535,2.4526696118146654,1.8017303370786515
cookieTheft,linguistic,1,0.2087964322509187,2.318456760138925,1.7344918032786887
cookieTheft,linguistic,2,0.22100459567355601,2.4193463107683804,1.7737362637362637
cookieTheft,linguistic,3,0.21880496048759224,2.2418207706165023,1.6375891891891896
cookieTheft,linguistic,4,0.09628583697234339,2.7923457388501745,1.9225054945054942
cookieTheft,acoustic,0,-0.25164902290048863,2.5666918637802056,1.867808988764045
cookieTheft,acoustic,1,-0.00397079451115534,2.611652689484535,1.99544262295082
cookieTheft,acoustic,2,0.028908269840249745,2.7012247405392054,2.0191978021978025
cookieTheft,acoustic,3,0.08633259264978388,2.4244610791522976,1.7807675675675676
cookieTheft,acoustic,4,-0.04789635480349341,3.0068572509303677,2.0382967032967034
cookieTheft,linguistic+acoustic,0,-0.11022184549515801,2.4173377593329053,1.7707640449438204
cookieTheft,linguistic+acoustic,1,0.247489628070114,2.2610550030408274,1.7207322404371586
cookieTheft,linguistic+acoustic,2,0.23017064825945832,2.405070568519859,1.7777142857142856
cookieTheft,linguistic+acoustic,3,0.24064465982996053,2.2102615865732003,1.6249837837837835
cookieTheft,linguistic+acoustic,4,0.09106365101892289,2.8004020158808363,1.9169120879120882
cookieTheft,full,0,-0.114445028249333,2.4219310616563243,1.7729213483146067
cookieTheft,full,1,0.23950124807046558,2.273024594839037,1.7253005464480873
cookieTheft,full,2,0.23473955260197366,2.3979229519558136,1.7754395604395603
cookieTheft,full,3,0.2414803458925262,2.209045032758897,1.6256216216216217
cookieTheft,full,4,0.08266552074235811,2.813309446889205,1.9296593406593405
picnicScene,baseline,0,-0.02967468977411536,2.327997289763121,1.733038619758089
picnicScene,baseline,1,-0.0005450799828294883,2.607193186464379,1.9018798716185232
picnicScene,baseline,2,-0.002411727363311744,2.744439493645888,1.9505192609588218
picnicScene,baseline,3,-5.976538571594858e-05,2.536495683904985,1.7214986020503258
picnicScene,baseline,4,-0.02267470747956568,2.970451073450108,2.0024453568409606
picnicScene,demographics,0,-0.4522255479439339,2.7647093924970094,2.0728521398701165
picnicScene,demographics,1,-0.3038450297248727,2.976239457332198,2.128660658740167
