task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.08614736999454224,0.027170944463679552,0.012151215766731808,0.0623309870917479,0.10996375289733659
cookieTheft,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
cookieTheft,demographics,0.07318637515863788,0.027559157333854854,0.012324829840222264,0.049029708671802244,0.09734304164547351
cookieTheft,full,0.1483165360501621,0.03844854029186472,0.017194709945649825,0.11461490455668844,0.18201816754363576
cookieTheft,linguistic,0.0900024269887288,0.018683278477807347,0.008355416143787204,0.07362581134690588,0.10637904263055173
cookieTheft,linguistic+acoustic,0.12086549201380496,0.0411635849765788,0.018408914841043855,0.084784018925359,0.15694696510225092
journaling,acoustic,0.09443322183896549,0.04454745312302439,0.019922226681513566,0.05538565754319891,0.13348078613473208
journaling,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
journaling,demographics,0.07318637515863788,0.027559157333854854,0.012324829840222264,0.049029708671802244,0.09734304164547351
journaling,full,0.14892777542506658,0.03364053810802549,0.01504450600184343,0.11944054366145346,0.1784150071886797
journaling,linguistic,0.020925219673646044,0.06051789973773526,0.027064427533818547,-0.03212105829263831,0.0739714976399304
journaling,linguistic+acoustic,0.0969070738782543,0.060659063700041316,0.027127557976956457,0.04373706024341965,0.15007708751308896
picnicScene,acoustic,0.0845299176241259,0.036702750014028826,0.01641396879850996,0.05235853877904638,0.11670129646920542
picnicScene,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
picnicScene,demographics,0.07318637515863788,0.027559157333854854,0.012324829840222264,0.049029708671802244,0.09734304164547351
picnicScene,full,0.13044629283679193,0.04587262372221705,0.02051486098982935,0.0902371652967264,0.17065542037685746
picnicScene,linguistic,0.08025632961282506,0.03170899547749588,0.014180693877182838,0.052462169613546696,0.10805048961210342
picnicScene,linguistic+acoustic,0.10329528599966957,0.05815890124566499,0.02600945133640082,0.05231676138032396,0.15427381061901518
