task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.029415201988062623,0.03471360430553244,0.015524395794239983,-0.0010126137686477417,0.05984301774477299
cookieTheft,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
cookieTheft,demographics,-0.09094756973902562,0.04755560360017041,0.021267512472202953,-0.1326318941845434,-0.04926324529350784
cookieTheft,full,0.1499570480890783,0.016682899192938902,0.007460819331437552,0.1353338421994607,0.1645802539786959
cookieTheft,linguistic,0.10548860996571378,0.019167272291351675,0.008571864757342099,0.08868775504132327,0.1222894648901043
cookieTheft,linguistic+acoustic,0.14207617174568135,0.018657787714229775,0.00834401632775564,0.1257218997432803,0.1584304437480824
journaling,acoustic,0.01023721807806217,0.04681468298154713,0.02093616269836838,-0.030797660810739858,0.0512720969668642
journaling,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
journaling,demographics,-0.09094756973902562,0.04755560360017041,0.021267512472202953,-0.1326318941845434,-0.04926324529350784
journaling,full,0.13056075194939845,0.04001805099536937,0.017896616470539806,0.09548338366714043,0.16563812023165647
journaling,linguistic,0.04601027303659093,0.017504908307319902,0.007828432983013616,0.03066654438988424,0.06135400168329762
journaling,linguistic+acoustic,0.12072502319671921,0.043565621489686124,0.019483138226592766,0.0825380722725974,0.15891197412084102
picnicScene,acoustic,0.0480531190239031,0.053109242702782423,0.02375117538339123,0.0015008152724562893,0.09460542277534992
picnicScene,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
picnicScene,demographics,-0.09094756973902562,0.04755560360017041,0.021267512472202953,-0.1326318941845434,-0.04926324529350784
picnicScene,full,0.16344763413410499,0.028761764440592908,0.01286265208840039,0.13823683604084022,0.18865843222736975
picnicScene,linguistic,0.12547193311986066,0.031488465451407106,0.014082069851299978,0.0978710762113127,0.15307279002840862
picnicScene,linguistic+acoustic,0.1497524181984081,0.04634145003693331,0.020724526491698602,0.10913234627467883,0.19037249012213736
