task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.029108515841695846,0.029276230820232608,0.013092728447802907,0.0034467680840021483,0.054770263599389545
cookieTheft,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
cookieTheft,demographics,-0.09748962409635706,0.050728472363166445,0.022686462519751913,-0.1419550906350708,-0.05302415755764331
cookieTheft,full,0.14466825308371623,0.018893309953816592,0.008449345075341463,0.12810753673604697,0.16122896943138548
cookieTheft,linguistic,0.11295639175429513,0.024044367392761033,0.01075296799323861,0.09188057448754745,0.1340322090210428
cookieTheft,linguistic+acoustic,0.13421622327079907,0.025292739111837926,0.011311256798247451,0.11204615994623407,0.15638628659536408
journaling,acoustic,0.011043825552771103,0.05623364889359872,0.025148452309788513,-0.03824714097441438,0.06033479207995658
journaling,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
journaling,demographics,-0.09748962409635706,0.050728472363166445,0.022686462519751913,-0.1419550906350708,-0.05302415755764331
journaling,full,0.13269955569576136,0.03793303634628744,0.016964169572653794,0.09944978333335994,0.1659493280581628
journaling,linguistic,0.05367468655687806,0.018992466259249205,0.008493689123210474,0.03702705587538553,0.07032231723837058
journaling,linguistic+acoustic,0.12183141297147371,0.0414618139986684,0.01854228691429498,0.08548853061945555,0.15817429532349186
picnicScene,acoustic,0.05640155106665654,0.051460082206555936,0.02301364838831729,0.011294800225554659,0.10150830190775842
picnicScene,baseline,-0.0070735415759962,0.00809911446074984,0.003622034098357639,-0.014172728408777173,2.5645256784771753e-05
picnicScene,demographics,-0.09748962409635706,0.050728472363166445,0.022686462519751913,-0.1419550906350708,-0.05302415755764331
picnicScene,full,0.166480892740734,0.03706567238361778,0.0165762726163012,0.13399139841278362,0.19897038706868436
picnicScene,linguistic,0.12667158278728902,0.03399383233724767,0.015202503984363269,0.096874674977937,0.15646849059664103
picnicScene,linguistic+acoustic,0.15840765014958688,0.04155206194183278,0.018582647021444,0.12198566198755664,0.19482963831161712
