task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
cookieTheft,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
cookieTheft,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
cookieTheft,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
cookieTheft,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
cookieTheft,demographics,0,0.026940505415867233,5.5931920633125705,4.463054190200965
cookieTheft,demographics,1,0.07224962160844428,5.315219233770628,4.182244224288296
cookieTheft,demographics,2,0.07962883154601741,4.999083836759195,4.10635423281602
cookieTheft,demographics,3,0.08987645913596731,5.671130741617815,4.327915926323598
cookieTheft,demographics,4,0.09723645808689318,5.416587877569203,4.222543409626824
cookieTheft,linguistic,0,0.07425266493608684,5.45552148774485,4.20495479877801
cookieTheft,linguistic,1,0.11495289706265122,5.1914515429160835,4.085369503788766
cookieTheft,linguistic,2,0.08153207949116481,4.993912325391139,4.130638293264026
cookieTheft,linguistic,3,0.0745762853180516,5.718601026669357,4.447218689417896
cookieTheft,linguistic,4,0.10469820813568953,5.394156151764363,4.168691070060106
cookieTheft,acoustic,0,0.10439298361374016,5.365976656697326,4.24000887487761
cookieTheft,acoustic,1,0.05946632202708513,5.351712662481009,4.300531640520503
cookieTheft,acoustic,2,0.05998923815344903,5.052139458179909,4.190397759148069
cookieTheft,acoustic,3,0.08575722454090828,5.683950069870328,4.338461982383801
cookieTheft,acoustic,4,0.12113108163752861,5.344423197678131,4.184423436458741
cookieTheft,linguistic+acoustic,0,0.09213421910091979,5.4025756761683565,4.149057004715111
cookieTheft,linguistic+acoustic,1,0.17824174960686168,5.0023911665484,4.013824834774241
cookieTheft,linguistic+acoustic,2,0.1111417505879263,4.9127557324190985,4.115464322579206
cookieTheft,linguistic+acoustic,3,0.07686008739808559,5.711540357984502,4.3448914083679915
cookieTheft,linguistic+acoustic,4,0.14594965337523147,5.268421630839749,4.053529510620129
cookieTheft,full,0,0.10920701846366476,5.351535721904939,4.166964896000221
cookieTheft,full,1,0.16205385706783826,5.051422163044885,4.0337703878948465
cookieTheft,full,2,0.1392340775693972,4.834498723273855,4.067960914763366
cookieTheft,full,3,0.12359842301008828,5.565075502383977,4.205920593355963
cookieTheft,full,4,0.20748930413982192,5.075062016937866,3.9504331915177877
picnicScene,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
picnicScene,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
picnicScene,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
picnicScene,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
picnicScene,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
picnicScene,demographics,0,0.026940505415867233,5.5931920633125705,4.463054190200965
picnicScene,demographics,1,0.07224962160844428,5.315219233770628,4.182244224288296
picnicScene,demographics,2,0.07962883154601741,4.999083836759195,4.10635423281602
picnicScene,demographics,3,0.08987645913596731,5.671130741617815,4.327915926323598
picnicScene,demographics,4,0.09723645808689318,5.416587877569203,4.222543409626824
picnicScene,linguistic,0,0.03563247503863132,5.568155099938874,4.213419109547831
picnicScene,linguistic,1,0.11499862062413668,5.191317440042404,4.1436598457623806
picnicScene,linguistic,2,0.06188706442437897,5.047036895681469,4.197324219967014
picnicScene,linguistic,3,0.08778470568095798,5.677644032726264,4.399210034552722
picnicScene,linguistic,4,0.10097878229602031,5.405349231916198,4.288722430125289
