task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
cookieTheft,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
cookieTheft,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
cookieTheft,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
cookieTheft,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
cookieTheft,demographics,0,-0.14217369044166261,6.059769591832818,4.679523556890037
cookieTheft,demographics,1,-0.1507602636340153,5.9196774110564006,4.638483165053546
cookieTheft,demographics,2,-0.09894687000433722,5.46257314824524,4.297425520524162
cookieTheft,demographics,3,-0.03172760313647749,6.038123765376632,4.562844309018374
cookieTheft,demographics,4,-0.06383969326529271,5.879993997611476,4.51471443423536
cookieTheft,linguistic,0,0.10377281827677654,5.36783417722548,4.164625698324023
cookieTheft,linguistic,1,0.1346234529123972,5.133436246380408,4.069934782608695
cookieTheft,linguistic,2,0.07514663862189608,5.011241781799415,4.038532608695652
cookieTheft,linguistic,3,0.1235653142395643,5.565180620330161,4.303871657754011
cookieTheft,linguistic,4,0.12767373472084154,5.324493020325716,4.100218579234973
cookieTheft,acoustic,0,0.04907995835420442,5.529196644244647,4.38186592178771
cookieTheft,acoustic,1,-0.018707956964883588,5.569682788953534,4.46411956521739
cookieTheft,acoustic,2,0.044948485573680697,5.09239773327978,4.246054347826087
cookieTheft,acoustic,3,0.020617050886685195,5.882958097641834,4.483550802139038
cookieTheft,acoustic,4,0.04960504135879251,5.557645603647079,4.302579234972677
cookieTheft,linguistic+acoustic,0,0.12250463039890647,5.311442106565471,4.135374301675978
cookieTheft,linguistic+acoustic,1,0.1759180885455669,5.009458729330901,4.060076086956522
cookieTheft,linguistic+acoustic,2,0.10830889834350776,4.920578149576222,4.016467391304348
cookieTheft,linguistic+acoustic,3,0.1309179844010725,5.541787479738666,4.185262032085562
cookieTheft,linguistic+acoustic,4,0.13343151466494174,5.306891799189617,4.071267759562841
cookieTheft,full,0,0.13285732705442876,5.280016926923943,4.1371731843575414
cookieTheft,full,1,0.173635508518175,5.016391646609534,4.0589891304347825
cookieTheft,full,2,0.1236901808435188,4.877954627487435,4.014673913043478
cookieTheft,full,3,0.14753995979043866,5.488535793367865,4.131358288770053
cookieTheft,full,4,0.1456182892120199,5.26944358278283,4.06872131147541
picnicScene,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
picnicScene,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
picnicScene,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
picnicScene,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
picnicScene,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
picnicScene,demographics,0,-0.14217369044166261,6.059769591832818,4.679523556890037
picnicScene,demographics,1,-0.1507602636340153,5.9196774110564006,4.638483165053546
picnicScene,demographics,2,-0.09894687000433722,5.46257314824524,4.297425520524162
picnicScene,demographics,3,-0.03172760313647749,6.038123765376632,4.562844309018374
picnicScene,demographics,4,-0.06383969326529271,5.879993997611476,4.51471443423536
picnicScene,linguistic,0,0.13912375055236492,5.260904261971633,4.0199553072625696
picnicScene,linguistic,1,0.14265499655082792,5.109559053126923,4.058271739130435
picnicScene,linguistic,2,0.07364045951884723,5.015320675516259,4.097543478260869
picnicScene,linguistic,3,0.11554899735701907,5.590573672647988,4.335967914438502
picnicScene,linguistic,4,0.162389709957386,5.217467945235778,4.16824043715847
