task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.016258279281690834,0.08067274646339694,0.03607794900475226,-0.05445450076762359,0.08697105933100527
cookieTheft,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
cookieTheft,demographics,-0.03533485095915416,0.05845353430553116,0.026141215246456725,-0.08657163284220934,0.01590193092390102
cookieTheft,full,0.1325717014357215,0.12674079071520716,0.05668020471225548,0.021478500199700754,0.24366490267174223
cookieTheft,linguistic,0.11991001540557103,0.1280189653928222,0.0572518218055087,0.00769644466677398,0.23212358614436807
cookieTheft,linguistic+acoustic,0.133568934128637,0.12719199934175535,0.05688199134445469,0.022080231093505806,0.24505763716376816
journaling,acoustic,-0.03363574643320018,0.05180750495857953,0.023169020566408252,-0.07904702674336035,0.011775533876959995
journaling,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
journaling,demographics,-0.03533485095915416,0.05845353430553116,0.026141215246456725,-0.08657163284220934,0.01590193092390102
journaling,full,0.05682382807815931,0.08705644497781247,0.038932825769971764,-0.019484510430985348,0.13313216658730398
journaling,linguistic,0.04658546781550321,0.0868946510998423,0.03886046934807485,-0.029581052106723488,0.12275198773772991
journaling,linguistic+acoustic,0.05673244055195761,0.08332469363606154,0.037263935834915544,-0.016304873684476855,0.12976975478839206
picnicScene,acoustic,0.06531175768995892,0.09574197339885197,0.04281711216396192,-0.018609782151406434,0.14923329753132428
picnicScene,baseline,-0.011073193997107645,0.014033607509741681,0.006276020072266788,-0.02337419333875055,0.00122780534453526
picnicScene,demographics,-0.03533485095915416,0.05845353430553116,0.026141215246456725,-0.08657163284220934,0.01590193092390102
picnicScene,full,0.1702488645303237,0.12410092451863362,0.055499620658847025,0.061469608038983534,0.27902812102166386
picnicScene,linguistic,0.1686269613010289,0.1230722004782828,0.05503956128198449,0.060749421188339287,0.2765045014137185
picnicScene,linguistic+acoustic,0.16982085489353133,0.12577921352137852,0.05625017431805261,0.05957051323014821,0.2800711965569144
