task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.02967468977411536,2.327997289763121,1.733038619758089
cookieTheft,baseline,1,-0.0005450799828294883,2.607193186464379,1.9018798716185232
cookieTheft,baseline,2,-0.002411727363311744,2.744439493645888,1.9505192609588218
cookieTheft,baseline,3,-5.976538571594858e-05,2.536495683904985,1.7214986020503258
cookieTheft,baseline,4,-0.02267470747956568,2.970451073450108,2.0024453568409606
cookieTheft,demographics,0,-0.10644995451370809,2.4132279086397856,1.832866103709372
cookieTheft,demographics,1,0.0010089119262438606,2.6051677247508827,1.8824249122961711
cookieTheft,demographics,2,-0.006632728405580268,2.7502116291614254,1.9550645390237247
cookieTheft,demographics,3,0.024474779426854054,2.5051884518834187,1.7209478097446897
cookieTheft,demographics,4,-0.08907526322958037,3.0653678118865852,2.0472313927911383
cookieTheft,linguistic,0,-0.061292481939044796,2.3634694633117688,1.7349175273457527
cookieTheft,linguistic,1,0.1945797418980374,2.3391935434725846,1.7355546349446556
cookieTheft,linguistic,2,0.21765202911822223,2.42454679805728,1.749129981552682
cookieTheft,linguistic,3,0.21798935458881652,2.242990750682429,1.6057173439706973
cookieTheft,linguistic,4,0.03062143336182377,2.892013742811087,1.963021153443725
cookieTheft,acoustic,0,-0.10994719327283087,2.4170387342971,1.7478888331814688
cookieTheft,acoustic,1,0.025978667251192467,2.5724036463245206,1.948052951689878
cookieTheft,acoustic,2,0.07323633786804129,2.6388523399236705,1.9326633394713444
cookieTheft,acoustic,3,0.09597687314221093,2.4116313484485423,1.7239127953965003
cookieTheft,acoustic,4,-0.003953288580159642,2.943136462268815,2.00292547168932
cookieTheft,linguistic+acoustic,0,-0.040460333007755755,2.340158187645191,1.7131861813840121
cookieTheft,linguistic+acoustic,1,0.2133252967111301,2.3118117919369356,1.7576041561717959
cookieTheft,linguistic+acoustic,2,0.22153234148924206,2.418526654961224,1.740704784198173
cookieTheft,linguistic+acoustic,3,0.23748699371169557,2.2148523408882532,1.5825921131452378
cookieTheft,linguistic+acoustic,4,0.03596037173887301,2.8840387358738178,1.9613733534554336
cookieTheft,full,0,-0.04158250301891586,2.3414198155835693,1.7076408254565956
cookieTheft,full,1,0.21454173427169754,2.3100237195323747,1.7564564310289326
cookieTheft,full,2,0.22205099058772626,2.417720856766777,1.7412401562020963
cookieTheft,full,3,0.23188826245373895,2.2229687164660534,1.5843257235567518
cookieTheft,full,4,0.03596002288436062,2.884039257693568,1.9589515109076254
picnicScene,baseline,0,-0.02967468977411536,2.327997289763121,1.733038619758089
picnicScene,baseline,1,-0.0005450799828294883,2.607193186464379,1.9018798716185232
picnicScene,baseline,2,-0.002411727363311744,2.744439493645888,1.9505192609588218
picnicScene,baseline,3,-5.976538571594858e-05,2.536495683904985,1.7214986020503258
picnicScene,baseline,4,-0.02267470747956568,2.970451073450108,2.0024453568409606
picnicScene,demographics,0,-0.10644995451370809,2.4132279086397856,1.832866103709372
picnicScene,demographics,1,0.0010089119262438606,2.6051677247508827,1.8824249122961711
