task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
cookieTheft,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
cookieTheft,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
cookieTheft,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
cookieTheft,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
cookieTheft,demographics,0,-0.017682716329138426,5.72000271345376,4.647174819453736
cookieTheft,demographics,1,0.08524531687673664,5.277860814698398,4.1046186995718745
cookieTheft,demographics,2,0.04997788905036615,5.07897147821849,4.130387992837712
cookieTheft,demographics,3,0.07167105059319734,5.727570355649984,4.363520486042685
cookieTheft,demographics,4,0.09739891597264927,5.4161004813872555,4.239234476521055
cookieTheft,linguistic,0,0.1044753596031276,5.365729875579776,4.154243251020923
cookieTheft,linguistic,1,0.13147884882009853,5.14275472543124,4.079646714379825
cookieTheft,linguistic,2,0.05221514962020157,5.072987575205517,4.081513445040154
cookieTheft,linguistic,3,0.13178589023324094,5.539019644828954,4.281486621005494
cookieTheft,linguistic,4,0.1369271208768701,5.296177383730543,4.072802874397616
cookieTheft,acoustic,0,0.08088167468022822,5.435953686777354,4.294074423331745
cookieTheft,acoustic,1,0.02714992164072194,5.442877642437653,4.40130702667621
cookieTheft,acoustic,2,0.061690282074330804,5.0475662113247095,4.199698523311066
cookieTheft,acoustic,3,0.039383525666969454,5.8263222418815115,4.439355479698931
cookieTheft,acoustic,4,0.08627212881143032,5.44938163368734,4.2239403816194825
cookieTheft,linguistic+acoustic,0,0.14168719988890954,5.253065669632614,4.100331310137375
cookieTheft,linguistic+acoustic,1,0.1656357311918859,5.040614227744069,4.082387426293651
cookieTheft,linguistic+acoustic,2,0.10417085115172842,4.931982332226722,4.032903049489134
cookieTheft,linguistic+acoustic,3,0.13689659790649444,5.522692973860769,4.185254266517777
cookieTheft,linguistic+acoustic,4,0.14009960038831815,5.286434589534864,4.073349982156143
cookieTheft,full,0,0.14838901410840766,5.2325171812444,4.096750686083519
cookieTheft,full,1,0.16781926473226083,5.034014256369455,4.082346594816385
cookieTheft,full,2,0.11311243836920015,4.9073066746667795,4.04213328211769
cookieTheft,full,3,0.1537423743551125,5.468532320534634,4.1331784408866055
cookieTheft,full,4,0.15702726092519792,5.234142626188795,4.038668714099979
picnicScene,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
picnicScene,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
picnicScene,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
picnicScene,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
picnicScene,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
picnicScene,demographics,0,-0.017682716329138426,5.72000271345376,4.647174819453736
picnicScene,demographics,1,0.08524531687673664,5.277860814698398,4.1046186995718745
picnicScene,demographics,2,0.04997788905036615,5.07897147821849,4.130387992837712
picnicScene,demographics,3,0.07167105059319734,5.727570355649984,4.363520486042685
picnicScene,demographics,4,0.09739891597264927,5.4161004813872555,4.239234476521055
picnicScene,linguistic,0,0.1445713239179881,5.24423250204136,4.030314953745663
picnicScene,linguistic,1,0.15229080552786267,5.080764427534894,4.015936228387883
picnicScene,linguistic,2,0.086345117809011,4.98081036375607,4.079380089943307
picnicScene,linguistic,3,0.1228780521331726,5.56736217950002,4.319529013008257
picnicScene,linguistic,4,0.15798424293835422,5.231170760949322,4.1732268528562795
