task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.03254615666860683,0.22507495732025465,0.10065658092019066,-0.2298330552721805,0.16474074193496685
cookieTheft,baseline,-0.010408274325520361,0.015017020802436144,0.006715815866755131,-0.02357127342436042,0.0027547247733196965
cookieTheft,demographics,-0.2049716912296881,0.20595496125645762,0.09210585873455494,-0.38549917434941583,-0.024444208109960425
cookieTheft,full,0.15355512256219125,0.12832451625842842,0.05738846830672458,0.04107372468101107,0.26603652044337145
cookieTheft,linguistic,0.11523234519565276,0.1558470844141813,0.06969693496905147,-0.0213736473436881,0.25183833773499364
cookieTheft,linguistic+acoustic,0.15092968523344577,0.12764032592660135,0.05708248908842189,0.03904800662013887,0.2628113638467527
journaling,acoustic,-0.07845989824350239,0.07992295869139274,0.035742633719372356,-0.14851546033347218,-0.008404336153532574
journaling,baseline,-0.010061167959339867,0.014502398575977966,0.006485669810536576,-0.022773080787991555,0.0026507448693118205
journaling,demographics,-0.1910910768297346,0.18281117788288775,0.08175564415858862,-0.3513321393805683,-0.03085001427890094
journaling,full,0.02433850001901623,0.09702820267367646,0.04339233138259348,-0.060710469490866975,0.10938746952889944
journaling,linguistic,-0.017549278366202414,0.13277830843330493,0.05938026471886068,-0.13393459721516934,0.09883604048276452
journaling,linguistic+acoustic,0.024768677850686215,0.09735065320230411,0.04353653564287192,-0.060562932009342735,0.11010028771071517
picnicScene,acoustic,0.06481572139930587,0.15790707509637816,0.07061819080873315,-0.07359593258581108,0.20322737538442281
picnicScene,baseline,-0.01036801251160191,0.015112459740995152,0.006758497457618805,-0.023614667528534767,0.002878642505330948
picnicScene,demographics,-0.21117711339918874,0.19229335679615633,0.08599620348356535,-0.37972967222697684,-0.04262455457140066
picnicScene,full,0.06247553859776482,0.0960281186239006,0.04294508019889105,-0.021696818592061642,0.1466478957875913
picnicScene,linguistic,0.05340088762087654,0.08060727106500981,0.03604866751642276,-0.01725450071131207,0.12405627595306515
picnicScene,linguistic+acoustic,0.0560997025214407,0.1093138937386738,0.048886659456972646,-0.039718150014225684,0.15191755505710708
